,A1,A2,A3,A4,Class
0,14,3,750,41,0
1,14,1,250,14,0
2,21,5,1250,60,0
3,2,1,250,2,0
4,16,15,3750,87,0
5,2,2,500,11,0
6,16,8,2000,76,0
7,16,2,500,70,0
8,2,1,250,2,0
9,8,9,2250,64,0
10,4,1,250,4,1
11,4,5,1250,34,0
12,23,2,500,28,0
13,14,16,4000,98,0
14,14,1,250,14,0
15,14,5,1250,28,0
16,14,2,500,14,0
17,14,2,500,14,1
18,1,12,3000,35,0
19,11,1,250,11,1
20,2,16,4000,64,0
21,11,2,500,38,1
22,4,1,250,4,0
23,11,8,2000,46,0
24,16,3,750,46,0
25,4,2,500,4,0
26,2,3,750,77,0
27,4,6,1500,14,0
28,21,3,750,64,0
29,4,3,750,28,0
30,16,1,250,16,0
31,2,3,750,4,1
32,16,3,750,40,0
33,23,2,500,26,0
34,9,3,750,34,0
35,4,4,1000,43,1
36,10,5,1250,38,0
37,2,14,3500,48,1
38,16,16,4000,77,0
39,11,3,750,16,1
40,4,11,2750,61,0
41,14,7,1750,47,0
42,21,2,500,21,0
43,2,2,500,10,0
44,11,5,1250,33,0
45,11,3,750,40,1
46,7,2,500,16,0
47,4,5,1250,58,0
48,4,2,500,29,0
49,10,4,1000,16,0
50,4,6,1500,35,0
51,2,4,1000,16,0
52,11,2,500,17,0
53,12,13,3250,59,0
54,16,7,1750,87,1
55,1,14,3500,95,0
56,7,9,2250,89,1
57,4,7,1750,58,0
58,2,12,3000,98,0
59,74,1,250,74,0
60,5,11,2750,75,0
61,38,1,250,38,0
62,14,3,750,31,0
63,21,2,500,23,0
64,3,6,1500,21,0
65,16,1,250,16,0
66,23,1,250,23,0
67,11,4,1000,28,0
68,4,14,3500,40,0
69,11,3,750,26,0
70,2,2,500,4,0
71,2,1,250,2,0
72,2,3,750,75,1
73,2,13,3250,76,1
74,2,6,1500,41,1
75,5,14,3500,86,0
76,23,1,250,23,0
77,4,1,250,4,1
78,2,50,12500,98,1
79,4,1,250,4,0
80,14,7,1750,72,0
81,1,13,3250,47,0
82,4,6,1500,47,0
83,4,6,1500,30,0
84,2,4,1000,14,1
85,23,1,250,23,0
86,14,7,1750,35,0
87,16,6,1500,81,0
88,2,1,250,2,1
89,11,5,1250,38,0
90,11,7,1750,75,0
91,4,14,3500,86,0
92,14,1,250,14,0
93,2,1,250,2,0
94,4,1,250,4,1
95,4,8,2000,48,1
96,11,2,500,26,0
97,4,8,2000,34,1
98,2,2,500,33,0
99,2,2,500,11,1
100,21,3,750,70,0
101,4,6,1500,35,0
102,2,11,2750,46,0
103,3,14,3500,35,0
104,11,3,750,28,0
105,9,9,2250,54,0
106,16,1,250,16,0
107,2,1,250,2,0
108,4,8,2000,46,1
109,16,1,250,16,0
110,4,2,500,51,1
111,11,2,500,21,0
112,9,1,250,9,0
113,2,4,1000,26,0
114,2,1,250,2,0
115,16,1,250,16,0
116,11,2,500,11,0
117,16,2,500,16,0
118,2,3,750,4,1
119,4,2,500,30,0
120,21,3,750,35,0
121,2,1,250,2,0
122,11,7,1750,37,0
123,11,2,500,21,0
124,11,22,5500,98,0
125,4,5,1250,58,0
126,2,1,250,2,0
127,4,5,1250,58,0
128,2,7,1750,77,0
129,16,1,250,16,0
130,4,9,2250,28,0
131,4,1,250,4,0
132,14,7,1750,73,0
133,11,8,2000,72,0
134,11,3,750,23,0
135,23,8,2000,46,0
136,8,8,2000,52,1
137,4,2,500,4,0
138,4,7,1750,25,0
139,2,1,250,2,1
140,21,2,500,52,0
141,8,10,2500,63,0
142,14,16,4000,70,0
143,8,9,2250,58,0
144,4,3,750,24,0
145,23,7,1750,88,0
146,4,5,1250,16,1
147,2,3,750,9,1
148,2,2,500,11,0
149,2,2,500,4,0
150,14,4,1000,38,0
