,A1,A2,Class
0,4.998746,-0.884282,2
1,7.229067999999999,3.502331,1
2,10.598042999999999,0.42758900000000005,1
3,5.474023000000001,-1.1071540000000002,2
4,10.848916000000001,4.43086,1
5,9.198438000000001,-4.282776999999999,1
6,9.63744,5.854903,1
7,7.3099169999999996,6.6017660000000005,1
8,7.571892999999999,-6.306553,1
9,6.862858,7.034573,1
10,3.9070940000000003,-2.522446,2
11,9.821785,-1.896907,1
12,8.892156,5.140867,1
13,6.074936,-1.484226,2
14,7.118646000000001,-5.420593,1
15,5.336244000000001,3.037386,2
16,10.841411,-0.859977,1
17,4.260942,5.212665,2
18,4.468669,-2.110689,2
19,9.82409,-0.052274,1
20,4.29344,-4.478989,2
21,7.294942,-1.9283080000000001,2
22,4.596767,8.074821,1
23,10.920334,4.394091,1
24,8.442326,-5.063575,1
25,7.139253,-5.807544999999999,1
26,5.690603,-4.060956,2
27,3.9792970000000003,-0.368581,2
28,6.329341,0.165102,2
29,5.7613769999999995,0.150885,2
30,5.473515,-4.272028,2
31,5.977692,-4.991199,2
32,9.713438,-3.510617,1
33,2.929782,3.015331,2
34,8.049119000000001,1.6869490000000003,1
35,7.595965,2.839211,2
36,5.764272,1.8990080000000003,2
37,10.462846,-0.532161,1
38,4.3304089999999995,-0.871102,2
39,5.282302,9.425593,1
40,4.5029330000000005,-5.157074,2
41,4.396192,-4.76043,2
42,9.013128,-6.226032,1
43,9.869835,0.469445,1
44,8.344745,5.098043,1
45,4.290992,-4.609147,2
46,11.987564,0.778138,1
47,5.382512999999999,3.642866,2
48,7.978942999999999,-8.103951,1
49,4.708815,3.6770059999999996,2
50,9.808634,1.3333709999999999,1
51,8.934253,-3.863711,1
52,3.428112,2.527055,2
53,10.30839,-0.622459,1
54,10.414121000000002,-1.2148459999999999,1
55,11.086277,0.67128,1
56,6.8902350000000006,2.762421,2
57,9.430231,-3.11042,1
58,7.3381039999999995,-1.3277700000000001,2
59,4.977015,-1.688063,2
60,7.758211,-1.55739,2
61,10.188097,-0.547253,1
62,6.711150999999999,-8.059997000000001,1
63,5.445808,3.014437,2
64,5.199391,-2.455228,2
65,7.60768,-5.947623,1
66,5.0215819999999995,-7.909646,1
67,5.378627,2.820737,2
68,9.161709,4.9382660000000005,1
69,5.134112,4.193504,2
70,4.803397,-6.425511,1
71,10.043095,-2.416178,1
72,2.7931340000000002,3.9845080000000004,2
73,10.328028999999999,-1.9960099999999998,1
74,11.051893,0.8679450000000001,1
75,10.074042,3.277078,1
76,3.017209,-5.790433,2
77,5.136756,1.7844810000000002,2
78,6.0887910000000005,-9.855288999999999,1
79,3.52901,-4.877378,2
80,5.459832,-7.450494,1
81,3.7117400000000003,-6.891521000000001,1
82,6.137579,-1.617959,2
83,10.2941,2.9669689999999997,1
84,10.82473,-2.960366,1
85,8.138467,0.5730569999999999,2
86,3.245725,-4.099022,2
87,8.215991,7.98879,1
88,6.959286,-7.012714999999999,1
89,8.860154,3.076748,1
90,8.378264,-4.698942,1
91,6.436403,1.297088,2
92,8.896831,4.543847,1
93,9.469486999999999,0.14921600000000002,1
94,11.180872,-1.222485,1
95,4.466723,-4.099536,2
96,4.0234309999999995,5.057840000000001,2
97,5.619155,-4.204149,2
98,3.6112580000000003,-3.1435,2
99,4.7348870000000005,1.6199540000000001,2
100,6.097816000000001,7.660653999999999,1
101,5.501653,-3.54532,2
102,8.229087,-6.478376,1
103,9.198025,5.006002,1
104,10.146666,-0.447759,1
105,4.655267,-2.182734,2
106,6.252229,7.195251,1
107,9.997765,-2.012595,1
108,5.768137,-3.626204,2
109,5.98608,-4.299587,2
110,6.263912,-6.45854,1
111,7.800312,-3.918646,1
112,10.391867,-2.525046,1
113,9.693867,-1.127856,1
114,7.975535000000001,7.315614,1
115,6.5222690000000005,1.7228290000000002,2
116,3.635351,-4.69719,2
117,2.273694,-5.595651999999999,2
118,9.100667999999999,5.854106,1
119,7.616892999999999,5.993023,1
120,6.182149,-1.072876,2
121,11.791969,2.3834720000000003,1
122,3.2837419999999997,-2.897929,2
123,3.685201,-1.388841,2
124,8.251806,2.05192,1
125,8.535012,6.4818370000000005,1
126,4.883822,2.4176830000000002,2
127,3.951482,-3.206292,2
128,7.330066,-1.546206,2
129,8.173739,6.257089,1
130,4.304871,7.026167,1
131,6.306592,-0.15348599999999998,2
132,6.408648,-4.502101000000001,2
133,5.891189,0.718367,2
134,3.169133,6.598919,2
135,8.162148,3.054345,1
136,6.860484,8.025664,1
137,5.903301,2.334721,2
138,8.081113,-4.865042,1
139,6.509564,1.890275,2
140,9.22759,-0.016577,1
141,7.259422,2.218309,2
142,7.678903999999999,-0.43095200000000006,2
143,5.688178,10.593999,1
144,4.709768,-7.707205,1
145,5.495674,7.618263000000001,1
146,6.729486,0.779041,2
147,6.011563,-0.628188,2
148,6.244896,8.160113,1
149,3.0675,-5.029941,2
150,5.99186,-6.958889999999999,1
151,6.2272940000000006,7.86043,1
152,5.138422,-4.049535,2
153,9.70781,5.454601,1
154,7.425758,6.771014999999999,1
155,6.07816,3.821995,2
156,4.994955,2.000146,2
157,7.913352000000001,3.834192,1
158,4.532573,-10.022959,1
159,5.7781519999999995,-0.11374000000000001,2
160,7.084796000000001,10.395005000000001,1
161,7.8550580000000005,-4.9993300000000005,1
162,8.45653,7.935751,1
163,2.310318,5.24517,2
164,8.747232,4.310039,1
165,7.676925,7.962725999999999,1
166,5.925278,3.4680459999999997,2
167,6.126649,-0.6685180000000001,2
168,9.274264,6.546181,1
169,4.4034580000000005,-5.557154,2
170,8.557862,6.534384999999999,1
171,3.219001,5.548598999999999,2
172,6.905264999999999,-10.085946,1
173,8.164353,-4.0816669999999995,1
174,6.242785,-1.292408,2
175,9.424973,-1.4202620000000001,1
176,5.627407,4.8697550000000005,2
177,5.1733150000000006,9.173238000000001,1
178,6.4367220000000005,-2.6497900000000003,2
179,4.737636,2.9721759999999997,2
180,9.424325999999999,-1.8360400000000001,1
181,8.381927000000001,-5.868166,1
182,5.1386389999999995,-6.666564999999999,2
183,10.676841,0.373262,1
184,4.5872459999999995,2.067838,2
185,6.114968,6.611249000000001,1
186,9.604648,-1.497892,1
187,4.677496,2.630593,2
188,6.456105,8.003877000000001,1
189,7.743813,3.380349,1
190,10.386355,-2.847032,1
191,7.257060000000001,-4.154476,1
192,5.940009,-0.48782200000000003,2
193,5.353191000000001,2.188367,2
194,6.846703,6.6871,1
195,5.741823999999999,-0.656225,2
196,9.34958,-4.757669,1
197,10.164983,-1.238469,1
198,9.705082,7.846143,1
199,9.311042,5.036573000000001,1
200,4.595869,7.105602,2
201,10.330967,0.8632989999999999,1
202,4.135068,3.2828190000000004,2
203,4.94731,-9.300903,1
204,11.340833,-0.40733600000000003,1
205,6.572442999999999,0.055041,2
206,5.933037000000001,2.14253,2
207,4.149936,4.36425,2
208,3.8214650000000003,5.993801,2
209,5.571142,1.219904,2
210,6.520293,-1.4076899999999999,2
211,5.9286389999999995,0.771424,2
212,5.829383,-2.213477,2
213,4.896801,4.046031,2
214,5.040421,-8.805145,1
215,6.3758550000000005,-2.373816,2
216,5.491103,8.869391,1
217,8.615435,-6.823799,1
218,8.876541,-4.802965,1
219,8.741835,4.278073,1
220,4.343877,-3.0914,2
221,5.38703,1.770304,2
222,7.584795,-6.785133,1
223,8.831154,-4.622798,1
224,3.3201059999999996,-5.67295,2
225,10.613124000000001,-3.4018370000000004,1
226,7.8636029999999995,0.14639100000000002,2
227,6.1470970000000005,-0.7554569999999999,2
228,7.8544220000000005,5.873309,1
229,7.52866,7.32298,1
230,5.822026,-5.2384260000000005,2
231,7.297675999999999,4.757303,1
232,7.976007000000001,3.1939509999999998,1
233,4.1044279999999995,2.934572,2
234,5.166675,-3.90608,2
235,6.8100320000000005,-6.822619,1
236,9.274329,1.368109,1
237,5.865684,-1.974105,2
238,2.992188,-6.368859,2
239,5.818859,0.657935,2
240,4.684783,5.0918730000000005,2
241,6.619110000000001,-6.2935419999999995,1
242,4.815018,5.844703,2
243,6.201258,-3.331895,2
244,8.328824000000001,0.717838,1
245,9.608963000000001,0.304238,1
246,5.296882,5.48647,2
247,10.792532000000001,-3.693975,1
248,6.960000999999999,-0.004968,2
249,4.1523639999999995,-0.314833,2
250,6.068231,-1.253584,2
251,8.375554,0.8573360000000001,2
252,8.039171000000001,5.898695,1
253,10.03285,-2.56846,1
254,6.750526,7.264849000000001,1
255,2.6862369999999998,-5.5914,2
256,8.055926,2.985965,2
257,7.669510000000001,-3.77146,1
258,6.849264999999999,-2.1076490000000003,2
259,5.446806,-6.654176,1
260,4.949973,5.238669,2
261,6.220733,5.329429,2
262,8.77175,4.61059,1
263,7.153541000000001,6.373221,1
264,6.72605,1.955006,2
265,10.297573,-1.912816,1
266,4.777857,5.573072,2
267,5.110339,-3.5614169999999996,2
268,5.582747,-0.27861199999999997,2
269,9.749701,-2.342572,1
270,5.316851,-2.1613119999999997,2
271,4.661981,-1.17693,2
272,10.198367999999999,0.944586,1
273,10.177389,1.3589129999999998,1
274,5.7617400000000005,4.313693,2
275,5.618459,-2.397999,2
276,9.379543,-1.4001219999999999,1
277,8.692288000000001,0.74066,1
278,5.385953,3.5720739999999997,2
279,6.640925,-2.299317,2
280,2.9395740000000004,4.915934,2
281,8.986425,2.796137,1
282,6.67554,6.511248999999999,1
283,9.486737,-4.548548,1
284,6.744414999999999,1.588194,2
285,9.062467,2.396762,1
286,7.341385000000001,-8.270157000000001,1
287,4.111583,-6.098898999999999,2
288,7.341171000000001,6.653217,1
289,7.754319000000001,7.921449000000001,1
290,6.325076,2.030884,2
291,6.243389,3.1780009999999996,2
292,9.866717999999999,1.661528,1
293,4.186057,6.328223,2
294,10.011161,1.6532740000000001,1
295,9.420266999999999,6.865786999999999,1
296,5.30051,-0.344436,2
297,5.106878,-1.107842,2
298,4.211373,-3.488732,2
299,6.188535,6.724374000000001,1
300,5.89464,3.725853,2
301,6.07268,-2.794455,2
302,6.7564850000000005,8.644851,1
303,2.929268,-5.1985660000000005,2
304,9.855402999999999,0.784817,1
305,6.615235,-1.1442860000000001,2
306,4.229726,5.11585,2
307,5.4142269999999995,-4.322118,2
308,5.134812999999999,-5.114285,2
309,5.728514,5.300349,1
310,4.223478,3.0365349999999998,2
311,9.496739999999999,0.972276,1
312,8.24784,5.838157,1
313,4.558207,4.829205,2
314,4.882004,-4.312621,2
315,6.336823000000001,3.970932,2
316,6.346824,8.249717,1
317,7.390633,-0.666561,2
318,8.165609,5.071381,1
319,9.765849000000001,2.2625669999999998,1
320,4.872376,1.339911,2
321,4.990762999999999,-3.395976,2
322,7.77312,5.100371,1
323,4.740875,5.126791000000001,2
324,10.372788,-2.015327,1
325,8.384418,-0.197151,1
326,8.723794999999999,7.1727229999999995,1
327,4.00859,5.499876,2
328,6.165293,9.335177999999999,1
329,4.590243,-4.775797,2
330,8.100407,6.47138,1
331,4.242382,2.073228,2
332,9.478131,3.778478,1
333,7.4739,-6.592291,1
334,8.513523,7.589869,1
335,8.851242,-1.008232,1
336,3.974689,-4.851856,2
337,6.955754,-0.86225,2
338,7.165297,-2.3306720000000003,2
339,5.234489,10.022397,1
340,4.998037,-4.055085,2
341,11.506627,4.619953,1
342,6.205307,-6.010458,1
343,9.257814,-2.5782380000000003,1
344,7.671419,0.537022,2
345,6.065809,5.578535,1
346,9.033638999999999,4.417177,1
347,8.252858999999999,5.8003480000000005,1
348,4.314192,5.171312,2
349,7.243616,-3.3448660000000006,1
350,7.574198,-5.719456,1
351,6.064584,1.388927,2
352,5.124501,2.3465849999999997,2
353,3.647296,-6.487123,2
354,3.104909,-5.905627,2
355,4.533752,-5.791131,2
356,9.915461,1.680865,1
357,6.618211,-6.267426,1
358,7.878196000000001,9.892851,1
359,6.517416000000001,-1.9020869999999999,2
360,7.176015,-5.545189,1
361,9.556878,-0.25804299999999997,1
362,5.5441400000000005,-1.7449810000000001,2
363,2.8842060000000003,-5.496416,2
364,6.994446000000001,-1.5620399999999999,2
