,A1,A2,A3,A4,A5,A6,A7,Class
0,0.31,0.5,0.48,0.5,0.57,0.84,0.85,2
1,0.69,0.59,0.48,0.5,0.77,0.39,0.21,6
2,0.61,0.45,0.48,0.5,0.48,0.35,0.41,1
3,0.28,0.38,0.48,0.5,0.5,0.33,0.42,1
4,0.34,0.33,0.48,0.5,0.38,0.35,0.44,1
5,0.67,0.88,0.48,0.5,0.73,0.5,0.25,6
6,0.43,0.4,0.48,0.5,0.58,0.75,0.78,2
7,0.44,0.49,0.48,0.5,0.39,0.38,0.4,1
8,0.63,0.83,0.48,0.5,0.4,0.39,0.19,8
9,0.61,0.52,0.48,0.5,0.54,0.67,0.52,2
10,0.5,0.66,0.48,0.5,0.31,0.92,0.92,2
11,0.07,0.4,0.48,0.5,0.54,0.35,0.44,1
12,0.12,0.67,0.48,0.5,0.74,0.58,0.63,2
13,0.7,0.39,1.0,0.5,0.51,0.82,0.84,4
14,0.4,0.5,0.48,0.5,0.65,0.82,0.84,2
15,0.72,0.86,0.48,0.5,0.17,0.55,0.21,8
16,0.73,0.78,0.48,0.5,0.58,0.51,0.31,8
17,0.5,0.51,0.48,0.5,0.27,0.23,0.34,1
18,0.47,0.47,0.48,0.5,0.22,0.16,0.26,1
19,0.52,0.44,0.48,0.5,0.37,0.36,0.42,1
20,0.65,0.47,0.48,0.5,0.59,0.3,0.4,1
21,0.64,0.76,0.48,0.5,0.45,0.35,0.38,1
22,0.71,0.71,0.48,0.5,0.68,0.43,0.36,6
23,0.29,0.47,0.48,0.5,0.71,0.65,0.69,2
24,0.63,0.49,0.48,0.5,0.79,0.45,0.28,6
25,0.39,0.32,0.48,0.5,0.46,0.24,0.35,1
26,0.66,0.53,0.48,0.5,0.59,0.66,0.66,2
27,0.52,0.57,0.48,0.5,0.42,0.47,0.54,1
28,0.34,0.51,0.48,0.5,0.44,0.37,0.46,1
29,0.34,0.67,0.48,0.5,0.52,0.76,0.79,2
30,0.79,0.54,0.48,0.5,0.5,0.66,0.68,5
31,0.41,0.43,0.48,0.5,0.5,0.24,0.25,1
32,0.67,0.7,0.48,0.5,0.46,0.45,0.33,8
33,0.84,0.49,0.48,0.5,0.55,0.78,0.74,5
34,0.4,0.46,0.48,0.5,0.42,0.35,0.44,1
35,0.67,0.39,0.48,0.5,0.36,0.38,0.46,1
36,0.38,0.44,0.48,0.5,0.43,0.2,0.31,1
37,0.44,0.56,0.48,0.5,0.5,0.46,0.54,1
38,0.81,0.44,0.48,0.5,0.42,0.67,0.68,5
39,0.43,0.39,0.48,0.5,0.47,0.31,0.41,1
40,0.64,0.46,0.48,0.5,0.48,0.73,0.76,5
41,0.36,0.54,0.48,0.5,0.41,0.38,0.46,1
42,0.36,0.47,0.48,0.5,0.51,0.69,0.72,2
43,0.69,0.39,0.48,0.5,0.57,0.76,0.79,2
44,0.31,0.44,0.48,0.5,0.5,0.79,0.82,2
45,0.63,0.71,0.48,0.5,0.6,0.4,0.39,8
46,0.78,0.68,0.48,0.5,0.83,0.4,0.29,6
47,0.64,0.66,0.48,0.5,0.41,0.39,0.2,8
48,0.67,0.55,1.0,0.5,0.66,0.58,0.16,7
49,0.5,0.37,0.48,0.5,0.66,0.64,0.69,2
50,0.63,0.65,0.48,0.5,0.39,0.44,0.35,8
51,0.4,0.46,0.48,0.5,0.52,0.49,0.56,1
52,0.76,0.41,0.48,0.5,0.5,0.59,0.62,5
53,0.46,0.59,0.48,0.5,0.36,0.76,0.23,2
54,0.52,0.54,0.48,0.5,0.62,0.76,0.79,2
55,0.32,0.33,0.48,0.5,0.6,0.06,0.2,1
56,0.62,0.78,0.48,0.5,0.47,0.49,0.54,8
57,0.46,0.61,0.48,0.5,0.48,0.86,0.87,2
58,0.38,0.46,0.48,0.5,0.48,0.22,0.29,1
59,0.71,0.86,0.48,0.5,0.4,0.54,0.32,8
60,0.29,0.28,0.48,0.5,0.44,0.23,0.34,1
61,0.68,0.49,1.0,0.5,0.62,0.55,0.28,7
62,0.66,0.49,1.0,0.5,0.54,0.56,0.36,7
63,0.16,0.51,0.48,0.5,0.33,0.39,0.48,2
64,0.34,0.28,0.48,0.5,0.41,0.35,0.44,1
65,0.3,0.37,0.48,0.5,0.59,0.41,0.49,1
66,0.72,0.46,0.48,0.5,0.51,0.66,0.7,2
67,0.33,0.45,0.48,0.5,0.52,0.32,0.41,1
68,0.54,0.57,0.48,0.5,0.56,0.81,0.83,2
69,0.65,0.57,0.48,0.5,0.47,0.47,0.51,8
70,0.47,0.59,0.48,0.5,0.52,0.76,0.79,2
71,0.48,0.42,0.48,0.5,0.45,0.25,0.35,1
72,0.18,0.3,0.48,0.5,0.46,0.24,0.35,1
73,0.63,0.51,0.48,0.5,0.64,0.72,0.76,5
74,0.2,0.44,0.48,0.5,0.46,0.51,0.57,1
75,0.77,0.57,1.0,0.5,0.37,0.54,0.01,7
76,0.68,0.82,0.48,0.5,0.38,0.65,0.56,8
77,0.22,0.34,0.48,0.5,0.42,0.29,0.39,1
78,0.52,0.81,0.48,0.5,0.72,0.38,0.38,6
79,0.58,0.6,0.48,0.5,0.59,0.73,0.76,5
80,0.7,0.64,0.48,0.5,0.47,0.51,0.47,8
81,0.32,0.39,0.48,0.5,0.53,0.28,0.38,8
82,0.4,0.42,0.48,0.5,0.37,0.27,0.27,1
83,0.34,0.49,0.48,0.5,0.58,0.85,0.8,2
84,0.31,0.23,0.48,0.5,0.73,0.05,0.14,1
85,0.27,0.42,0.48,0.5,0.37,0.38,0.43,1
86,0.69,0.43,0.48,0.5,0.59,0.74,0.77,5
87,0.85,0.53,0.48,0.5,0.53,0.52,0.35,3
88,0.63,0.86,0.48,0.5,0.39,0.47,0.34,8
89,0.51,0.49,0.48,0.5,0.53,0.14,0.26,1
90,0.63,1.0,0.48,0.5,0.35,0.51,0.49,8
91,0.74,0.49,0.48,0.5,0.42,0.54,0.36,8
92,0.59,0.56,0.48,0.5,0.55,0.8,0.82,2
93,0.58,0.34,0.48,0.5,0.56,0.87,0.81,2
94,0.86,0.55,0.48,0.5,0.63,0.81,0.83,5
95,0.33,0.47,0.48,0.5,0.53,0.18,0.29,1
96,0.74,0.82,0.48,0.5,0.49,0.49,0.41,8
97,0.63,0.65,0.48,0.5,0.66,0.67,0.71,2
98,0.51,0.46,0.48,0.5,0.58,0.31,0.41,1
99,0.81,0.52,0.48,0.5,0.57,0.78,0.8,5
100,0.36,0.42,0.48,0.5,0.53,0.32,0.41,1
101,0.6,0.76,1.0,0.5,0.77,0.59,0.52,6
102,0.67,0.81,0.48,0.5,0.54,0.49,0.23,8
103,0.44,0.35,0.48,0.5,0.55,0.55,0.61,1
104,0.54,0.49,0.48,0.5,0.4,0.87,0.88,2
105,0.68,0.78,0.48,0.5,0.43,0.44,0.42,8
106,0.69,0.8,0.48,0.5,0.46,0.57,0.26,8
107,0.66,0.74,0.48,0.5,0.31,0.38,0.43,8
108,0.24,0.57,0.48,0.5,0.63,0.34,0.43,1
109,0.61,0.36,0.48,0.5,0.49,0.35,0.44,1
110,0.29,0.47,0.48,0.5,0.41,0.23,0.34,1
111,0.29,0.37,0.48,0.5,0.48,0.44,0.52,1
112,0.68,0.51,0.48,0.5,0.71,0.75,0.78,2
113,0.71,0.57,0.48,0.5,0.48,0.35,0.32,8
114,0.71,0.71,0.48,0.5,0.4,0.54,0.39,8
115,0.41,0.51,0.48,0.5,0.58,0.2,0.31,1
116,0.63,0.69,0.48,0.5,0.65,0.41,0.28,6
117,0.57,0.54,0.48,0.5,0.37,0.28,0.33,1
118,0.44,0.42,0.48,0.5,0.42,0.25,0.2,1
119,0.27,0.35,0.48,0.5,0.51,0.77,0.79,2
120,0.78,0.44,0.48,0.5,0.45,0.73,0.68,5
121,0.28,0.33,0.48,0.5,0.45,0.22,0.33,1
122,0.29,0.39,0.48,0.5,0.52,0.4,0.48,8
123,0.7,0.4,0.48,0.5,0.56,0.86,0.83,2
124,0.69,0.67,0.48,0.5,0.3,0.39,0.24,8
125,0.42,0.35,0.48,0.5,0.58,0.15,0.27,1
126,0.61,0.47,0.48,0.5,0.0,0.8,0.32,2
127,0.39,0.31,0.48,0.5,0.38,0.34,0.43,1
128,0.25,0.26,0.48,0.5,0.39,0.32,0.42,1
129,0.36,0.45,0.48,0.5,0.38,0.79,0.17,2
130,0.34,0.42,0.48,0.5,0.41,0.34,0.43,1
131,0.48,0.45,0.48,0.5,0.6,0.78,0.8,2
132,0.34,0.55,0.48,0.5,0.58,0.31,0.41,1
133,0.7,0.46,0.48,0.5,0.56,0.78,0.73,2
134,0.43,0.32,0.48,0.5,0.33,0.45,0.52,1
135,0.63,0.49,0.48,0.5,0.54,0.76,0.79,3
