,A1,A2,Class
0,0.5416989999999999,0.6886140000000001,2
1,-3.0287029999999997,-0.133245,2
2,-3.247587,-3.571399,1
3,2.285937,-4.89171,1
4,5.698548000000001,-2.6052400000000002,1
5,4.993515,0.8407290000000001,1
6,3.67855,0.142448,1
7,5.106389,-3.320556,1
8,3.2772370000000004,3.7344489999999997,1
9,-9.805679,-7.084957000000001,2
10,-3.988372,-0.937434,1
11,-0.702965,-6.392794,1
12,-5.50807,-4.381176,2
13,-5.876765,0.8288459999999999,2
14,5.095561,0.30243400000000004,1
15,-4.817551,-3.313761,1
16,-4.866861,-0.32413800000000004,2
17,-3.838908,-3.597021,1
18,4.188143,-1.7279630000000001,1
19,-7.953154,-0.69392,2
20,-8.437117,-1.735536,2
21,-0.49389700000000003,0.8647,2
22,-9.713948,-1.609998,2
23,-9.10934,-0.20604899999999998,2
24,-1.590542,-6.235843,1
25,2.273368,-5.0210919999999994,1
26,-7.850453,-3.2251220000000003,2
27,0.5734630000000001,-3.9290339999999997,1
28,-10.424783999999999,-3.2829660000000005,2
29,2.663609,-3.1585919999999996,1
30,-4.298499,1.650066,2
31,3.7479410000000004,-3.4274199999999997,1
32,-3.1909349999999996,1.741005,2
33,-3.411776,-0.937313,2
34,-8.628046000000001,-1.831214,2
35,-6.107538,-8.732492,2
36,-5.716956,1.333331,2
37,-4.299828,-4.6132919999999995,1
38,3.1747240000000003,3.543367,1
39,-9.436226,-1.8422560000000001,2
40,-1.551008,-4.884517,1
41,0.5050180000000001,-0.148154,2
42,-8.896761,-4.181408,2
43,-5.494592,-1.829375,2
44,-2.3364439999999997,1.615617,2
45,2.601556,5.9958599999999995,1
46,6.244747,-0.33826999999999996,1
47,6.3995370000000005,1.6560290000000002,1
48,-5.763871,-8.82364,2
49,-7.946344,-2.247735,2
50,-2.092504,-4.226682,1
51,6.292728,0.285761,1
52,-9.703707000000001,-4.356486,2
53,-6.315046,0.725719,2
54,-5.9876,-0.087109,2
55,-7.398397999999999,-3.9871209999999997,2
56,-7.750721,0.837041,2
57,3.6782690000000002,2.349104,1
58,0.498345,0.18504,2
59,-4.620502,1.16182,2
60,-0.533051,0.10187,2
61,0.194884,-5.521106,1
62,-6.471107,1.668048,2
63,3.18288,3.025109,1
64,-3.3464949999999996,1.054471,2
65,5.992466,0.156726,1
66,-8.672405,0.235381,2
67,-0.882323,-4.681608,1
68,-5.855508,1.7292450000000001,2
69,-7.576442,-6.992735000000001,2
70,-9.319377000000001,-2.5076009999999997,2
71,-6.061394,-8.925856,2
72,-7.131717,-8.199703999999999,2
73,0.8907229999999999,3.560287,1
74,-4.99346,0.9540790000000001,2
75,4.062564,0.694926,1
76,-8.038814,-8.20474,2
77,4.187853,-3.791492,1
78,-4.505234,-2.1050720000000003,1
79,-3.2857260000000004,-5.843507,1
80,-8.448046000000001,-1.6325020000000001,2
81,-9.227749000000001,-8.839995,2
82,-5.700257,-7.42237,2
83,3.6856739999999997,2.238529,1
84,5.128055000000001,1.8566610000000001,1
85,-8.719308,-1.920739,2
86,-5.859921,-8.538463,2
87,-0.5870810000000001,-0.609499,2
88,-8.374742999999999,-5.854352,2
89,-8.610062,-4.824637,2
90,-5.036485,1.6560810000000001,2
91,-2.279529,-1.019191,2
92,1.332681,3.980692,1
93,-1.582897,-0.32365900000000003,2
94,-7.941299000000001,-4.80523,2
95,-3.6425620000000003,-4.697978,1
96,-1.295725,-5.110519,1
97,-6.109568,-9.705839,2
98,-1.099803,-5.596421,1
99,1.813869,5.018981,1
100,3.314662,4.8389690000000005,1
101,-6.9284229999999996,1.5306600000000001,2
102,-1.007153,0.996052,2
103,-2.5603830000000003,-0.182314,2
104,0.775375,-2.996543,2
105,3.517171,0.334915,1
106,4.634317,2.1320080000000003,1
107,4.406937,2.5953180000000002,1
108,4.919129,1.855921,1
109,-0.678845,-4.187196,1
110,-7.508558,-0.613592,2
111,-6.744013000000001,1.06834,2
112,4.432005,1.6537810000000002,1
113,-0.766229,0.125946,2
114,-6.707941,-0.40336900000000003,2
115,4.022532,-2.067284,1
116,4.762055,-4.073425,1
117,2.9462330000000003,5.462264,1
118,-0.572264,1.03544,2
119,-0.718737,-5.269941,1
120,-4.560213,-2.9609360000000002,1
121,-6.4056370000000005,-8.223123,2
122,3.3764510000000003,-3.8305269999999996,1
123,-6.423078,-0.636529,2
124,-4.512849,1.406778,2
125,-8.636294,-3.409555,2
126,2.5685729999999998,3.121674,1
127,2.278403,-4.892689,1
128,4.408245,3.627567,1
129,-9.878985,-2.715233,2
130,-8.192673,-6.2257050000000005,2
131,2.120158,3.288938,1
132,-9.046819000000001,-1.270368,2
133,-9.547001,-1.254467,2
134,4.710235,-1.168086,1
135,-8.960966,-3.974594,2
136,-5.903568,0.283916,2
137,2.95033,-4.62956,1
138,-4.051754,-3.821567,1
139,-0.315581,-0.090648,2
140,-9.242597,-6.34591,2
141,-3.424064,0.082954,2
142,-8.283416,-6.634206,2
143,2.8173310000000003,3.50294,1
144,1.3435489999999999,0.6213770000000001,2
145,-2.268406,-4.401984,1
146,5.5831230000000005,0.942767,1
147,-10.44364,-4.369837,2
148,0.8938510000000001,-5.956062,1
149,5.119571,2.540375,1
150,-7.698217,-9.277253,2
151,2.4738740000000004,3.5348230000000003,1
152,-0.750408,-3.719302,1
153,-6.655283,-7.536078,2
154,3.7587309999999996,-0.732347,1
155,-3.279185,-0.312825,2
156,-3.617144,-4.912128,1
157,-7.991319,0.710673,2
158,-8.824914999999999,-8.834188000000001,2
159,-0.7573850000000001,-4.606587,1
160,4.618582,1.7525580000000003,1
161,-0.9602299999999999,-4.725324,1
162,2.2109,-0.634744,2
163,3.439003,-3.00904,1
164,-7.482338,-7.169338000000001,2
165,-8.462044,-0.9955930000000001,2
166,-8.009788,1.711325,2
167,4.6703790000000005,0.067213,1
168,6.150248,-0.94747,1
169,-5.387784,-8.199372,2
170,-6.760677,-0.437217,2
171,-1.9857779999999998,1.015283,2
172,-2.3077400000000003,0.367978,2
173,-7.429628999999999,-7.257102000000001,2
174,-0.860994,-2.111307,2
175,-3.125518,-3.2957300000000003,1
176,-4.513776999999999,1.655834,2
177,3.901354,-1.524775,1
178,-8.752581,-1.8341180000000001,2
179,-7.0036190000000005,-0.706447,2
180,-8.916981,-8.887198,2
181,-0.518757,-3.6732769999999997,1
182,4.3509720000000005,4.446311,1
183,-9.171533,-2.6743200000000003,2
184,0.56301,-4.19943,1
185,-0.270845,0.5710310000000001,2
186,-6.795441,0.558766,2
187,-2.8894889999999998,-1.41927,1
188,-8.315787,-3.6740150000000003,2
189,-3.715387,1.7544990000000003,2
190,3.8036339999999997,-4.183629,1
191,-2.453722,2.96483,2
192,-1.4087690000000002,-4.310422,1
193,2.929955,-5.898443,1
194,4.252504,1.4503270000000001,1
195,-1.8249520000000001,-5.802175,1
196,2.452762,3.0226610000000003,1
197,-8.586611,-3.6729510000000003,2
198,-7.440675,-4.830566,2
199,-0.539243,0.302087,2
200,-7.123477,-6.059267,2
201,-8.628952,-0.96075,2
202,-1.104843,-4.725215,1
203,-0.117243,-5.223867,1
204,5.551266,-0.615961,1
205,2.797591,-3.4906980000000005,1
206,-2.806896,1.872184,2
207,-7.690378,-7.369255,2
208,-3.264043,-3.074705,1
209,-7.403358,-6.8270669999999996,2
210,4.747833999999999,-1.9877770000000001,1
211,-0.524775,0.659717,2
212,-9.279035,-3.2567,2
213,3.4602410000000003,-3.3022370000000003,1
214,-3.330892,-2.697562,1
215,-7.4241839999999995,-3.2318439999999997,2
216,5.6312370000000005,-0.16134400000000002,1
217,4.58021,-5.11762,1
218,5.232975,0.515446,1
219,-5.298604,1.547749,2
220,5.667051,0.090249,1
221,5.209871,0.462657,1
222,3.790728,2.724238,1
223,0.773626,-5.473197,1
224,0.832728,-3.223671,1
225,-0.157567,-5.414572,1
226,2.592837,3.934346,1
227,-3.263225,1.761797,2
228,-3.8015209999999997,-3.948471,1
229,-3.68134,-3.191375,1
230,-1.044511,0.41713999999999996,2
231,-3.160434,-4.750519000000001,1
232,4.615174,1.527349,1
233,3.991195,0.710313,1
234,6.650219,-0.025462000000000002,1
235,-6.206346,-0.14313900000000002,2
236,-0.49558599999999997,0.9319209999999999,2
237,0.12800599999999998,-6.025796,1
238,3.928303,-1.7809669999999997,1
239,-9.659991,-6.1506739999999995,2
240,-1.165494,3.13231,2
241,-6.723577000000001,-0.008179,2
242,-7.295711,-0.8937510000000001,2
243,-0.712202,-3.246598,1
244,1.6259350000000001,2.093469,1
245,-5.93646,1.5911870000000001,2
246,0.759091,-5.071059,1
247,-1.4729,-2.6159630000000003,2
248,1.413142,-1.2820719999999999,2
249,5.032401999999999,-0.887718,1
250,3.3075919999999996,-0.746745,1
251,6.272614,2.961766,1
252,-3.0698819999999998,-3.6575309999999996,1
253,3.45535,-3.6883839999999997,1
254,-3.077511,1.411367,2
255,-0.394306,-4.216991,1
256,-8.199089,-3.465438,2
257,3.064751,-0.265375,1
258,1.482552,-3.429101,1
259,-7.238092,0.70596,2
260,5.801255,-0.361606,1
261,-3.2158439999999997,-2.90401,1
262,-6.487025,0.894252,2
263,5.139252,1.633414,1
264,-6.724398,-1.475976,2
265,4.414065,-1.503067,1
266,-1.121649,-4.474516,1
267,4.710823,-2.5682009999999997,1
268,-4.400930000000001,-3.5500599999999998,1
269,4.244211,-0.517695,1
270,-10.291252,-4.274093,2
271,-0.492242,1.1558680000000001,2
272,5.387601999999999,-3.018812,1
273,-7.6487289999999994,1.3971639999999999,2
274,-0.06792000000000001,-4.842507,1
275,5.070292,-2.068823,1
276,3.2799169999999997,-4.7575080000000005,1
277,4.994498,0.780379,1
278,-4.010276999999999,-0.146971,1
279,-6.854344,-7.592683999999999,2
280,-9.716596000000001,-3.6471669999999996,2
