,A1,A2,Class
406,3.548489,-1.549786,1
209,-7.6208800000000005,-2.166763,1
791,-2.848783,-3.816643,1
250,-0.561346,-5.102142,1
956,4.621522,0.061448,1
875,5.146517,1.513307,1
22,3.5667,-1.393247,1
1243,-7.816541,-4.689744999999999,2
238,0.916969,-5.917843,1
532,3.631035,0.5816100000000001,1
1471,-0.160411,0.288914,2
1371,-7.551400999999999,-1.085509,2
197,3.009855,3.406429,1
1950,0.6978340000000001,-1.305634,2
537,-1.03874,-5.169576999999999,1
1964,-10.716559,-0.928645,2
1559,-4.620502,1.16182,2
1441,-1.044511,0.41713999999999996,2
1939,-1.6880990000000002,0.29682800000000004,2
1142,-4.821242,0.644095,2
180,0.200594,-4.5749010000000006,1
1196,-8.296562,0.288582,2
896,3.6782690000000002,2.349104,1
430,5.453698,2.868416,1
201,-3.3838190000000004,-3.690373,1
89,-4.279568,-3.5789089999999995,1
1469,-9.319881,-3.8938029999999997,2
1312,-0.897816,0.985547,2
309,5.202274,3.723005,1
679,-2.026856,-3.4604129999999995,1
1549,-5.69591,1.493529,2
1447,-6.109568,-9.705839,2
69,5.396618,4.280272,1
1027,-4.788635,0.30640100000000003,2
1457,-0.661501,-0.035261,2
772,4.51436,-4.49337,1
1781,-2.026936,2.12605,2
1522,-7.994768,-5.182803,2
694,-1.644868,-3.745839,1
698,3.100821,1.670853,1
1122,-8.763539,-5.501857,2
1688,-6.299342,-8.366698,2
581,4.641922,-1.262794,1
94,3.290546,-3.0814310000000003,1
1483,-7.131717,-8.199703999999999,2
1153,-6.724398,-1.475976,2
1758,-7.694256,-4.857651000000001,2
629,-1.037175,-3.759979,1
1782,-7.221242,-5.690195,2
360,4.994498,0.780379,1
711,3.847835,-1.8867180000000001,1
645,-3.0698819999999998,-3.6575309999999996,1
1172,-0.106529,0.517331,2
1316,-5.4538150000000005,-6.493942,2
1777,-6.254847,0.524988,2
1586,-2.79259,3.206065,2
1863,-7.54858,-7.437686,2
7,-1.0549389999999998,-2.90971,1
104,4.093082,-5.939895,1
501,-1.2655459999999998,-5.174574,1
323,3.017516,3.679982,1
1808,-8.374957,-3.3426370000000003,2
1258,-6.208692,-8.565404,2
436,4.6703790000000005,0.067213,1
861,3.156971,-2.908458,1
1783,-8.772223,-5.698567,2
603,-3.7766370000000005,-3.7646879999999996,1
763,3.49041,-2.721762,1
633,4.57006,3.557813,1
1033,-0.5175609999999999,0.70755,2
1921,-5.994328,0.682921,2
299,4.233349,0.473691,1
507,0.00139,-2.9279580000000003,1
1424,-7.282375,0.7526619999999999,2
721,2.2463330000000004,3.2897160000000003,1
1255,-6.667078,-7.875921000000001,2
1372,-7.619036,-5.974616999999999,2
75,1.65152,-5.8718639999999995,1
145,-2.410825,-5.164862,1
292,-4.036535,-3.284608,1
1355,-7.674625999999999,-5.0567470000000005,2
1552,-1.2737049999999999,0.14643499999999998,2
559,0.662037,-6.138833,1
561,3.268175,-3.4137150000000003,1
118,4.764044,0.23242,1
178,3.790728,2.724238,1
83,-3.276847,-5.5713,1
1124,-2.13763,0.7059880000000001,2
988,0.670329,-5.861207,1
1453,-0.876358,0.783872,2
341,4.710823,-2.5682009999999997,1
1937,-9.716596000000001,-3.6471669999999996,2
1945,-7.114406,0.9433010000000001,2
1868,-1.083321,-2.2644509999999998,2
993,0.834592,-3.012053,1
1648,-9.312559,-3.360193,2
582,6.300601,-2.502266,1
494,-3.8059529999999997,-2.41152,1
675,4.917699,0.403447,1
1291,-3.735411,-0.726895,2
1434,-8.327024,-4.696815,2
817,-4.832930999999999,-1.375359,1
1497,-9.634756,-3.4395309999999997,2
1320,-8.184521,-4.693624,2
934,4.498429,2.858412,1
821,-3.247587,-3.571399,1
568,4.022532,-2.067284,1
6,6.553872999999999,0.23486300000000002,1
942,4.1263559999999995,3.8062949999999995,1
1023,-9.21237,-1.9139979999999999,2
909,4.758272,-0.9637889999999999,1
1066,-8.885608,-5.1102669999999994,2
1676,-7.584541000000001,-5.172231,2
926,2.9462330000000003,5.462264,1
443,2.563699,-3.331704,1
825,7.2317979999999995,1.200659,1
1127,-1.138971,-0.147315,2
1257,-0.25454699999999997,0.213313,2
86,2.573993,-4.419665,1
818,3.245984,-4.876616,1
1933,-8.628046000000001,-1.831214,2
557,4.058053,1.2854940000000001,1
1057,-9.191172,-3.6716919999999997,2
375,5.519943,2.0163450000000003,1
1303,-6.206346,-0.14313900000000002,2
1738,-1.683485,2.055149,2
524,-4.559171,-1.499524,1
46,4.9260150000000005,4.58575,1
764,3.1696310000000003,-2.426889,1
654,3.45535,-3.6883839999999997,1
786,1.799559,-5.846516,1
1101,-8.870371,-4.760971,2
1149,-8.380408000000001,-1.214756,2
275,1.146779,4.606074,1
85,4.063521,-2.190998,1
1662,-9.119396,-4.247096,2
1463,-6.855728,-5.494268,2
579,4.605871,3.4850269999999997,1
154,4.326855999999999,0.336419,1
84,-2.6791169999999997,-4.751544,1
1590,-5.93646,1.5911870000000001,2
353,4.565304,2.7153400000000003,1
1260,-9.518552,-3.286626,2
807,3.4602410000000003,-3.3022370000000003,1
1423,-7.704861,-3.969238,2
1665,-8.957023,-0.710683,2
351,5.056983,-0.9405469999999999,1
295,5.4489790000000005,-0.11185899999999999,1
30,4.567997,2.285941,1
1504,-7.216024000000001,-4.801984,2
421,-3.008766,-3.330342,1
99,-5.143861,-2.63517,1
756,2.54173,-2.24307,1
1349,0.6110760000000001,-0.626386,2
