,A1,A2,A3,A4,Class
163,2,1,250,2,1
637,14,7,1750,35,0
701,16,1,250,16,0
94,12,11,2750,23,0
598,2,3,750,24,0
417,16,1,250,16,0
258,4,3,750,28,0
91,4,2,500,4,0
494,23,2,500,87,0
577,9,9,2250,38,0
531,2,4,1000,14,1
101,2,13,3250,76,1
203,4,7,1750,58,0
626,9,9,2250,54,0
52,2,6,1500,22,0
414,16,1,250,16,0
593,9,11,2750,49,1
657,14,8,2000,50,0
224,4,1,250,4,1
671,16,4,1000,28,0
588,2,1,250,2,0
561,4,9,2250,52,0
485,23,4,1000,53,0
496,38,1,250,38,0
381,14,1,250,14,0
643,10,5,1250,38,0
185,11,9,2250,33,0
555,4,4,1000,18,0
590,2,1,250,2,0
255,2,3,750,35,0
676,14,3,750,26,0
96,3,17,4250,86,0
209,11,3,750,14,0
742,16,3,750,86,0
77,2,2,500,4,0
141,5,14,3500,86,0
259,12,12,3000,58,0
370,4,2,500,51,1
165,2,1,250,2,1
114,2,12,3000,82,0
644,14,2,500,14,1
219,4,1,250,4,0
472,23,3,750,41,0
169,2,1,250,2,0
594,5,11,2750,75,0
30,1,14,3500,58,0
706,14,2,500,29,0
291,16,12,3000,50,0
108,2,3,750,14,0
519,4,10,2500,28,1
466,23,4,1000,45,0
147,2,2,500,11,0
353,11,2,500,21,0
521,2,11,2750,41,1
67,0,2,500,4,0
718,21,3,750,35,0
629,7,11,2750,89,0
634,13,3,750,16,0
236,11,3,750,15,0
131,2,12,3000,95,0
27,4,12,3000,34,1
202,6,2,500,11,1
387,14,1,250,14,0
568,4,6,1500,35,1
159,2,1,250,2,0
365,14,2,500,21,1
167,2,1,250,2,0
57,2,7,1750,28,1
405,14,3,750,41,0
516,3,5,1250,12,1
564,4,14,3500,86,0
501,6,22,5500,28,1
689,14,1,250,14,0
297,14,2,500,14,0
656,4,2,500,31,0
220,4,1,250,4,0
358,9,2,500,26,0
714,16,4,1000,58,0
431,9,2,500,52,0
711,23,6,1500,45,0
348,11,1,250,11,0
335,16,3,750,21,1
700,16,3,750,35,0
395,16,10,2500,89,0
14,2,6,1500,15,1
246,11,12,3000,58,0
602,9,3,750,14,0
82,2,4,1000,16,0
483,23,1,250,23,0
460,21,1,250,21,0
247,7,12,3000,86,0
61,2,8,2000,35,1
129,2,2,500,10,1
260,4,4,1000,41,0
288,14,5,1250,28,1
150,2,7,1750,58,1
649,14,8,2000,46,0
102,4,9,2250,40,0
323,14,8,2000,50,1
145,4,3,750,16,1
607,2,7,1750,77,0
342,11,6,1500,58,0
581,2,1,250,2,1
661,16,2,500,16,0
747,72,1,250,72,0
44,4,20,5000,69,1
631,2,2,500,22,0
743,23,2,500,38,0
240,8,8,2000,52,1
504,0,26,6500,76,1
316,11,2,500,17,0
641,7,5,1250,52,0
284,11,5,1250,33,0
479,23,1,250,23,0
723,23,2,500,28,0
393,11,4,1000,61,0
149,2,2,500,11,0
359,21,16,4000,64,0
22,2,6,1500,16,1
84,2,6,1500,28,1
586,2,1,250,2,1
253,11,3,750,16,1
341,23,38,9500,98,0
710,23,2,500,23,0
157,2,1,250,2,0
708,11,2,500,38,1
673,16,14,3500,83,0
21,4,11,2750,28,0
627,11,2,500,11,0
543,4,2,500,4,1
441,11,3,750,76,0
481,23,1,250,23,0
548,2,12,3000,70,1
632,6,3,750,26,0
680,20,14,3500,69,1
702,16,1,250,16,0
216,4,1,250,4,0
584,2,1,250,2,0
228,4,1,250,4,0
6,2,7,1750,14,1
183,4,12,3000,88,0
48,2,2,500,2,0
104,2,5,1250,26,0
232,4,1,250,4,0
508,2,21,5250,52,1
410,16,1,250,16,0
467,21,4,1000,52,0
669,2,3,750,75,1
537,2,6,1500,26,1
480,23,1,250,23,0
132,2,2,500,10,0
333,11,7,1750,62,1
616,4,1,250,4,0
217,4,1,250,4,0
69,1,9,2250,51,0
238,2,4,1000,43,0
687,16,6,1500,50,0
573,2,2,500,11,0
517,4,33,8250,98,1
653,4,2,500,30,0
366,23,15,3750,57,0
24,9,9,2250,16,0
265,4,4,1000,43,1
406,16,1,250,16,0
474,21,2,500,35,0
454,21,1,250,21,0
648,11,3,750,23,0
609,4,1,250,4,0
576,3,4,1000,29,1
603,14,8,2000,26,0
507,2,11,2750,23,0
688,14,3,750,33,0
463,21,1,250,21,0
299,14,2,500,14,0
207,2,7,1750,76,0
725,21,1,250,21,0
389,14,7,1750,73,0
538,2,8,2000,38,1
347,11,1,250,11,0
523,1,10,2500,43,1
509,2,13,3250,32,1
437,14,3,750,52,0
595,3,5,1250,38,0
244,9,2,500,11,0
652,14,4,1000,26,0
716,21,2,500,26,0
443,11,3,750,76,0
691,14,1,250,14,0
373,9,4,1000,65,0
645,14,2,500,14,0
81,2,4,1000,16,0
545,4,2,500,4,1
731,14,3,750,79,0
78,2,2,500,4,0
164,2,1,250,2,1
421,16,2,500,27,0
727,21,1,250,21,0
113,4,8,2000,40,1
618,4,1,250,4,1
489,21,3,750,64,0
411,16,1,250,16,0
715,16,5,1250,71,0
136,2,5,1250,37,0
243,11,17,4250,79,1
68,4,7,1750,25,0
415,16,1,250,16,0
293,11,5,1250,35,0
11,0,3,750,4,0
195,2,5,1250,47,1
684,16,4,1000,33,0
336,11,3,750,28,0
71,2,4,1000,16,0
271,16,7,1750,28,0
457,21,1,250,21,0
118,1,7,1750,57,0
194,2,2,500,14,0
339,9,3,750,34,0
628,2,5,1250,63,0
42,2,5,1250,16,1
424,14,4,1000,57,0
214,4,1,250,4,0
533,2,4,1000,14,0
451,21,3,750,38,0
210,4,1,250,4,0
200,4,6,1500,52,0
380,14,1,250,14,0
372,4,2,500,52,0
416,16,1,250,16,0
664,11,1,250,11,0
510,4,4,1000,4,1
49,2,2,500,2,0
426,23,2,500,23,0
127,2,4,1000,26,0
331,16,6,1500,35,0
724,21,1,250,21,0
206,2,2,500,16,0
571,4,2,500,9,0
263,2,3,750,38,1
547,2,3,750,11,0
503,2,44,11000,98,0
12,2,10,2500,28,1
196,9,8,2000,38,1
277,4,3,750,34,0
526,2,5,1250,16,1
330,14,7,1750,47,0
148,2,2,500,11,1
121,4,5,1250,26,1
447,23,2,500,26,0
554,2,4,1000,23,0
144,4,2,500,9,1
289,14,3,750,19,1
350,11,1,250,11,0
152,4,11,2750,78,0
280,14,16,4000,70,0
272,7,2,500,16,0
137,2,12,3000,98,0
234,14,7,1750,26,0
230,4,1,250,4,0
445,21,3,750,35,0
110,4,5,1250,23,1
51,2,11,2750,46,1
404,14,5,1250,64,0
162,2,1,250,2,0
741,23,7,1750,88,0
427,14,5,1250,74,0
546,7,14,3500,48,0
456,21,1,250,21,0
59,3,6,1500,21,0
412,16,1,250,16,0
529,2,6,1500,22,1
720,21,3,750,38,0
636,4,5,1250,58,0
320,15,16,4000,82,0
318,11,9,2250,72,1
26,4,6,1500,14,0
476,23,6,1500,70,0
292,11,4,1000,28,0
130,4,5,1250,28,0
5,4,4,1000,4,0
473,14,3,750,83,0
300,14,2,500,14,0
221,4,1,250,4,1
449,16,3,750,50,0
215,4,1,250,4,1
446,23,2,500,26,0
199,9,9,2250,45,0
408,16,1,250,16,0
193,11,11,2750,42,0
639,7,9,2250,89,1
364,11,6,1500,71,0
397,21,3,750,26,0
572,2,2,500,11,1
694,14,1,250,14,0
212,4,1,250,4,0
520,2,11,2750,40,1
682,11,2,500,25,0
250,11,2,500,11,0
541,2,10,2500,52,0
613,4,1,250,4,0
314,9,1,250,9,0
569,2,6,1500,45,0
186,4,5,1250,34,0
135,2,3,750,19,0
95,4,7,1750,28,0
184,13,8,2000,26,0
683,11,3,750,37,0
134,2,11,2750,88,0
346,11,1,250,11,0
125,2,5,1250,34,0
624,13,3,750,14,1
355,4,2,500,41,0
222,4,1,250,4,1
39,4,7,1750,22,1
352,11,5,1250,50,0
213,4,1,250,4,0
360,14,6,1500,51,0
378,14,1,250,14,0
332,16,6,1500,35,1
677,23,19,4750,62,0
575,4,6,1500,38,1
225,4,1,250,4,1
38,2,14,3500,57,1
354,16,4,1000,28,0
506,3,21,5250,42,1
612,4,1,250,4,1
596,3,1,250,3,1
281,14,4,1000,22,1
434,14,2,500,35,0
262,2,2,500,23,0
188,8,15,3750,77,0
266,3,2,500,23,0
363,21,13,3250,57,0
178,4,6,1500,41,1
722,21,3,750,40,0
425,16,5,1250,60,0
362,4,3,750,71,0
2,1,16,4000,35,1
382,14,1,250,14,0
681,4,2,500,46,0
301,14,2,500,14,0
3,2,20,5000,45,1
233,10,8,2000,39,0
452,23,2,500,28,0
477,23,1,250,23,0
36,2,12,3000,47,1
357,14,3,750,26,0
128,4,8,2000,48,1
0,2,50,12500,98,1
738,23,1,250,23,0
589,2,1,250,2,0
343,11,1,250,11,0
642,11,6,1500,41,0
746,39,1,250,39,0
235,8,10,2500,63,0
106,0,8,2000,59,0
270,16,11,2750,40,0
28,4,5,1250,11,1
29,4,8,2000,21,0
580,2,1,250,2,0
73,2,2,500,4,0
197,4,6,1500,47,0
239,8,9,2250,58,0
198,11,7,1750,29,0
551,2,6,1500,35,1
650,9,1,250,9,0
617,4,1,250,4,0
138,9,5,1250,19,0
50,2,11,2750,46,0
659,14,7,1750,45,0
142,4,3,750,16,0
205,11,6,1500,26,0
154,2,1,250,2,0
47,2,2,500,2,0
396,21,2,500,21,1
