A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,Class
-1.329958,2.202144,-0.204084,-0.483568,-0.657716,-0.058097,-0.325875,-0.935914,0.677072,-0.615322,-0.309517,1.803752,-1.216242,1.894532,2.362311,-0.458577,0.311275,0.173259,0.146566,-0.029766,-0.535004,1
-0.032845,-0.894816,-0.139506,1.639803,0.73467,-0.058097,-0.325875,0.937235,1.393279,-0.615322,-1.483298,-0.222223,-0.266588,-0.893628,-0.70483,-0.458577,-0.304708,-0.841876,-0.620919,-0.177105,1.135214,1
-0.032845,-0.331732,-0.204084,0.578117,-0.657716,-0.058097,-0.325875,0.201355,-0.516605,-0.552831,0.479117,-0.643205,0.753409,-0.168706,-0.70483,0.958478,-0.167823,0.10075,-0.08368,-0.582289,-0.535004,1
-0.357123,1.920603,-0.204084,1.639803,0.73467,-0.058097,-0.325875,0.134457,0.199601,-0.615322,0.387416,1.145968,-0.336933,1.894532,0.999137,-0.458577,0.858816,0.463298,0.530308,1.14895,-0.535004,1
0.399526,-0.05019,-0.161032,-1.545253,-0.657716,-0.058097,-0.325875,0.803439,-0.635973,0.884448,0.955966,0.698674,-0.829346,0.165873,1.33993,-0.458577,0.379718,0.680827,0.530308,-0.508619,1.135214,1
-2.302793,-0.894816,-0.204084,0.224222,-0.657716,-0.058097,-0.325875,-1.404201,-0.039134,-0.615322,0.350735,-0.880007,-0.125899,-2.064655,-0.70483,0.958478,-1.605116,-1.494464,-1.695398,-0.619124,1.135214,1
-0.357123,-0.331732,-0.204084,0.578117,-0.657716,-0.058097,-0.325875,-0.534525,-0.516605,-0.115399,0.754222,-0.722139,0.647892,-0.503285,-0.364037,-0.458577,-0.09938,-0.04427,-0.160428,-0.582289,-0.535004,1
-0.465216,1.075977,-0.204084,0.578117,-0.657716,-0.058097,-0.325875,-1.604895,0.199601,-0.615322,0.809243,-0.695828,0.753409,-0.280232,-1.045623,-0.458577,-0.304708,0.318279,0.223314,-0.28761,-0.535004,1
-1.438051,-0.613274,-0.204084,1.285908,-0.309619,-0.058097,-0.325875,0.000661,-0.397238,-0.490341,0.295714,-0.090667,-0.723829,-1.339733,1.680724,-0.458577,-1.468231,-0.986896,-1.311655,-0.36128,1.135214,1
0.399526,-0.331732,0.872229,-1.191358,0.038477,-0.058097,-0.325875,1.13793,0.677072,-0.615322,-0.236156,0.146136,0.085135,0.444689,-0.023243,-0.458577,0.311275,-0.334309,0.376811,-0.508619,-0.535004,1
-1.329958,0.794435,-0.117979,-0.129673,1.430863,-0.058097,-0.325875,0.602744,0.677072,-0.615322,-0.951429,0.751297,-0.829346,0.2774,0.31755,0.958478,-0.920691,-0.986896,-0.851164,0.706931,-0.535004,1
-0.789494,-0.894816,-0.204084,-0.483568,-0.657716,-0.058097,-0.325875,0.602744,-0.994076,1.884294,-0.272836,-1.143121,0.788582,-1.172444,-0.70483,-0.458577,-0.578478,-0.551838,-0.697667,-0.655959,-0.535004,1
0.507619,0.512893,-0.204084,-0.837463,-0.657716,-0.058097,-0.325875,-1.939386,3.422531,-0.615322,1.652899,-0.222223,0.718237,0.667742,-0.023243,-0.458577,1.337914,1.043376,0.990799,-0.21394,-0.535004,1
-0.140937,-0.894816,-0.204084,0.224222,-0.657716,-0.058097,-0.325875,0.134457,0.79644,-0.615322,2.771659,0.488183,-1.110725,-0.726338,0.31755,-0.458577,-0.304708,-0.116779,-0.237177,-0.398115,1.135214,1
-0.573309,-0.894816,-0.074927,1.639803,2.823249,-0.058097,-0.325875,1.071032,1.632015,-0.615322,-1.263214,0.672363,-1.04038,-0.224469,0.658344,0.958478,-0.578478,-1.711993,-0.774416,0.080739,-0.535004,1
-1.329958,0.794435,-0.204084,1.285908,0.73467,-0.058097,-0.325875,-1.537997,0.438337,-0.615322,-0.749685,0.04089,-0.688656,-1.005154,-0.023243,-0.458577,-0.578478,-0.986896,-0.927913,0.228078,1.135214,1
-0.032845,-0.894816,-0.204084,0.932013,-0.657716,-0.058097,-0.325875,-0.735219,-0.397238,-0.115399,1.506176,-0.301157,-0.090727,-0.782101,-0.364037,-0.458577,-0.09938,-0.04427,-0.08368,-0.582289,1.135214,1
-0.140937,-0.331732,-0.204084,1.285908,-0.657716,17.586702,1.729943,-1.06971,0.080234,-0.615322,0.6075,0.830231,-1.145897,-0.05718,0.31755,-0.458577,-2.631755,-0.986896,-0.697667,2.769684,1.135214,1
