,A1,A2,A3,A4,A5,A6,A7,Class
295,0.71,0.71,0.48,0.5,0.4,0.54,0.39,8
33,0.4,0.29,0.48,0.5,0.42,0.35,0.44,1
80,0.34,0.28,0.48,0.5,0.41,0.35,0.44,1
247,0.7,0.53,0.48,0.5,0.7,0.86,0.87,5
131,0.39,0.31,0.48,0.5,0.38,0.34,0.43,1
328,0.69,0.66,0.48,0.5,0.41,0.5,0.25,8
201,0.36,0.47,0.48,0.5,0.51,0.69,0.72,2
76,0.48,0.42,0.48,0.5,0.45,0.25,0.35,1
149,0.46,0.61,0.48,0.5,0.48,0.86,0.87,2
318,0.66,0.71,0.48,0.5,0.41,0.5,0.35,8
47,0.43,0.4,0.48,0.5,0.39,0.28,0.39,1
115,0.41,0.51,0.48,0.5,0.58,0.2,0.31,1
68,0.25,0.37,0.48,0.5,0.43,0.26,0.36,1
141,0.27,0.42,0.48,0.5,0.37,0.38,0.43,1
73,0.44,0.42,0.48,0.5,0.42,0.25,0.2,1
75,0.42,0.3,0.48,0.5,0.48,0.26,0.36,1
220,0.85,0.53,0.48,0.5,0.53,0.52,0.35,3
307,0.71,0.86,0.48,0.5,0.4,0.54,0.32,8
238,0.81,0.44,0.48,0.5,0.42,0.67,0.68,5
60,0.44,0.56,0.48,0.5,0.5,0.46,0.54,1
253,0.84,0.54,0.48,0.5,0.75,0.92,0.7,5
299,0.68,0.82,0.48,0.5,0.38,0.65,0.56,8
6,0.29,0.28,0.48,0.5,0.44,0.23,0.34,1
95,0.64,0.76,0.48,0.5,0.45,0.35,0.38,1
153,0.55,0.47,0.48,0.5,0.57,0.78,0.8,2
289,0.72,0.86,0.48,0.5,0.17,0.55,0.21,8
151,0.52,0.39,0.48,0.5,0.65,0.71,0.73,2
275,0.69,0.59,0.48,0.5,0.77,0.39,0.21,6
303,0.74,0.82,0.48,0.5,0.49,0.49,0.41,8
125,0.34,0.51,0.48,0.5,0.44,0.37,0.46,1
178,0.83,0.37,0.48,0.5,0.61,0.71,0.74,2
158,0.48,0.45,0.48,0.5,0.6,0.78,0.8,2
177,0.6,0.61,0.48,0.5,0.54,0.67,0.71,2
169,0.49,0.42,0.48,0.5,0.53,0.79,0.81,2
286,0.66,0.86,0.48,0.5,0.34,0.41,0.36,8
19,0.41,0.57,0.48,0.5,0.39,0.21,0.32,1
138,0.4,0.41,0.48,0.5,0.55,0.22,0.33,1
305,0.63,0.83,0.48,0.5,0.4,0.39,0.19,8
28,0.43,0.37,0.48,0.5,0.53,0.35,0.44,1
225,0.79,0.41,0.48,0.5,0.66,0.81,0.83,5
312,0.63,0.65,0.48,0.5,0.39,0.44,0.35,8
128,0.23,0.34,0.48,0.5,0.43,0.26,0.37,1
40,0.33,0.45,0.48,0.5,0.52,0.32,0.41,1
100,0.38,0.4,0.48,0.5,0.63,0.25,0.35,1
291,0.67,0.81,0.48,0.5,0.54,0.49,0.23,8
65,0.24,0.43,0.48,0.5,0.54,0.52,0.59,1
12,0.39,0.32,0.48,0.5,0.46,0.24,0.35,1
124,0.61,0.36,0.48,0.5,0.49,0.35,0.44,1
37,0.65,0.47,0.48,0.5,0.59,0.3,0.4,1
162,0.72,0.46,0.48,0.5,0.51,0.66,0.7,2
127,0.4,0.46,0.48,0.5,0.42,0.35,0.44,1
109,0.47,0.28,0.48,0.5,0.56,0.2,0.25,1
194,0.58,0.34,0.48,0.5,0.56,0.87,0.81,2
107,0.43,0.32,0.48,0.5,0.33,0.45,0.52,1
106,0.44,0.49,0.48,0.5,0.39,0.38,0.4,1
137,0.26,0.4,0.48,0.5,0.36,0.26,0.37,1
8,0.2,0.44,0.48,0.5,0.46,0.51,0.57,1
3,0.59,0.49,0.48,0.5,0.52,0.45,0.36,1
182,0.6,0.5,1.0,0.5,0.54,0.77,0.8,2
69,0.35,0.48,0.48,0.5,0.56,0.4,0.48,1
186,0.89,0.55,0.48,0.5,0.51,0.72,0.76,2
13,0.51,0.5,0.48,0.5,0.46,0.32,0.35,1
239,0.58,0.6,0.48,0.5,0.59,0.73,0.76,5
319,0.69,0.59,0.48,0.5,0.46,0.44,0.52,8
231,0.59,0.29,0.48,0.5,0.64,0.75,0.77,5
330,0.43,0.59,0.48,0.5,0.52,0.49,0.56,8
0,0.49,0.29,0.48,0.5,0.56,0.24,0.35,1
272,0.52,0.81,0.48,0.5,0.72,0.38,0.38,6
86,0.5,0.49,0.48,0.5,0.49,0.46,0.53,1
144,0.44,0.52,0.48,0.5,0.43,0.47,0.54,2
88,0.5,0.51,0.48,0.5,0.27,0.23,0.34,1
42,0.4,0.5,0.48,0.5,0.45,0.39,0.47,1
315,0.69,0.8,0.48,0.5,0.46,0.57,0.26,8
10,0.42,0.24,0.48,0.5,0.57,0.27,0.37,1
96,0.35,0.37,0.48,0.5,0.3,0.34,0.43,1
85,0.4,0.46,0.48,0.5,0.52,0.49,0.56,1
114,0.38,0.44,0.48,0.5,0.43,0.2,0.31,1
204,0.31,0.44,0.48,0.5,0.5,0.79,0.82,2
180,0.63,0.54,0.48,0.5,0.65,0.79,0.81,2
72,0.37,0.5,0.48,0.5,0.42,0.36,0.45,1
221,0.63,0.49,0.48,0.5,0.54,0.76,0.79,3
311,0.75,0.84,0.48,0.5,0.35,0.52,0.33,8
212,0.46,0.59,0.48,0.5,0.36,0.76,0.23,2
57,0.4,0.35,0.48,0.5,0.45,0.33,0.42,1
269,0.68,0.76,0.48,0.5,0.84,0.45,0.27,6
181,0.7,0.4,0.48,0.5,0.56,0.86,0.83,2
163,0.47,0.55,0.48,0.5,0.58,0.71,0.75,2
317,0.63,0.8,0.48,0.5,0.46,0.31,0.29,8
246,0.76,0.41,0.48,0.5,0.5,0.59,0.62,5
94,0.31,0.47,0.48,0.5,0.29,0.28,0.39,1
211,0.52,0.54,0.48,0.5,0.62,0.76,0.79,2
179,0.34,0.51,0.48,0.5,0.67,0.9,0.9,2
281,0.71,0.46,1.0,0.5,0.52,0.59,0.3,7
