,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,Class
1057,-1.2315180000000001,-1.301516,0.447471,0.44747200000000004,-0.309203,-0.17840599999999998,-0.031030000000000002,-0.357052,0.160493,0.100288,-0.8020109999999999,1.50851,-1.50851,-0.175006,-1.096891,1.099184,-0.916324,-0.392218,-1.262586,0.32409299999999996,0.9629909999999999,0.559689,0.526022,0.98906,1.344458,-0.058245000000000005,1.450357,2
401,-1.190928,-0.926055,0.371535,0.37154,1.021095,0.723779,0.15803299999999998,1.09754,-1.750431,-0.232843,-0.786462,-1.0069700000000001,1.0069700000000001,-0.7758649999999999,-0.998667,0.21370999999999998,-0.695808,1.983785,-0.275061,-2.035223,-1.306792,1.7931400000000002,1.889834,1.055623,-1.607696,-0.42526800000000003,1.455624,3
1487,1.6999369999999998,1.6293520000000001,0.176222,0.1762,-0.414918,-0.357352,-0.15787,-0.48323999999999995,-0.019783000000000002,-0.177321,-0.786462,-1.0069700000000001,1.0069700000000001,-0.7758649999999999,-1.1028440000000002,-1.1160290000000002,-0.167378,-0.587657,-0.21470999999999998,1.04358,0.9629909999999999,-0.270715,-1.326595,0.08393300000000001,0.909703,-0.49118,-1.107819,1
1773,-0.573068,-0.673473,-0.8480120000000001,-0.848035,-0.43750500000000003,-0.398361,-0.18898099999999998,-0.507078,0.917651,0.266854,1.8257430000000001,1.50851,-1.50851,1.287086,0.158441,-1.2534299999999998,0.927515,-0.66671,1.7411159999999999,1.04358,-1.306792,-1.301168,-1.365134,-1.825334,-0.665374,0.571037,-1.5912950000000001,7
87,-1.195438,-0.910127,0.20118699999999998,0.201192,1.175944,0.537377,0.071877,1.282861,-1.570155,-0.343886,-0.786462,-1.0069700000000001,1.0069700000000001,-0.7758649999999999,-1.009457,-0.207654,-0.846326,2.128716,0.361532,-1.382313,-1.306792,1.844716,-1.131212,1.0231569999999999,-1.695069,-0.378089,1.455624,3
778,0.590494,0.541654,-0.785321,-0.785343,-0.42236999999999997,-0.32752800000000004,-0.169836,-0.48735900000000004,0.665265,0.711028,1.8101939999999999,1.50851,-1.50851,1.287086,2.4291259999999997,0.678584,-1.078171,-0.43394099999999997,1.554698,-1.2877610000000002,-1.306792,-0.443146,0.585672,-1.7856900000000002,-1.829418,0.598096,-1.07025,7
195,0.8520700000000001,0.801064,-0.35046700000000003,-0.350486,-0.404673,-0.27160700000000004,-0.14111700000000002,-0.46757600000000005,0.593155,-0.177321,-0.6931689999999999,1.50851,-1.50851,-0.19503399999999999,0.9382799999999999,1.135825,0.9659540000000001,-0.39661,-0.32200100000000004,-0.5884149999999999,-1.306792,-0.100881,0.526022,0.08393300000000001,-0.643061,0.142265,0.017133000000000002,7
1308,-0.9947459999999999,-1.058035,-0.830382,-0.8303969999999999,-0.38511300000000004,-0.241783,-0.155477,-0.436891,1.206093,0.544463,-0.770913,-1.0069700000000001,1.0069700000000001,-0.7758649999999999,-0.522802,-0.213761,0.681103,-0.361475,-0.541501,0.7325109999999999,-1.306792,0.11993800000000002,0.585672,0.08393300000000001,-0.808413,0.777792,0.20497600000000002,7
823,2.259168,2.2141610000000003,0.837549,0.837522,-0.417946,-0.286519,-0.15069000000000002,-0.48592299999999994,0.448934,-0.788061,1.8101939999999999,-1.0069700000000001,1.0069700000000001,-0.175006,-0.789941,1.848021,1.2872190000000001,-0.49981899999999996,-0.43018599999999996,-0.075374,-1.306792,-0.333975,0.424993,0.040863,-0.45656899999999995,-0.356581,-0.383131,7
988,1.7405259999999998,1.6703119999999998,-0.882497,-0.882517,-0.42888999999999994,-0.383448,-0.181802,-0.499086,0.088383,-1.176713,-0.724267,-1.0069700000000001,1.0069700000000001,0.425854,-1.157909,-1.828989,0.8376899999999999,-0.587657,1.7411159999999999,1.04358,-1.306792,-2.486701,-1.326595,-1.7856900000000002,-0.7175159999999999,-0.763845,-1.463141,1
996,-1.2518120000000001,-1.347026,-0.15598399999999998,-0.155994,-0.381155,-0.338712,-0.117185,-0.43459,0.23260300000000003,1.155202,-0.8020109999999999,1.50851,-1.50851,-0.175006,-1.146375,-1.298467,-1.119442,-0.5700890000000001,-0.600511,1.04358,0.9629909999999999,0.15499100000000002,-1.3196780000000001,0.5749989999999999,1.462366,0.523165,-0.080125,1
845,-0.555028,-0.530115,-0.652835,-0.652697,0.97988,0.518737,0.5265850000000001,1.1149040000000001,0.088383,0.15581,-0.825334,-1.0069700000000001,1.0069700000000001,4.431584,0.553197,1.7762669999999998,-1.466603,0.240211,-1.6609040000000002,0.7666390000000001,0.9629909999999999,1.778505,1.214497,2.088819,1.663889,-0.200475,1.455624,7
1543,1.395517,1.367668,-0.266933,-0.266801,0.46317600000000003,0.43672,0.49308100000000005,0.469559,-0.236114,-0.177321,-0.755364,-1.0069700000000001,1.0069700000000001,1.928003,-0.452854,0.834305,-1.8918560000000002,-0.264854,-2.163384,0.888605,0.9629909999999999,1.546827,0.737744,2.0713619999999997,1.910743,-0.503668,1.455624,2
1631,-1.195438,-0.9146780000000001,0.762937,0.76294,1.189682,0.522465,0.131707,1.309952,-1.6062100000000001,-0.177321,-0.8020109999999999,-1.0069700000000001,1.0069700000000001,-0.7758649999999999,-1.009085,0.044248,-0.714016,2.1023650000000003,0.374944,-1.7538060000000002,-1.306792,1.849082,-1.131967,1.076506,-1.618265,-0.341318,1.455624,3
