,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,Class
383,1.20776,-0.500941,1.379234,-0.168647,-0.710535,0.513007,-0.966425,0.14036500000000002,0.617309,-1.018727,-2.38693,1.027144,-0.427864,-0.823047,-0.196516,-0.5547350000000001,-0.34026100000000004,-3.119802,4.840429,-0.46845600000000004,0.639601,-0.149833,-0.499626,0.7656569999999999,1
716,-1.338467,2.2995099999999997,-0.51662,2.516244,-0.710535,0.513007,0.450621,1.045949,1.578849,0.30475399999999997,-0.9618969999999999,2.759258,2.332548,1.2141979999999999,-0.196516,-0.5547350000000001,2.963246,0.319891,-0.20694200000000001,-0.46845600000000004,-1.588975,-0.149833,-0.499626,0.7656569999999999,2
597,-0.489724,-0.24635500000000002,-0.51662,-0.09705,-0.710535,0.513007,-0.966425,1.045949,-1.305771,0.392986,0.463136,-0.70497,-0.427864,-0.823047,-0.196516,-0.5547350000000001,-0.34026100000000004,0.319891,-0.20694200000000001,2.148619,-1.588975,-0.149833,-0.499626,0.7656569999999999,1
32,1.20776,1.281164,1.379234,2.587841,1.861537,1.34581,0.450621,1.045949,1.578849,0.56945,0.463136,1.027144,-0.427864,-0.823047,-0.196516,-0.5547350000000001,2.963246,0.319891,-0.20694200000000001,-0.46845600000000004,-1.588975,-0.149833,-0.499626,0.7656569999999999,1
954,-1.338467,-0.24635500000000002,1.379234,0.260936,-0.710535,1.34581,-0.966425,1.045949,-1.305771,-0.22463899999999998,-2.38693,2.759258,-0.427864,1.2141979999999999,-0.196516,1.815927,-0.34026100000000004,0.319891,-0.20694200000000001,2.148619,-1.588975,-0.149833,-0.499626,0.7656569999999999,2
621,-1.338467,-0.755528,-0.51662,-0.383438,-0.710535,-0.319796,0.450621,0.14036500000000002,-0.344231,-1.018727,0.463136,-0.70497,-0.427864,-0.823047,-0.196516,-0.5547350000000001,-0.34026100000000004,0.319891,-0.20694200000000001,-0.46845600000000004,0.639601,-0.149833,1.998503,-1.3036860000000001,1
581,1.20776,0.771991,1.379234,0.9769059999999999,-0.710535,0.513007,0.450621,-0.7652180000000001,0.617309,0.216521,0.463136,-0.70497,-0.427864,-0.823047,-0.196516,-0.5547350000000001,-0.34026100000000004,-3.119802,4.840429,-0.46845600000000004,0.639601,-0.149833,-0.499626,0.7656569999999999,1
604,0.359018,0.262818,-0.51662,0.6905180000000001,-0.710535,0.513007,0.450621,-0.7652180000000001,0.617309,-0.9304950000000001,-2.38693,-0.70497,-0.427864,-0.823047,-0.196516,-0.5547350000000001,-0.34026100000000004,0.319891,-0.20694200000000001,-0.46845600000000004,0.639601,-0.149833,-0.499626,0.7656569999999999,1
637,1.20776,1.281164,0.431307,1.585482,0.575501,0.513007,-0.966425,1.045949,0.617309,0.392986,0.463136,1.027144,-0.427864,1.2141979999999999,-0.196516,-0.5547350000000001,-0.34026100000000004,0.319891,-0.20694200000000001,-0.46845600000000004,0.639601,-0.149833,-0.499626,0.7656569999999999,1
101,1.20776,0.008232,1.379234,3.3754089999999994,1.861537,1.34581,0.450621,1.045949,1.578849,-0.489335,0.463136,-0.70497,-0.427864,1.2141979999999999,-0.196516,1.815927,-0.34026100000000004,0.319891,-0.20694200000000001,-0.46845600000000004,-1.588975,-0.149833,-0.499626,-1.3036860000000001,2
410,-1.338467,2.044924,-0.51662,-0.526632,-0.710535,-0.319796,0.450621,1.045949,1.578849,-1.106959,0.463136,-0.70497,-0.427864,1.2141979999999999,-0.196516,-0.5547350000000001,-0.34026100000000004,0.319891,-0.20694200000000001,-0.46845600000000004,-1.588975,-0.149833,-0.499626,0.7656569999999999,2
465,-0.489724,1.281164,-0.51662,-0.311841,-0.710535,-1.1526,0.450621,-1.6708020000000001,1.578849,-0.22463899999999998,0.463136,-0.70497,-0.427864,-0.823047,-0.196516,-0.5547350000000001,-0.34026100000000004,0.319891,-0.20694200000000001,2.148619,-1.588975,-0.149833,1.998503,-1.3036860000000001,2
259,-1.338467,-0.9252520000000001,-0.51662,-0.34764,-0.710535,1.34581,0.450621,1.045949,-1.305771,1.45177,0.463136,-0.70497,-0.427864,-0.823047,-0.196516,-0.5547350000000001,-0.34026100000000004,0.319891,-0.20694200000000001,-0.46845600000000004,0.639601,-0.149833,1.998503,-1.3036860000000001,1
320,0.359018,1.7903369999999998,1.379234,0.547324,-0.710535,1.34581,0.450621,1.045949,1.578849,1.804699,0.463136,-0.70497,-0.427864,-0.823047,-0.196516,-0.5547350000000001,2.963246,0.319891,-0.20694200000000001,-0.46845600000000004,-1.588975,-0.149833,-0.499626,0.7656569999999999,1
521,-1.338467,-1.094977,1.379234,-0.741424,-0.710535,1.34581,0.450621,1.045949,1.578849,1.363538,-2.38693,1.027144,2.332548,1.2141979999999999,-0.196516,-0.5547350000000001,-0.34026100000000004,0.319891,-0.20694200000000001,-0.46845600000000004,-1.588975,-0.149833,-0.499626,-1.3036860000000001,1
431,-1.338467,2.2995099999999997,-0.51662,0.368331,-0.710535,-1.1526,-0.966425,1.045949,-0.344231,-1.018727,0.463136,-0.70497,-0.427864,-0.823047,-0.196516,-0.5547350000000001,-0.34026100000000004,0.319891,-0.20694200000000001,2.148619,-1.588975,-0.149833,-0.499626,0.7656569999999999,2
557,1.20776,-0.755528,1.379234,-0.741424,0.575501,-0.319796,0.450621,1.045949,-1.305771,0.7459140000000001,0.463136,-0.70497,-0.427864,1.2141979999999999,-0.196516,1.815927,-0.34026100000000004,0.319891,-0.20694200000000001,-0.46845600000000004,0.639601,-0.149833,-0.499626,0.7656569999999999,1
503,1.20776,-0.24635500000000002,-0.51662,-0.7772220000000001,1.861537,-1.1526,-0.966425,-0.7652180000000001,-1.305771,-1.283424,0.463136,-0.70497,-0.427864,1.2141979999999999,-0.196516,-0.5547350000000001,-0.34026100000000004,0.319891,-0.20694200000000001,2.148619,-1.588975,-0.149833,-0.499626,0.7656569999999999,1
43,-1.338467,-0.24635500000000002,-0.51662,-0.490834,1.861537,0.513007,1.867666,1.045949,0.617309,-1.106959,0.463136,1.027144,-0.427864,-0.823047,-0.196516,-0.5547350000000001,-0.34026100000000004,0.319891,-0.20694200000000001,2.148619,-1.588975,-0.149833,1.998503,-1.3036860000000001,1
379,1.20776,-0.24635500000000002,1.379234,-0.7772220000000001,1.2185190000000001,-0.319796,0.450621,0.14036500000000002,-1.305771,0.922378,0.463136,1.027144,-0.427864,-0.823047,-0.196516,-0.5547350000000001,-0.34026100000000004,0.319891,-0.20694200000000001,-0.46845600000000004,0.639601,-0.149833,-0.499626,0.7656569999999999,1
669,-1.338467,-0.755528,-0.51662,-0.562431,-0.710535,-0.319796,0.450621,-0.7652180000000001,-1.305771,-0.754031,0.463136,-0.70497,-0.427864,-0.823047,-0.196516,-0.5547350000000001,-0.34026100000000004,0.319891,-0.20694200000000001,-0.46845600000000004,0.639601,-0.149833,-0.499626,0.7656569999999999,1
305,1.20776,-1.010114,1.379234,-0.311841,-0.710535,-1.9854029999999998,0.450621,0.14036500000000002,0.617309,-0.40110300000000004,0.463136,-0.70497,-0.427864,-0.823047,-0.196516,-0.5547350000000001,-0.34026100000000004,0.319891,-0.20694200000000001,-0.46845600000000004,0.639601,-0.149833,-0.499626,-1.3036860000000001,1
782,-1.338467,-1.010114,1.379234,-0.705625,-0.067517,1.34581,0.450621,1.045949,-1.305771,1.098842,0.463136,1.027144,2.332548,-0.823047,5.114739,-0.5547350000000001,-0.34026100000000004,-3.119802,-0.20694200000000001,-0.46845600000000004,0.639601,-0.149833,-0.499626,0.7656569999999999,1
288,1.20776,0.262818,-0.51662,-0.025453,-0.710535,-1.1526,-0.966425,1.045949,-0.344231,-0.8422629999999999,0.463136,-0.70497,-0.427864,1.2141979999999999,-0.196516,-0.5547350000000001,-0.34026100000000004,0.319891,-0.20694200000000001,-0.46845600000000004,0.639601,-0.149833,-0.499626,0.7656569999999999,1
391,0.359018,0.771991,0.431307,-0.490834,-0.710535,1.34581,0.450621,1.045949,-1.305771,2.687019,0.463136,-0.70497,-0.427864,1.2141979999999999,-0.196516,-0.5547350000000001,-0.34026100000000004,0.319891,-0.20694200000000001,-0.46845600000000004,0.639601,-0.149833,-0.499626,-1.3036860000000001,2
314,1.20776,0.262818,-0.51662,-0.6340279999999999,1.2185190000000001,0.513007,-0.966425,0.14036500000000002,0.617309,-0.136407,0.463136,-0.70497,2.332548,1.2141979999999999,-0.196516,1.815927,-0.34026100000000004,0.319891,-0.20694200000000001,-0.46845600000000004,0.639601,-0.149833,-0.499626,0.7656569999999999,1
326,1.20776,0.262818,-0.51662,0.046144,0.575501,1.34581,0.450621,-0.7652180000000001,0.617309,-0.40110300000000004,0.463136,-0.70497,2.332548,1.2141979999999999,-0.196516,-0.5547350000000001,-0.34026100000000004,0.319891,-0.20694200000000001,-0.46845600000000004,0.639601,-0.149833,-0.499626,0.7656569999999999,1
212,-0.489724,-1.010114,-0.51662,-0.6698270000000001,-0.710535,-0.319796,1.867666,-1.6708020000000001,-1.305771,-0.754031,-2.38693,-0.70497,-0.427864,1.2141979999999999,-0.196516,-0.5547350000000001,-0.34026100000000004,0.319891,-0.20694200000000001,-0.46845600000000004,0.639601,-0.149833,-0.499626,0.7656569999999999,1
786,1.20776,1.281164,0.431307,2.265654,-0.710535,-1.1526,-2.383471,-1.6708020000000001,0.617309,-0.665799,0.463136,1.027144,-0.427864,-0.823047,-0.196516,-0.5547350000000001,-0.34026100000000004,0.319891,-0.20694200000000001,-0.46845600000000004,0.639601,-0.149833,-0.499626,0.7656569999999999,2
872,1.20776,1.281164,-0.51662,0.511525,-0.710535,-0.319796,0.450621,-0.7652180000000001,1.578849,-0.312871,0.463136,-0.70497,-0.427864,1.2141979999999999,-0.196516,-0.5547350000000001,2.963246,0.319891,-0.20694200000000001,-0.46845600000000004,-1.588975,-0.149833,-0.499626,-1.3036860000000001,1
589,-0.489724,1.281164,1.379234,0.905309,-0.710535,-0.319796,0.450621,1.045949,0.617309,-0.136407,0.463136,1.027144,-0.427864,1.2141979999999999,-0.196516,-0.5547350000000001,2.963246,0.319891,-0.20694200000000001,-0.46845600000000004,0.639601,-0.149833,-0.499626,0.7656569999999999,1
106,1.20776,-0.24635500000000002,-0.51662,-0.6340279999999999,-0.710535,-1.1526,1.867666,-1.6708020000000001,-0.344231,0.657682,0.463136,-0.70497,2.332548,-0.823047,-0.196516,-0.5547350000000001,-0.34026100000000004,-3.119802,4.840429,-0.46845600000000004,0.639601,-0.149833,1.998503,-1.3036860000000001,2
