A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,Class
0.294978,-0.296603,1.522448,-0.368878,-0.554135,-0.41284,1.464115,2.363767,-2.169503,-0.973269,-0.593479,-1.052761,1.942231,-0.362062,-0.897972,-0.327866,1
0.294978,-0.296603,2.585892,-0.43971,-0.486658,-0.743815,1.985328,2.943684,-2.298013,-0.98354,-0.608135,-1.105128,2.486506,-0.362062,-0.939449,-0.556739,1
0.294978,-0.296603,0.962242,-0.389254,-0.409206,-0.884451,1.522409,1.973563,-1.978684,-0.990652,-0.633893,-0.760373,0.804186,-0.362062,-0.847607,-0.562166,1
0.294978,-0.296603,0.343166,-0.389254,-0.528905,-1.070635,2.612841,3.150643,-3.162538,-0.992495,-0.637002,-1.144404,1.75636,-0.362062,-0.897972,-0.501197,1
0.294978,-0.296603,-0.836117,-0.371465,-0.51717,-0.817956,1.506978,1.531619,-1.164785,-0.997236,-0.574678,-1.14004,0.794357,-0.362062,-1.072768,-0.569827,1
0.294978,-0.296603,0.910969,-0.145062,-0.545921,-1.05052,2.431103,3.308018,-2.825685,-0.9975,-0.648401,-1.057125,1.585759,-0.362062,-0.815018,-0.537586,1
0.294978,-0.296603,1.114162,-0.31163,-0.190932,-0.78687,1.376675,1.197466,-0.919447,-0.897942,-0.563872,-1.078945,2.200591,-0.362062,-0.495054,-0.493695,1
0.21331,-0.296603,-0.274011,-0.291254,-0.441478,-0.911381,1.064633,1.501437,-1.234882,-0.991705,-0.637446,-0.939297,0.852804,-0.362062,0.029333,-0.316375,1
0.294978,-0.296603,1.230002,-0.425155,-0.551202,-1.038884,1.539554,1.637254,-3.043763,-0.990388,-0.648993,-0.987301,0.76294,-0.362062,-0.782429,-0.559612,1
0.294978,-0.296603,-0.853208,-0.41804,-0.466122,-0.800169,1.429825,1.801097,-1.139472,-1.005664,-0.632561,-1.170588,1.501862,-0.362062,-0.975001,-0.551632,1
0.294978,-0.296603,1.545237,-0.465261,-0.443825,-0.865001,2.021333,1.952004,-2.636814,-0.965367,-0.627972,-1.157496,2.103881,-0.362062,-0.764654,-0.536788,1
0.294978,-0.296603,1.427498,-0.450706,-0.484311,-1.076952,1.496691,2.385325,-2.167556,-0.984857,-0.64396,-0.987301,1.043941,-0.362062,-0.45654,-0.488269,1
0.131641,-0.296603,-0.824723,-0.379228,-0.507195,-1.069471,2.425959,2.0986,-2.475202,-1.006455,-0.634041,-1.196772,1.264038,-0.362062,-0.815018,-0.548918,1
0.21331,-0.123555,-0.756358,-0.265056,-0.322366,1.039063,-0.805906,-1.199811,0.986791,0.514045,0.433904,-0.677457,-0.296825,0.125754,0.417438,0.266021,2
0.21331,-0.296603,-1.386828,-0.299016,-0.381629,-0.727524,0.536561,-0.490545,0.028804,-0.986964,-0.497551,-1.157496,0.539333,-0.362062,-0.714289,-0.469116,2
0.131641,0.271731,-1.348848,0.248879,0.310746,-0.174292,0.104503,-0.770802,1.212658,-0.670907,-0.345072,0.086241,-0.375105,1.101386,-0.403212,0.156054,2
-0.031696,-0.296603,-1.483678,-0.31066,-0.415661,-0.484488,-0.174963,-0.829009,0.889435,-0.503923,-0.161505,-0.638181,0.253944,-0.362062,-0.213603,-0.18518,2
0.294978,-0.296603,0.242519,-0.296752,-0.515996,-0.637591,1.515551,0.899962,-1.657408,-0.985647,-0.562687,-0.747281,1.270883,-0.362062,-0.021032,-0.069467,2
0.294978,-0.296603,0.284297,0.053202,-0.264864,0.850551,-0.598449,-0.436649,0.437701,-0.093049,-0.391407,1.679099,-1.149305,-0.362062,2.023186,0.951202,2
0.294978,-0.296603,0.52547,-0.152178,-0.335861,-0.039973,-0.963641,-0.113275,0.710299,0.934664,-0.489705,0.064421,-0.351059,-0.362062,-0.503942,-0.151823,2
0.294978,-0.296603,1.045798,-0.35497,-0.482551,-0.842892,1.73158,2.033926,-2.077988,-0.971425,-0.608727,-0.699277,0.138104,-0.362062,-0.459502,-0.326749,2
0.294978,-0.296603,-0.687994,-0.270877,-0.172156,0.132912,0.702869,-0.318079,0.371499,-0.421485,-0.111616,-0.729825,0.311162,-0.362062,-0.465428,-0.164272,2
0.21331,-0.296603,-0.169566,-0.286079,0.01678,0.180954,-0.831623,-0.749244,0.751189,0.218268,-0.015687,0.260801,-0.287698,-0.362062,-0.90686,-0.330739,2
0.294978,-0.296603,1.818693,-0.060323,-0.1569,0.144548,0.716586,0.393343,-0.247688,-0.122811,-0.293702,0.880488,-0.148689,-0.362062,-0.40025,-0.413893,2
0.294978,-0.296603,0.453308,-0.288666,-0.07182,0.075062,-0.912206,0.080749,0.632414,0.144784,-0.163281,0.208433,-0.170453,-0.362062,-0.112874,-0.044569,2
0.376646,0.674923,7.025767,0.463639,1.304713,3.190818,-1.683738,-0.807451,0.583736,-0.114383,1.033901,1.116144,-0.228725,6.46736,0.571495,1.938195,2
0.21331,-0.296603,-0.311991,-0.205221,-0.328234,-0.582068,0.025635,-0.156392,-0.049081,-0.960099,-0.444997,-0.769101,-0.323679,-0.362062,0.278194,-0.369204,2
0.21331,-0.296603,-1.081088,-0.298369,-0.493699,-0.847048,1.138357,1.262141,-0.9175,-0.994339,-0.461725,-1.214228,1.532402,-0.362062,-0.118799,-0.347657,2
0.294978,-0.222816,-0.315789,0.102041,-0.355224,-0.21369,-0.91392,-0.734153,0.897223,-0.567925,0.166695,-0.14505,-0.229251,0.125754,2.002448,0.454833,2
0.21331,-0.296603,-0.555064,-0.26732,-0.547681,-1.035227,2.134491,2.667738,-2.342797,-1.008298,-0.631377,-1.122584,1.756184,-0.362062,-0.672812,-0.482842,2
0.294978,-0.296603,0.027931,-0.162851,-0.487832,-1.019434,-0.180107,0.451551,-0.02961,-0.746761,-0.642332,-0.022858,-0.241362,-0.362062,0.888497,-0.430971,2
0.21331,-0.296603,-0.422133,-0.095577,-0.276599,0.610507,-0.733896,-0.779425,0.698616,0.671546,0.471949,-0.258514,0.220596,-0.362062,-0.503942,-0.324834,2
0.21331,-0.296603,-0.156273,-0.412541,-0.30711,-0.639752,0.798882,1.020688,-0.699422,-0.971688,-0.534412,-0.550901,0.630075,-0.362062,-0.788355,-0.151025,2
0.21331,-0.296603,-0.517084,-0.27767,-0.436197,-0.843391,1.296092,0.971104,-0.726681,-0.975112,-0.620866,-0.908749,0.745038,-0.362062,0.62186,-0.135065,2
0.131641,0.421061,-1.329858,0.083282,-0.448519,-0.615481,0.443977,-0.443117,0.61489,-0.608486,-0.408876,-1.222956,1.200501,1.589202,0.423363,0.476699,2
0.21331,-0.296603,0.050719,-0.403808,-0.436197,-0.464373,0.774879,0.520537,-0.236005,-0.958256,-0.569793,0.736476,-0.354569,-0.362062,-0.782429,-0.324196,2
0.294978,-0.296603,0.365954,0.226886,-0.251955,-0.424975,-0.29155,-0.042133,0.110584,-0.921119,-0.564168,0.76266,-0.432849,-0.362062,0.500392,-0.232742,2
0.21331,-0.296603,-1.098179,-0.287696,-0.345836,-0.570431,0.754305,0.065658,-0.271053,-0.97959,-0.51265,-1.11822,0.569697,-0.362062,-0.367661,-0.153419,2
0.21331,-0.296603,-0.828521,0.027328,-0.45204,-0.854861,1.066347,1.223336,-1.098583,-0.993285,-0.480526,-1.035305,1.201379,-0.362062,2.040962,0.038585,2
0.294978,-0.130583,-1.162746,0.18678,0.280234,-0.018529,-0.577875,-1.449887,1.438525,0.147681,-0.18371,0.487729,-0.067425,0.125754,1.55509,0.10115,2
0.294978,0.038951,0.417227,-0.103016,-0.192106,-0.829593,0.641147,0.507602,-0.101653,-0.77942,-0.556322,-0.419982,0.398218,0.125754,1.635081,1.182628,2
0.294978,-0.296603,1.380023,-0.286079,-0.464361,-0.711399,1.599562,1.770915,-2.009839,-0.932971,-0.485263,-0.563993,0.843853,-0.362062,0.017482,-0.079363,2
0.294978,-0.296603,0.825513,-0.390871,-0.23846,-0.54666,-0.1321,0.169138,-0.052975,-0.919275,-0.502436,1.404167,-0.820389,-0.362062,-0.939449,-0.448846,2
0.294978,-0.296603,0.388742,-0.308396,-0.410966,-0.866497,0.677152,1.009909,-0.781201,-0.756506,-0.595848,-0.223602,0.359429,-0.362062,-0.966113,-0.489067,2
0.294978,-0.296603,0.804624,-0.427419,-0.400405,-0.808315,0.663436,0.761989,-0.919447,-0.950091,-0.581636,-0.742917,-0.471112,-0.362062,-0.506904,-0.20146,2
0.294978,-0.296603,-0.072716,-0.311307,-0.441478,-0.807151,0.359966,0.772768,-0.518339,-0.971161,-0.533376,-0.873837,0.18444,-0.362062,-0.740953,-0.535831,2
0.131641,-0.296603,1.222406,0.211038,-0.514823,-0.921688,1.882457,2.363767,-2.827632,-0.975376,-0.630193,-1.052761,1.566452,-0.362062,3.762253,1.23019,2
-0.031696,1.499753,-0.615832,1.198802,0.130611,1.392147,-1.229391,-1.331316,1.345063,0.540909,2.15514,-0.878201,1.033059,3.052649,-0.083248,0.388757,2
-0.276701,1.928419,-1.234908,1.412592,2.643108,2.039137,-2.554713,-2.21736,1.812373,2.399063,3.608279,0.688472,-0.847242,1.589202,2.636452,0.168662,2
0.21331,-0.296603,-1.327959,-0.204574,-0.329994,-0.564779,-0.463002,-0.949735,0.965373,0.185345,-0.491185,1.674735,-2.011615,-0.362062,-0.740953,-0.540938,2
0.294978,-0.296603,1.040101,-0.473347,-0.514236,-0.916202,1.795017,2.312027,-2.262965,-0.987754,-0.621458,-0.245422,-0.149742,-0.362062,-1.099431,-0.589777,2
0.294978,-0.296603,0.711573,-0.399604,-0.415661,-0.296808,0.229663,0.940923,-0.604012,-0.951145,-0.503176,0.845576,-0.441625,-0.362062,-0.536531,-0.169539,2
0.21331,-0.296603,-1.157049,-0.1939,0.064894,-0.122592,-0.56073,-0.904463,0.889435,-0.951408,-0.208285,0.012054,-0.361063,-0.362062,-0.133612,-0.138097,2
0.294978,-0.296603,0.529268,-0.101722,-0.273665,0.593551,0.660007,0.591679,-0.165909,0.129508,-0.466611,0.313169,-0.151498,-0.362062,-0.657999,0.04465,2
0.21331,0.399101,-1.100078,-0.252442,-0.121695,1.606425,-1.495141,-1.482224,1.197081,2.446735,2.390816,-0.441802,-0.085679,1.589202,-0.426913,0.542456,2
0.21331,-0.296603,-1.100078,-0.226244,0.002698,1.201641,-0.862485,-1.359342,1.428789,1.649217,-0.288225,-0.005402,-1.528244,-0.362062,-0.586896,-0.399848,2
0.049973,-0.296603,-1.451394,-0.053854,-0.082969,0.171645,-1.53629,-1.7323,1.547564,1.282854,-0.045443,1.548179,-2.282085,-0.362062,0.298932,-0.092131,2
0.21331,-0.296603,-0.211344,-0.184197,0.107727,-0.256911,-0.519581,-0.440961,0.575947,-0.304281,-0.154103,0.723384,-0.302617,-0.362062,-0.498016,-0.425065,2
