,A1,A2,Class
1623,3.45851,-4.736445,2
958,6.603438000000001,-5.496779,1
518,9.484485000000001,-5.636149,1
1054,8.046116,3.870922,2
154,5.614182,-7.914324000000001,1
1728,3.6112580000000003,-3.1435,2
977,7.50082,-3.6526129999999997,1
685,8.743793,3.450614,1
1796,6.48325,2.686831,2
1643,4.836655,4.453115,2
1938,4.337927,0.35546500000000003,2
1323,6.210703,-0.20410999999999999,2
1883,4.993337,-2.717955,2
960,8.75042,-5.72889,1
206,5.831034,-7.381075,1
1480,6.435575,-2.02467,2
1537,3.853195,-3.041754,2
1304,6.313761,0.6830729999999999,2
599,6.711150999999999,-8.059997000000001,1
237,7.071483,7.356275999999999,1
337,9.092092999999998,-0.803098,1
1019,4.150043,4.17095,2
14,6.494197,-9.006839,1
1993,4.242382,2.073228,2
1484,4.466723,-4.099536,2
262,8.944096,-3.4795870000000004,1
1700,5.98608,-4.299587,2
1920,4.113719000000001,4.732548,2
388,10.248436,-0.631102,1
829,9.575087,2.471628,1
738,10.215488,-4.696491,1
1736,3.614028,4.128076999999999,2
1953,6.7913559999999995,-1.382142,2
823,8.329505000000001,-6.689164999999999,1
1669,4.994598000000001,-1.50187,2
1807,4.128641,-6.051746,2
1870,4.451683999999999,3.008265,2
1273,3.6008709999999997,-4.911928,2
402,7.308696,7.146952000000001,1
1889,7.344206,-1.733222,2
33,6.67554,6.511248999999999,1
1747,5.554668,-3.440092,2
1613,5.252286,2.0506330000000004,2
158,9.655054,3.622645,1
131,4.228832,8.07432,1
145,8.748416,5.35599,1
574,5.705702,-8.599871,1
1363,4.8317879999999995,4.556567,2
1249,6.875526,-3.83693,2
1346,7.158397999999999,3.362448,2
270,8.876316000000001,3.502589,1
1357,5.440409,-1.498245,2
91,7.532044,-4.37217,1
1626,5.516249,-1.532373,2
1939,6.442573,-1.0596729999999999,2
838,10.263843,3.033347,1
1929,5.501653,-3.54532,2
1667,5.511841,1.3041770000000001,2
1177,7.245277000000001,-0.224061,2
267,5.123703,9.639064999999999,1
1236,5.241148,-3.5148260000000002,2
901,3.885043,-8.915509,1
1896,2.9395740000000004,4.915934,2
391,9.024548,4.999844,1
1386,7.01465,2.362515,2
706,7.101788000000001,5.2264,1
321,4.425864,8.242392,1
353,9.57133,1.5083,1
1460,5.707224,2.594257,2
519,9.453565,-2.219635,1
1358,5.38703,1.770304,2
762,3.7721489999999998,8.228132,1
142,8.745953,4.6371459999999995,1
1065,6.697742,-0.807358,2
1034,4.3304089999999995,-0.871102,2
441,8.974762,0.773035,1
1120,4.370737999999999,-3.78881,2
1111,4.061594,-4.788042,2
667,10.757079,3.558681,1
1188,4.79347,-3.000937,2
152,9.691939999999999,5.44641,1
1215,6.058079,-3.142329,2
1401,6.376334,-3.984926,2
922,6.851405000000001,8.074544,1
933,9.780096,-1.050546,1
1538,6.972867,1.708611,2
1373,4.746699,1.117217,2
1011,5.7542,-1.76562,2
623,6.862858,7.034573,1
1379,4.003495,-2.642075,2
1266,5.615544,-0.613579,2
405,7.199139,-6.703396000000001,1
1647,5.6814089999999995,-4.272313,2
326,7.472764,7.025848,1
279,7.319284,-8.387844,1
950,7.433102000000001,7.413271000000001,1
362,7.153541000000001,6.373221,1
57,5.708724,-8.511847999999999,1
16,7.878196000000001,9.892851,1
538,9.82409,-0.052274,1
512,8.7294,6.692947,1
979,7.605291,7.092795,1
1952,4.485576,-4.108924,2
1864,4.168448000000001,2.764264,2
631,9.564469,4.57713,1
1382,5.772755999999999,4.52698,2
761,10.789339,0.57468,1
1633,3.0675,-5.029941,2
1067,7.006129,-2.6975580000000003,2
371,10.20632,4.572865,1
1143,6.999505999999999,-4.420640000000001,2
609,4.431164,-8.843733,1
78,8.502228,-5.4965910000000004,1
517,7.574198,-5.719456,1
1201,5.296882,5.48647,2
943,9.997765,-2.012595,1
1886,5.929275,-4.431302,2
1554,4.946858,-0.591058,2
88,9.238337,-2.344231,1
1970,4.341782,-1.787221,2
821,6.3960300000000005,-8.467883,1
1422,4.446826000000001,-1.512058,2
1673,6.509564,1.890275,2
1958,5.473515,-4.272028,2
640,10.581727,2.661553,1
806,6.976497999999999,4.177446,1
6,3.9620010000000003,-7.405408,1
1841,5.873632,-4.892771,2
883,6.155727,-6.5808029999999995,1
880,4.196276,-8.719327999999999,1
1262,5.765855,1.395195,2
1535,4.946922,2.856289,2
1618,2.5121580000000003,5.588793,2
366,7.257060000000001,-4.154476,1
1374,6.355729,3.988722,2
1085,5.791027,-0.49862700000000004,2
191,6.879455,-7.523766,1
1274,5.866858000000001,0.679556,2
539,9.661968,-1.8264779999999998,1
1096,5.983994,-3.6612190000000004,2
1526,4.761265,2.569474,2
1617,6.744414999999999,1.588194,2
938,10.848916000000001,4.43086,1
524,10.372788,-2.015327,1
1640,3.717942,-3.7215010000000004,2
1715,5.327614,1.4927709999999998,2
853,8.13454,-3.2236689999999997,1
458,9.933131,-5.9983059999999995,1
425,7.913352000000001,3.834192,1
1231,4.213157,4.005667,2
1459,4.260942,5.212665,2
998,5.81836,6.736758,1
487,9.72498,2.821018,1
767,8.485008,5.533098000000001,1
1239,6.1470970000000005,-0.7554569999999999,2
1665,5.811528,-2.66229,2
1228,7.049115,-2.185502,2
1824,5.574580999999999,2.8605150000000004,2
37,10.934830999999999,-0.598263,1
1751,3.4289669999999997,4.522773,2
9,9.09506,5.917628,1
1518,6.572442999999999,0.055041,2
1465,4.396192,-4.76043,2
