A1,A2,A3,A4,A5,A6,Class
0,1.457509,-0.997682,1.224758,-1.477145,-0.997682,1
-1.221906,1.457509,0.997682,-1.224758,-0.492382,-0.997682,1
-1.221906,1.457509,0.997682,-1.224758,-1.477145,0.997682,1
0,1.457509,0.997682,1.224758,-1.477145,-0.997682,1
0,1.457509,0.997682,0,1.477145,0.997682,1
1.221906,0,-0.997682,-1.224758,1.477145,-0.997682,1
1.221906,-1.457509,0.997682,0,1.477145,0.997682,1
1.221906,0,0.997682,0,1.477145,0.997682,1
0,1.457509,0.997682,0,-0.492382,0.997682,1
1.221906,1.457509,-0.997682,1.224758,1.477145,0.997682,1
0,1.457509,-0.997682,0,0.492382,-0.997682,1
1.221906,1.457509,-0.997682,-1.224758,1.477145,-0.997682,1
1.221906,0,0.997682,-1.224758,1.477145,0.997682,1
1.221906,1.457509,0.997682,1.224758,0.492382,-0.997682,1
-1.221906,1.457509,0.997682,0,-0.492382,-0.997682,1
0,1.457509,0.997682,1.224758,0.492382,0.997682,1
-1.221906,1.457509,-0.997682,0,-1.477145,-0.997682,1
0,1.457509,0.997682,0,-1.477145,0.997682,1
1.221906,1.457509,0.997682,0,-0.492382,0.997682,1
1.221906,-1.457509,0.997682,-1.224758,1.477145,0.997682,1
0,1.457509,-0.997682,0,-0.492382,0.997682,1
1.221906,1.457509,0.997682,-1.224758,-1.477145,-0.997682,1
-1.221906,1.457509,0.997682,1.224758,-1.477145,0.997682,1
0,1.457509,0.997682,-1.224758,-1.477145,0.997682,1
1.221906,0,-0.997682,-1.224758,1.477145,0.997682,1
0,1.457509,0.997682,1.224758,-0.492382,-0.997682,1
1.221906,1.457509,0.997682,1.224758,-0.492382,-0.997682,1
-1.221906,0,-0.997682,0,1.477145,0.997682,1
-1.221906,0,0.997682,-1.224758,1.477145,-0.997682,1
0,1.457509,-0.997682,0,1.477145,-0.997682,1
0,0,-0.997682,0,1.477145,-0.997682,1
0,-1.457509,0.997682,-1.224758,1.477145,-0.997682,1
1.221906,1.457509,0.997682,0,0.492382,-0.997682,1
0,0,-0.997682,1.224758,1.477145,0.997682,1
1.221906,1.457509,0.997682,1.224758,-0.492382,0.997682,1
1.221906,1.457509,0.997682,0,-1.477145,-0.997682,1
1.221906,1.457509,0.997682,0,0.492382,0.997682,1
0,1.457509,0.997682,0,-0.492382,-0.997682,1
0,0,-0.997682,-1.224758,1.477145,-0.997682,1
1.221906,-1.457509,-0.997682,1.224758,1.477145,0.997682,1
-1.221906,1.457509,-0.997682,-1.224758,-1.477145,-0.997682,1
0,-1.457509,0.997682,0,1.477145,-0.997682,1
0,1.457509,-0.997682,0,-1.477145,-0.997682,1
1.221906,-1.457509,0.997682,-1.224758,1.477145,-0.997682,1
1.221906,1.457509,-0.997682,0,1.477145,0.997682,1
1.221906,1.457509,-0.997682,1.224758,0.492382,0.997682,1
1.221906,-1.457509,0.997682,1.224758,1.477145,0.997682,1
-1.221906,1.457509,-0.997682,-1.224758,-0.492382,-0.997682,1
1.221906,1.457509,-0.997682,0,1.477145,-0.997682,1
-1.221906,1.457509,0.997682,1.224758,-0.492382,0.997682,1
0,1.457509,-0.997682,1.224758,-0.492382,-0.997682,1
-1.221906,-1.457509,-0.997682,1.224758,0.492382,-0.997682,2
0,-1.457509,0.997682,0,-1.477145,0.997682,2
-1.221906,0,0.997682,1.224758,-0.492382,-0.997682,2
1.221906,-1.457509,-0.997682,0,0.492382,-0.997682,2
1.221906,0,0.997682,0,-1.477145,-0.997682,2
0,0,0.997682,1.224758,-1.477145,-0.997682,2
1.221906,0,0.997682,-1.224758,0.492382,-0.997682,2
0,-1.457509,0.997682,1.224758,0.492382,-0.997682,2
1.221906,-1.457509,0.997682,0,0.492382,0.997682,2
0,-1.457509,0.997682,-1.224758,-0.492382,0.997682,2
1.221906,0,-0.997682,-1.224758,-0.492382,0.997682,2
-1.221906,0,-0.997682,1.224758,-0.492382,0.997682,2
1.221906,0,-0.997682,1.224758,-0.492382,0.997682,2
1.221906,0,0.997682,0,0.492382,0.997682,2
1.221906,0,-0.997682,0,0.492382,-0.997682,2
1.221906,0,-0.997682,0,-0.492382,0.997682,2
1.221906,0,0.997682,1.224758,0.492382,-0.997682,2
1.221906,-1.457509,-0.997682,0,0.492382,0.997682,2
-1.221906,0,-0.997682,1.224758,0.492382,-0.997682,2
-1.221906,0,0.997682,-1.224758,0.492382,0.997682,2
0,0,-0.997682,-1.224758,0.492382,0.997682,2
0,0,-0.997682,-1.224758,-0.492382,-0.997682,2
0,-1.457509,-0.997682,-1.224758,-1.477145,-0.997682,2
-1.221906,-1.457509,-0.997682,1.224758,-0.492382,0.997682,2
1.221906,0,-0.997682,-1.224758,-1.477145,0.997682,2
0,-1.457509,0.997682,-1.224758,-0.492382,-0.997682,2
0,1.457509,0.997682,-1.224758,0.492382,0.997682,2
-1.221906,-1.457509,-0.997682,0,0.492382,0.997682,2
-1.221906,-1.457509,-0.997682,0,-0.492382,0.997682,2
-1.221906,-1.457509,-0.997682,0,-0.492382,-0.997682,2
1.221906,0,-0.997682,1.224758,-0.492382,-0.997682,2
-1.221906,0,-0.997682,-1.224758,-0.492382,-0.997682,2
1.221906,0,0.997682,1.224758,0.492382,0.997682,2
1.221906,0,-0.997682,-1.224758,-1.477145,-0.997682,2
-1.221906,-1.457509,-0.997682,1.224758,0.492382,0.997682,2
-1.221906,-1.457509,0.997682,1.224758,-1.477145,-0.997682,2
0,0,0.997682,0,-1.477145,0.997682,2
-1.221906,0,0.997682,0,0.492382,0.997682,2
0,-1.457509,-0.997682,0,-0.492382,0.997682,2
-1.221906,0,-0.997682,1.224758,-1.477145,-0.997682,2
0,0,0.997682,1.224758,-0.492382,-0.997682,2
-1.221906,-1.457509,-0.997682,1.224758,-0.492382,-0.997682,2
0,-1.457509,-0.997682,-1.224758,-0.492382,-0.997682,2
1.221906,-1.457509,-0.997682,1.224758,-1.477145,0.997682,2
1.221906,0,0.997682,-1.224758,-0.492382,-0.997682,2
0,0,0.997682,0,-0.492382,-0.997682,2
1.221906,0,0.997682,1.224758,-1.477145,-0.997682,2
0,-1.457509,0.997682,1.224758,0.492382,0.997682,2
-1.221906,0,0.997682,0,-0.492382,0.997682,2
-1.221906,0,0.997682,-1.224758,-0.492382,0.997682,2
-1.221906,1.457509,0.997682,-1.224758,0.492382,0.997682,2
0,-1.457509,0.997682,0,-0.492382,-0.997682,2
1.221906,0,0.997682,0,0.492382,-0.997682,2
0,-1.457509,-0.997682,1.224758,-0.492382,-0.997682,2
-1.221906,0,0.997682,-1.224758,0.492382,-0.997682,2
-1.221906,-1.457509,0.997682,1.224758,-1.477145,0.997682,2
0,-1.457509,-0.997682,0,0.492382,-0.997682,2
-1.221906,-1.457509,-0.997682,-1.224758,0.492382,0.997682,2
-1.221906,-1.457509,-0.997682,-1.224758,1.477145,0.997682,1
-1.221906,-1.457509,-0.997682,0,-1.477145,0.997682,2
-1.221906,-1.457509,-0.997682,0,1.477145,-0.997682,1
-1.221906,-1.457509,-0.997682,1.224758,1.477145,-0.997682,1
-1.221906,-1.457509,0.997682,-1.224758,-1.477145,0.997682,2
-1.221906,-1.457509,0.997682,-1.224758,-0.492382,0.997682,2
-1.221906,-1.457509,0.997682,0,-1.477145,-0.997682,2
-1.221906,-1.457509,0.997682,0,0.492382,0.997682,2
-1.221906,-1.457509,0.997682,0,1.477145,0.997682,1
-1.221906,-1.457509,0.997682,1.224758,-0.492382,-0.997682,2
-1.221906,-1.457509,0.997682,1.224758,-0.492382,0.997682,2
-1.221906,-1.457509,0.997682,1.224758,0.492382,-0.997682,2
-1.221906,-1.457509,0.997682,1.224758,1.477145,-0.997682,1
-1.221906,0,-0.997682,-1.224758,-0.492382,0.997682,2
-1.221906,0,-0.997682,-1.224758,0.492382,0.997682,2
-1.221906,0,-0.997682,0,0.492382,0.997682,2
-1.221906,0,-0.997682,1.224758,-0.492382,-0.997682,2
-1.221906,0,0.997682,-1.224758,-1.477145,-0.997682,2
-1.221906,0,0.997682,-1.224758,1.477145,0.997682,1
-1.221906,0,0.997682,0,-1.477145,0.997682,2
-1.221906,0,0.997682,0,-0.492382,-0.997682,2
-1.221906,0,0.997682,0,0.492382,-0.997682,2
-1.221906,0,0.997682,0,1.477145,-0.997682,1
-1.221906,0,0.997682,1.224758,-1.477145,0.997682,2
-1.221906,0,0.997682,1.224758,0.492382,-0.997682,2
-1.221906,0,0.997682,1.224758,0.492382,0.997682,2
-1.221906,0,0.997682,1.224758,1.477145,0.997682,1
-1.221906,1.457509,-0.997682,0,0.492382,0.997682,1
-1.221906,1.457509,-0.997682,0,1.477145,-0.997682,1
-1.221906,1.457509,-0.997682,1.224758,-1.477145,0.997682,1
-1.221906,1.457509,-0.997682,1.224758,-0.492382,-0.997682,1
-1.221906,1.457509,-0.997682,1.224758,1.477145,-0.997682,1
-1.221906,1.457509,-0.997682,1.224758,1.477145,0.997682,1
-1.221906,1.457509,0.997682,-1.224758,-1.477145,-0.997682,1
-1.221906,1.457509,0.997682,-1.224758,1.477145,-0.997682,1
-1.221906,1.457509,0.997682,0,-1.477145,-0.997682,1
-1.221906,1.457509,0.997682,1.224758,-1.477145,-0.997682,1
-1.221906,1.457509,0.997682,1.224758,0.492382,-0.997682,1
-1.221906,1.457509,0.997682,1.224758,0.492382,0.997682,1
0,-1.457509,-0.997682,-1.224758,1.477145,-0.997682,1
0,-1.457509,-0.997682,0,-0.492382,-0.997682,2
0,-1.457509,-0.997682,0,0.492382,0.997682,2
0,-1.457509,-0.997682,0,1.477145,-0.997682,1
0,-1.457509,0.997682,-1.224758,0.492382,-0.997682,2
0,-1.457509,0.997682,0,-1.477145,-0.997682,2
0,-1.457509,0.997682,0,-0.492382,0.997682,2
0,-1.457509,0.997682,0,0.492382,0.997682,2
0,-1.457509,0.997682,1.224758,-1.477145,0.997682,2
0,-1.457509,0.997682,1.224758,1.477145,-0.997682,1
0,0,-0.997682,-1.224758,0.492382,-0.997682,2
0,0,-0.997682,-1.224758,1.477145,0.997682,1
0,0,-0.997682,1.224758,-1.477145,0.997682,2
0,0,-0.997682,1.224758,-0.492382,0.997682,2
0,0,-0.997682,1.224758,0.492382,0.997682,2
0,0,0.997682,-1.224758,-1.477145,-0.997682,2
0,0,0.997682,-1.224758,0.492382,0.997682,2
0,0,0.997682,-1.224758,1.477145,0.997682,1
0,0,0.997682,0,-1.477145,-0.997682,2
0,0,0.997682,0,-0.492382,0.997682,2
0,0,0.997682,0,1.477145,-0.997682,1
0,0,0.997682,1.224758,-0.492382,0.997682,2
0,0,0.997682,1.224758,1.477145,-0.997682,1
0,0,0.997682,1.224758,1.477145,0.997682,1
0,1.457509,-0.997682,-1.224758,-0.492382,0.997682,1
0,1.457509,-0.997682,-1.224758,0.492382,0.997682,2
0,1.457509,-0.997682,-1.224758,1.477145,0.997682,1
0,1.457509,-0.997682,0,1.477145,0.997682,1
0,1.457509,-0.997682,1.224758,0.492382,-0.997682,1
0,1.457509,0.997682,-1.224758,-1.477145,-0.997682,1
0,1.457509,0.997682,0,-1.477145,-0.997682,1
0,1.457509,0.997682,0,1.477145,-0.997682,1
0,1.457509,0.997682,1.224758,-0.492382,0.997682,1
0,1.457509,0.997682,1.224758,1.477145,0.997682,1
1.221906,-1.457509,-0.997682,0,-1.477145,0.997682,2
1.221906,-1.457509,-0.997682,1.224758,0.492382,-0.997682,2
1.221906,-1.457509,-0.997682,1.224758,0.492382,0.997682,2
1.221906,-1.457509,0.997682,-1.224758,-1.477145,-0.997682,2
1.221906,-1.457509,0.997682,-1.224758,-1.477145,0.997682,2
1.221906,-1.457509,0.997682,-1.224758,-0.492382,-0.997682,2
1.221906,-1.457509,0.997682,-1.224758,-0.492382,0.997682,2
1.221906,-1.457509,0.997682,0,-1.477145,0.997682,2
1.221906,0,-0.997682,-1.224758,0.492382,-0.997682,2
1.221906,0,-0.997682,0,0.492382,0.997682,2
1.221906,0,-0.997682,1.224758,1.477145,-0.997682,1
1.221906,0,0.997682,1.224758,-0.492382,-0.997682,2
1.221906,0,0.997682,1.224758,-0.492382,0.997682,2
1.221906,0,0.997682,1.224758,1.477145,0.997682,1
1.221906,1.457509,-0.997682,-1.224758,-1.477145,-0.997682,1
1.221906,1.457509,-0.997682,-1.224758,0.492382,-0.997682,2
1.221906,1.457509,-0.997682,0,-1.477145,-0.997682,1
1.221906,1.457509,-0.997682,0,-1.477145,0.997682,1
1.221906,1.457509,-0.997682,0,-0.492382,0.997682,1
1.221906,1.457509,-0.997682,0,0.492382,0.997682,1
1.221906,1.457509,-0.997682,1.224758,1.477145,-0.997682,1
1.221906,1.457509,0.997682,-1.224758,-0.492382,0.997682,1
1.221906,1.457509,0.997682,1.224758,1.477145,0.997682,1
-1.221906,0,0.997682,1.224758,-0.492382,0.997682,2
-1.221906,1.457509,-0.997682,0,-1.477145,0.997682,1
0,-1.457509,-0.997682,1.224758,0.492382,0.997682,2
0,-1.457509,0.997682,1.224758,-0.492382,-0.997682,2
0,0,-0.997682,-1.224758,-1.477145,-0.997682,2
0,0,-0.997682,0,-0.492382,-0.997682,2
0,0,0.997682,1.224758,0.492382,0.997682,2
1.221906,-1.457509,0.997682,1.224758,1.477145,-0.997682,1
1.221906,0,-0.997682,1.224758,1.477145,0.997682,1
1.221906,0,0.997682,-1.224758,-0.492382,0.997682,2
1.221906,0,0.997682,-1.224758,1.477145,-0.997682,1
0,1.457509,-0.997682,1.224758,0.492382,0.997682,1
-1.221906,1.457509,-0.997682,-1.224758,1.477145,0.997682,1
-1.221906,1.457509,0.997682,-1.224758,-0.492382,0.997682,1
0,1.457509,-0.997682,1.224758,-1.477145,0.997682,1
1.221906,1.457509,0.997682,-1.224758,-1.477145,0.997682,1
