A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,Class
0.788931,0.710043,-0.578483,-0.578501,-0.414453,-0.364808,-0.15787,-0.47894,0.340769,0.544463,-0.522132,-1.00697,1.00697,2.829292,1.235556,-1.571743,-0.03345,-0.589853,0.144715,0.714608,0.962991,-0.261628,-1.326595,0.040863,0.831959,0.236623,-1.148548,1
1.542089,1.46324,-0.532686,-0.532705,-0.426096,-0.37972,-0.162656,-0.494216,0.521044,-0.399408,-0.770913,1.50851,-1.50851,0.425854,-0.692461,-0.956491,-0.690953,-0.635967,-0.047068,1.04358,0.962991,-0.557509,-1.353173,-0.004818,1.213632,-0.087385,-1.369395,1
2.358387,2.300631,-0.83839,-0.838402,-0.394194,-0.334984,-0.143511,-0.459549,-0.200059,-0.232843,1.351503,-1.00697,1.00697,3.430152,-1.21595,-1.087785,-0.198534,-0.570089,-0.291155,1.04358,0.962991,0.029061,0.159056,0.297979,0.927788,-0.365601,-0.453002,1
-0.543753,-0.625687,-0.698065,-0.698076,-0.379525,-0.36108,-0.136331,-0.437838,-1.137493,0.988637,1.771322,-1.00697,1.00697,1.427287,0.221319,-1.490829,-0.286336,-0.563501,1.145204,1.04358,0.962991,0.1688,0.211458,-1.692713,0.978756,0.080517,-0.091711,1
-0.44228,-0.52784,-0.335575,-0.33559,-0.401413,-0.349896,-0.143511,-0.466842,-0.200059,-0.177321,1.856841,-1.00697,1.00697,-0.375292,0.40921,-0.657262,-0.374138,-0.589853,0.002554,1.04358,0.962991,-0.056859,0.101973,0.297979,1.029724,-0.271243,-0.58537,1
-0.936117,-0.96929,-0.535438,-0.535312,0.73352,0.205582,0.476328,0.904121,-2.65181,0.711028,1.771322,-1.00697,1.00697,1.427287,-0.546241,0.480879,-1.76602,-0.264854,-1.765513,0.76552,0.962991,1.680901,0.879547,2.037754,1.837697,0.108269,1.455624,1
-0.622677,-0.70533,6.329145,6.32909,-0.373238,-0.34244,-0.119579,-0.44041,-0.596666,-0.232843,-0.786462,-1.00697,1.00697,-0.775865,0.382422,-0.706115,-0.715634,-0.521779,0.176455,1.04358,0.962991,0.218723,0.211458,0.55379,1.227959,-0.679201,0.400543,1
-1.190928,-1.287863,-0.894057,-0.894065,-0.405371,-0.368536,-0.129151,-0.467583,0.593155,0.211332,1.771322,-1.00697,1.00697,2.428719,-1.04443,-0.003079,-1.053894,-0.616204,0.365556,1.04358,0.962991,-0.110795,-1.326595,0.462266,1.424316,0.262294,-0.539725,1
-0.149134,-0.234298,-0.882444,-0.882432,-0.374868,-0.260423,-0.033423,-0.43458,0.448934,-0.621495,1.771322,-1.00697,1.00697,1.427287,0.993345,1.083918,-1.677004,-0.603028,-1.664928,0.637959,0.962991,0.206213,-1.319678,1.023157,1.786259,-0.098485,1.121369,1
-1.211223,-1.290138,-0.86764,-0.867626,-0.264262,-0.249239,-0.033423,-0.343037,-1.461989,-0.343886,-0.755364,-1.00697,1.00697,-0.775865,-1.048523,-0.467953,-1.312444,-0.458097,-1.040404,1.04358,0.962991,0.71005,0.387541,1.076506,1.574401,-1.172497,1.445091,1
2.342602,2.2756,0.167704,0.167677,-0.427958,-0.372264,-0.177015,-0.500016,-0.4885,-1.620888,1.530315,1.50851,-1.50851,0.425854,-1.063405,-1.465639,1.287219,-0.627184,0.251112,1.04358,0.962991,-0.625962,-1.334312,-1.767891,0.065325,-1.502749,-1.432945,1
-1.008276,-1.087617,0.415112,0.415239,0.174436,0.198126,0.483508,0.232384,-0.740886,0.544463,-0.459936,-1.00697,1.00697,-0.775865,-0.575262,-0.016056,-2.079193,-0.482252,-2.295709,0.965254,0.962991,1.349612,0.347673,2.071362,2.019491,0.125614,1.455624,1
2.11034,2.043497,-0.835487,-0.835494,-0.394427,-0.327528,-0.121972,-0.457818,0.196548,-0.288364,1.841292,-1.00697,1.00697,0.225567,-0.444297,-0.829013,-1.171233,-0.616204,-1.052921,1.04358,0.962991,-2.417658,-1.326595,0.531928,1.492664,-0.148439,-0.383131,1
-1.184163,-1.27421,-0.840922,-0.840916,-0.329228,-0.36108,-0.069321,-0.357945,0.62921,1.543855,1.771322,-1.00697,1.00697,1.427287,-1.031408,-1.18244,-1.410362,-0.576677,0.847024,1.04358,0.962991,0.475185,0.159056,0.902756,1.631241,0.97067,1.137168,1
-0.444535,-0.536942,0.582972,0.582946,-0.417247,-0.375992,-0.160263,-0.483374,0.376824,-0.177321,1.810194,-1.00697,1.00697,-0.175006,0.410698,-1.611437,-0.286336,-0.62938,0.522022,1.04358,0.962991,-0.318632,-1.334312,0.040863,0.978756,0.022931,-1.218418,1
-0.900038,-0.98977,-0.82212,-0.822128,-0.389537,-0.320072,-0.124365,-0.455792,-0.668776,-0.288364,-0.786462,-1.00697,1.00697,-0.775865,-0.291752,-0.475587,-0.87384,-0.554718,-0.837892,1.04358,0.962991,0.077686,0.101973,0.509578,1.319796,-0.506443,-0.074507,1
-1.245047,-1.342475,-0.481497,-0.481509,-0.413289,-0.320072,-0.136331,-0.475722,0.448934,0.711028,-0.786462,1.50851,-1.50851,-0.175006,-1.130004,0.590036,-0.908637,-0.587657,-1.181671,1.04358,0.962991,-0.239557,-1.326595,-1.692713,1.34023,0.564099,-0.692458,1
-1.08269,-1.169536,0.41576,0.415763,-0.318284,-0.346168,-0.047783,-0.390611,-1.353824,-0.288364,-0.561004,-1.00697,1.00697,-0.775865,-0.746038,-0.440473,-1.474696,-0.526171,0.329345,1.04358,0.962991,0.523102,0.211458,1.0119,1.668352,-1.008759,1.347131,1
0.635593,0.550756,-0.732273,-0.732273,-0.400016,-0.368536,-0.09086,-0.464501,0.521044,-0.232843,-0.825334,-1.00697,1.00697,4.231298,1.477024,0.20684,-1.679836,-0.6184,-0.322001,1.04358,0.962991,-0.039038,-1.343071,0.773546,1.787668,-0.176886,-0.225483,1
-1.05563,-1.128577,-0.293622,-0.293644,-0.407933,-0.3238,-0.162656,-0.467697,1.242148,0.15581,-0.755364,-1.00697,1.00697,-0.775865,-0.671254,-0.282461,0.24614,-0.427353,0.668206,-0.075374,-1.306792,-0.149034,0.46033,-0.162905,-1.060905,0.732,-0.725813,2
-1.145829,-1.219597,-0.77887,-0.778876,-0.347856,-0.234327,-0.09804,-0.423756,-0.236114,-1.620888,-0.802011,1.50851,-1.50851,-0.175006,-0.888537,-0.254981,-0.048421,-0.425157,-0.9957,-0.022224,0.962991,0.38183,0.46033,0.574999,0.840649,-1.226614,1.133306,2
-1.285637,-1.369782,-0.660536,-0.660532,-0.348555,-0.230599,-0.064535,-0.457141,-1.858596,-2.564758,-0.81756,1.50851,-1.50851,-0.175006,-1.2286,0.6595,-1.164354,-0.48884,-1.388206,0.743701,0.962991,0.377935,0.305389,0.889542,1.488437,-3.028429,1.328874,2
-1.211223,-1.089893,-0.499815,-0.499668,0.563769,1.335178,0.710862,0.676208,-0.091893,0.988637,-0.81756,1.50851,-1.50851,-0.175006,-1.047407,3.439586,-0.911874,0.971458,-1.730643,-0.075374,0.962991,-2.260216,1.581613,2.127158,1.341874,-0.010372,1.455624,2
-1.186418,-1.285587,0.433665,0.43364,-0.420507,-0.368536,-0.162656,-0.491463,-0.127948,-1.121191,-0.81756,1.50851,-1.50851,-0.175006,-0.986761,-1.125952,-0.151598,-0.603028,0.021777,1.04358,0.962991,-0.394285,-1.334312,-0.004818,0.900543,-1.023329,-1.252125,2
-0.931607,-1.023903,-0.760886,-0.760904,-0.424931,-0.364808,-0.165049,-0.492614,0.484989,-0.288364,-0.786462,1.50851,-1.50851,-0.175006,-0.368396,0.709118,0.580758,-0.570089,0.463906,1.04358,0.962991,-0.518916,-1.319678,-0.053761,0.475418,-0.010372,-1.166454,2
-1.163869,-1.258281,0.035711,0.035687,-0.426096,-0.357352,-0.167443,-0.493539,0.62921,-0.232843,-0.802011,1.50851,-1.50851,-0.175006,-0.93244,0.400728,1.062252,-0.570089,0.064694,0.613342,0.962991,-0.557509,-1.319678,-0.162905,0.195915,0.143653,-1.252125,2
