A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,Class
1.20776,-1.264701,-0.51662,-0.634028,1.218519,-0.319796,-2.383471,-0.765218,-1.305771,-0.224639,0.463136,-0.70497,-0.427864,-0.823047,-0.196516,-0.554735,-0.340261,0.319891,-0.206942,-0.468456,0.639601,-0.149833,-0.499626,0.765657,1
1.20776,-0.246355,1.379234,-0.777222,-0.710535,-1.1526,-0.966425,-1.670802,-0.344231,-0.489335,0.463136,1.027144,-0.427864,-0.823047,-0.196516,1.815927,-0.340261,0.319891,-0.206942,-0.468456,0.639601,-0.149833,-0.499626,0.765657,1
-1.338467,0.262818,-0.51662,-0.562431,-0.710535,-1.1526,0.450621,-1.670802,-0.344231,-1.018727,0.463136,-0.70497,-0.427864,-0.823047,5.114739,-0.554735,-0.340261,-3.119802,4.840429,-0.468456,0.639601,-0.149833,1.998503,-1.303686,1
0.359018,0.771991,1.379234,0.15354,1.861537,1.34581,0.450621,1.045949,-0.344231,1.187074,-0.961897,1.027144,-0.427864,-0.823047,-0.196516,-0.554735,-0.340261,0.319891,-0.206942,-0.468456,0.639601,-0.149833,1.998503,-1.303686,1
1.20776,1.535751,-0.51662,1.907668,-0.067517,1.34581,0.450621,-0.765218,0.617309,0.834146,0.463136,-0.70497,-0.427864,1.214198,-0.196516,-0.554735,2.963246,0.319891,-0.206942,-0.468456,0.639601,-0.149833,-0.499626,-1.303686,1
-0.489724,-0.84039,-0.51662,-0.598229,1.218519,-1.1526,-0.966425,-1.670802,-1.305771,-1.371656,0.463136,-0.70497,-0.427864,-0.823047,-0.196516,-0.554735,-0.340261,0.319891,-0.206942,-0.468456,0.639601,-0.149833,-0.499626,0.765657,1
1.20776,-0.500941,-0.51662,-0.383438,0.575501,-0.319796,-0.966425,1.045949,0.617309,-1.371656,0.463136,-0.70497,-0.427864,-0.823047,-0.196516,-0.554735,-0.340261,0.319891,-0.206942,2.148619,-1.588975,-0.149833,-0.499626,0.765657,1
-0.489724,1.281164,0.431307,2.37305,-0.067517,0.513007,0.450621,0.140365,-0.344231,-0.401103,0.463136,1.027144,2.332548,1.214198,-0.196516,-0.554735,-0.340261,0.319891,-0.206942,-0.468456,0.639601,-0.149833,1.998503,-1.303686,1
1.20776,-0.246355,0.431307,-0.34764,-0.710535,-1.985403,1.867666,0.140365,-1.305771,-0.136407,0.463136,1.027144,-0.427864,-0.823047,-0.196516,-0.554735,-0.340261,0.319891,-0.206942,-0.468456,0.639601,-0.149833,-0.499626,0.765657,1
1.20776,-0.500941,-0.51662,-0.204445,-0.710535,-1.1526,0.450621,0.140365,-0.344231,-0.754031,-2.38693,1.027144,-0.427864,-0.823047,-0.196516,-0.554735,-0.340261,0.319891,-0.206942,-0.468456,0.639601,-0.149833,1.998503,-1.303686,1
-1.338467,-0.246355,-0.51662,0.081943,-0.710535,0.513007,-0.966425,-1.670802,-1.305771,-0.930495,0.463136,-0.70497,-0.427864,-0.823047,-0.196516,-0.554735,-0.340261,-3.119802,-0.206942,-0.468456,0.639601,-0.149833,-0.499626,0.765657,1
1.20776,-0.246355,-0.51662,-0.455035,-0.710535,-0.319796,0.450621,1.045949,1.578849,1.01061,-2.38693,1.027144,-0.427864,-0.823047,-0.196516,-0.554735,-0.340261,0.319891,-0.206942,-0.468456,-1.588975,-0.149833,-0.499626,0.765657,1
1.20776,-1.264701,-0.51662,-0.920416,-0.710535,-1.985403,-0.966425,1.045949,-1.305771,1.628234,0.463136,-0.70497,-0.427864,1.214198,-0.196516,1.815927,-0.340261,0.319891,-0.206942,-0.468456,0.639601,6.660756,-0.499626,-1.303686,1
-0.489724,-0.755528,-0.51662,-0.741424,-0.710535,1.34581,1.867666,0.140365,-1.305771,0.392986,-2.38693,1.027144,-0.427864,-0.823047,-0.196516,-0.554735,-0.340261,-3.119802,-0.206942,-0.468456,0.639601,-0.149833,1.998503,-1.303686,1
1.20776,-1.264701,-0.51662,-0.09705,0.575501,-0.319796,0.450621,-0.765218,0.617309,-0.312871,0.463136,-0.70497,-0.427864,1.214198,-0.196516,-0.554735,-0.340261,0.319891,-0.206942,-0.468456,0.639601,-0.149833,-0.499626,0.765657,1
1.20776,0.262818,-0.51662,1.478086,-0.710535,-0.319796,0.450621,1.045949,-0.344231,0.657682,0.463136,-0.70497,2.332548,-0.823047,-0.196516,1.815927,-0.340261,0.319891,-0.206942,-0.468456,0.639601,-0.149833,1.998503,-1.303686,1
1.20776,-0.925252,1.379234,-0.419237,1.861537,-0.319796,1.867666,-1.670802,0.617309,-0.842263,0.463136,1.027144,-0.427864,-0.823047,5.114739,-0.554735,-0.340261,0.319891,-0.206942,-0.468456,0.639601,-0.149833,-0.499626,0.765657,1
1.20776,0.262818,-0.51662,-0.025453,0.575501,1.34581,-2.383471,-0.765218,0.617309,-0.842263,0.463136,-0.70497,-0.427864,1.214198,-0.196516,-0.554735,-0.340261,0.319891,-0.206942,-0.468456,0.639601,-0.149833,-0.499626,-1.303686,1
-1.338467,-0.246355,-0.51662,-0.383438,-0.067517,0.513007,0.450621,0.140365,0.617309,-0.489335,0.463136,-0.70497,2.332548,1.214198,-0.196516,1.815927,-0.340261,0.319891,-0.206942,-0.468456,0.639601,-0.149833,-0.499626,-1.303686,1
1.20776,0.262818,1.379234,0.797914,-0.710535,1.34581,0.450621,1.045949,1.578849,0.745914,0.463136,1.027144,-0.427864,-0.823047,-0.196516,-0.554735,-0.340261,0.319891,-0.206942,-0.468456,-1.588975,-0.149833,-0.499626,0.765657,1
1.20776,-1.264701,0.431307,-0.848819,-0.710535,-0.319796,-0.966425,-0.765218,-1.305771,-1.018727,0.463136,-0.70497,-0.427864,-0.823047,-0.196516,-0.554735,-0.340261,0.319891,-0.206942,-0.468456,0.639601,-0.149833,-0.499626,0.765657,1
0.359018,-0.755528,0.431307,-0.383438,-0.710535,-0.319796,-0.966425,-0.765218,0.617309,0.040057,-0.961897,1.027144,-0.427864,1.214198,-0.196516,1.815927,-0.340261,0.319891,-0.206942,-0.468456,0.639601,-0.149833,-0.499626,0.765657,1
-0.489724,2.29951,-1.464547,0.117741,-0.067517,0.513007,0.450621,-0.765218,0.617309,-0.489335,0.463136,-0.70497,-0.427864,-0.823047,-0.196516,-0.554735,-0.340261,0.319891,-0.206942,-0.468456,0.639601,-0.149833,-0.499626,0.765657,1
1.20776,-0.500941,-0.51662,-0.09705,-0.710535,0.513007,0.450621,-0.765218,0.617309,-0.224639,0.463136,-0.70497,-0.427864,-0.823047,-0.196516,-0.554735,2.963246,0.319891,-0.206942,-0.468456,0.639601,-0.149833,-0.499626,0.765657,1
