A1,A2,A3,A4,A5,A6,A7,A8,A9,Class
-0.821754,-0.825825,0.819512,-0.120209,0.824529,0.315521,-0.651578,-0.482725,1.914748,1
-0.293929,-0.857115,0.962424,-0.468201,0.732778,0.070226,-0.4145,-0.482725,1.182293,1
-0.28729,-0.919695,0.951431,0.120709,0.129847,0.070226,-0.313922,-0.482725,1.391566,1
-0.333765,-0.982275,1.028384,-0.414664,0.182276,0.151991,-0.184606,-0.482725,-0.596525,1
-0.297249,-0.888405,0.896465,-0.816193,0.811422,0.102932,-0.292369,-0.482725,-0.596525,1
-0.277331,-1.310821,0.863485,-0.173746,0.968708,0.168344,-0.292369,-0.482725,0.031293,1
-0.131266,-1.044855,0.874478,-0.254052,0.405098,0.233756,-0.198975,-0.482725,-0.596525,1
0.210659,0.128523,0.874478,-0.254052,-0.918729,0.086579,0.030919,-0.482725,-0.596525,1
2.756835,0.910776,1.11633,-1.967244,-1.416803,-0.780129,0.620021,-0.482725,0.449839,1
1.282907,-0.309538,1.193283,-1.753095,-0.8663,-0.600246,0.763705,-0.482725,-0.596525,1
0.204019,0.269329,0.731566,-0.575275,-0.748335,0.151991,-0.033739,-0.482725,-0.596525,1
-0.041635,-0.84147,0.874478,-0.414664,0.391991,0.168344,-0.378579,-0.482725,-0.596525,1
-0.274011,-0.027927,1.072357,-0.68235,0.182276,0.119285,-0.493526,-0.482725,0.554475,1
0.466272,0.629165,0.984411,-0.334358,-1.220195,-0.616599,-0.206159,1.420083,-0.596525,1
1.113605,0.112878,1.160303,-1.45864,-0.840086,-0.518481,0.469153,-0.482725,0.135929,1
1.047212,-0.559859,1.061364,-1.538946,-0.564835,-0.502128,0.641574,-0.482725,1.182293,1
1.538521,-0.153088,0.984411,-1.672789,-0.8663,-0.616599,0.871467,-0.482725,-0.282616,1
-0.808476,-0.497279,0.995404,0.201015,0.588599,0.282815,-0.80963,-0.482725,-0.596525,2
-0.818435,-0.606794,0.984411,0.174246,0.614814,0.315521,-0.716235,-0.482725,-0.596525,2
-0.635854,0.050298,1.017391,0.254552,-0.342012,0.266462,-0.665946,-0.482725,-0.596525,2
-0.811795,-0.857115,0.918451,1.807133,0.011882,0.315521,-0.709051,-0.482725,-0.596525,2
-0.632534,0.003363,0.951431,-0.521738,0.20849,0.299168,-0.615657,-0.482725,-0.596525,2
-0.702247,-0.074862,0.984411,0.120709,0.090525,-0.076951,-0.536631,-0.482725,-0.596525,2
-0.888148,-0.262603,0.885472,0.067172,0.785207,-0.191422,-0.665946,-0.482725,-0.596525,2
