A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,Class
0.231863,-0.297018,-0.582002,-0.288056,-0.528841,-1.031448,1.561066,0.719305,-1.027249,-0.744239,-0.728478,-0.39371,-0.200713,-0.317744,-0.679766,-0.182365,1
0.231863,-0.297018,1.702413,-0.249057,-0.154755,-0.687458,0.83163,1.327916,-1.391293,-0.649049,-0.709306,-0.880739,1.587536,-0.317744,-0.50076,-0.162431,1
0.231863,-0.297018,2.329184,-0.238481,-0.635199,0.236078,-1.50968,1.191852,-1.927779,-0.712185,-0.709601,-0.441877,0.311489,-0.317744,-0.791644,-0.299159,1
0.231863,-0.297018,-0.201462,-0.18114,0.182657,-0.293805,-0.353258,-0.917142,0.526645,-0.658115,0.152859,-0.452581,0.101456,-0.317744,0.093795,0.272799,1
0.231863,-0.297018,-0.034166,-0.161641,-0.482997,-0.865148,1.310211,0.581402,-1.184362,-0.723193,-0.708617,-0.131463,-0.517885,-0.317744,-0.366506,-0.738478,1
0.135216,-0.297018,-0.606742,-0.201961,0.073548,-0.408164,-0.205592,0.123564,0.446172,-0.705062,-0.491134,-0.69342,0.378858,-0.317744,-0.443222,-0.639574,1
0.231863,-0.297018,-0.23445,-0.024485,1.095869,-0.541205,-0.054367,-0.621111,1.024811,-0.684664,-0.548651,-0.779052,0.443679,-0.317744,0.586061,-0.33315,1
0.231863,-0.297018,1.464429,-0.257815,-0.603109,-1.009579,0.890341,1.638657,-1.910535,-0.712185,-0.700064,-0.912851,1.963443,-0.317744,0.036257,-0.238079,1
0.231863,-0.297018,0.259191,-0.25418,-0.658121,-1.237615,1.795908,2.15901,-2.274579,-0.749419,-0.752173,-0.891443,-0.211611,-0.317744,-0.993026,-0.817959,1
0.135216,-0.297018,-1.030873,-0.129087,-0.534343,-1.059924,1.082485,0.493144,-0.327901,-0.745534,-0.624554,-0.522157,-0.458159,-0.317744,1.442731,0.776776,1
0.231863,-0.297018,0.155515,-0.220634,-0.45274,-0.739626,0.07195,0.588757,-0.212939,-0.701177,-0.528594,-0.281318,-0.55341,-0.317744,-0.382488,-0.615806,1
0.231863,-0.297018,0.093073,-0.256493,-0.559098,-1.30983,2.354549,1.965947,-2.188358,-0.741649,-0.754828,-0.848628,0.751368,-0.317744,-0.884344,-0.938076,1
0.135216,-0.297018,-1.500951,-0.202788,-0.054815,-0.39928,0.116427,-1.693076,2.057547,0.618854,-0.608528,1.666802,-2.23268,-0.317744,-0.324951,-0.543225,1
