A1,A2,Class
9.654958,4.002121,1
10.778071,3.215585,1
5.267417,-9.959199,1
7.845224,4.954154,1
7.035757,-5.301141,1
9.606799,-2.104352,1
3.962001,-7.405408,1
8.183808,3.318421,1
10.250772,-1.418516,1
9.09506,5.917628,1
10.792532,-3.693975,1
7.261197,7.290092,1
11.429837,-2.641325,1
11.706537,-1.709424,1
6.494197,-9.006839,1
5.354975,7.915557,1
7.878196,9.892851,1
10.414121,-1.214846,1
9.848344,1.597412,1
10.297573,-1.912816,1
2.647144,8.79899,1
7.396031,-9.736641,1
9.581865,-4.559351,1
8.542061,-2.99577,1
7.4739,-6.592291,1
8.819636,4.287728,1
11.200879,3.534303,1
8.573327,-6.210242,1
11.489807,-1.193062,1
8.164353,-4.081667,1
4.483642,-6.990524,1
7.167814,-8.281891,1
9.825191,1.392426,1
6.67554,6.511249,1
4.785993,7.298578,1
7.647445,3.205479,1
8.633718,-7.115972,1
10.934831,-0.598263,1
10.324304,6.561478,1
8.991858,1.602038,1
5.079432,-9.464006,1
9.717886,-4.71437,1
8.96026,-6.344336,1
8.625911,-7.013313,1
7.166123,-6.76692,1
3.744365,-7.077518,1
12.186194,-3.016652,1
8.828584,-5.532317,1
5.909786,-6.4773,1
10.368546,-1.353452,1
8.876742,-4.857807,1
7.084781,7.622271,1
6.031141,-8.894277,1
5.61265,8.503718,1
6.945329,6.504284,1
4.302014,6.656284,1
6.695367,5.405086,1
5.708724,-8.511848,1
10.205413,-3.89079,1
9.70781,5.454601,1
6.831971,-7.960355,1
8.018639,7.34814,1
8.851242,-1.008232,1
5.282302,9.425593,1
9.205443,-2.163688,1
6.855897,6.568967,1
5.627285,-7.573756,1
9.765849,2.262567,1
11.820763,-2.069046,1
9.441713,1.618342,1
9.135335,-7.303467,1
6.89951,4.342552,1
6.205307,-6.010458,1
9.34958,-4.757669,1
9.094186,0.207756,1
5.901737,8.019661,1
5.809153,-8.791543,1
9.579035,-0.255111,1
8.502228,-5.496591,1
8.321571,4.930693,1
9.211397,1.066331,1
7.487375,5.142148,1
8.335275,-5.416193,1
8.431554,5.584301,1
5.693769,-9.823038,1
8.112807,5.059747,1
5.947906,9.370912,1
11.515828,-3.001266,1
9.238337,-2.344231,1
11.211781,1.644837,1
10.087686,2.589666,1
7.532044,-4.37217,1
7.474647,6.148785,1
9.420267,6.865787,1
9.38006,0.745636,1
10.750471,-0.415847,1
6.653739,-7.721279,1
10.779223,2.348962,1
7.86425,-5.585976,1
9.821785,-1.896907,1
11.596542,-5.77667,1
7.976007,3.193951,1
8.69966,6.214977,1
10.204016,-4.751597,1
9.056849,-2.244938,1
7.526758,0.947411,1
10.82473,-2.960366,1
6.741538,8.331768,1
7.386822,-5.280952,1
9.898067,-3.209646,1
7.66951,-3.77146,1
10.556098,-1.285828,1
9.258853,-4.719242,1
10.033811,4.289394,1
10.244436,-3.846889,1
3.34224,7.605928,1
8.616876,-2.102349,1
9.124928,-5.627945,1
6.488926,-7.824934,1
8.37397,4.660057,1
10.287688,-1.051614,1
7.091406,-6.246335,1
5.934216,-8.352251,1
8.867653,-5.519776,1
8.152746,4.876869,1
7.508532,6.505928,1
7.082517,-6.588755,1
8.251806,2.05192,1
8.111996,2.151047,1
8.808692,-4.054223,1
10.560542,3.900236,1
4.228832,8.07432,1
6.076869,6.761137,1
7.924014,5.848477,1
9.734505,-3.084153,1
4.05804,-8.204161,1
10.03285,-2.56846,1
9.775104,-3.06446,1
8.24784,5.838157,1
10.833989,-1.399334,1
9.355459,3.297009,1
7.579206,7.774648,1
8.745953,4.637146,1
5.10342,-5.371535,1
8.171379,-2.746273,1
8.748416,5.35599,1
9.289156,-4.640128,1
8.480927,5.331646,1
8.081113,-4.865042,1
11.809012,-2.251935,1
7.178608,8.811361,1
5.234489,10.022397,1
9.69194,5.44641,1
8.852259,3.366986,1
5.614182,-7.914324,1
8.667004,-4.701205,1
9.005383,-5.334492,1
12.056128,-0.285922,1
9.655054,3.622645,1
7.855058,-4.99933,1
9.740544,3.166284,1
6.754347,-5.475136,1
5.387857,5.961392,1
6.716132,-4.733112,1
9.739586,2.009482,1
11.791969,2.383472,1
7.649673,5.966344,1
9.745975,0.917104,1
8.960332,-1.712821,1
7.60768,-5.947623,1
8.484134,3.300964,1
9.038973,8.749556,1
8.741835,4.278073,1
7.098063,5.17252,1
9.765205,5.277456,1
8.241422,6.522099,1
7.473792,-4.915627,1
7.351292,-5.463345,1
7.118646,-5.420593,1
9.368274,4.728168,1
6.747005,7.72824,1
8.234002,-4.54937,1
