A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,Class
0.287742,-0.306651,1.358778,-0.36222,-0.507431,-0.9547,1.938551,2.266548,-2.692451,-0.937954,-0.614638,-1.102354,1.099572,-0.377195,0.074914,-0.476651,1
0.287742,-0.306651,0.525974,-0.34061,-0.367183,-0.772478,0.320021,0.903425,-0.530571,-0.911044,-0.570192,-0.609402,0.43546,-0.377195,-0.120468,-0.460028,1
0.287742,-0.306651,0.823933,-0.364888,-0.51838,-0.945899,2.066246,2.938801,-2.52571,-0.945574,-0.611514,-1.079426,0.896886,-0.377195,-0.554119,-0.617858,1
0.287742,-0.306651,0.326101,-0.39717,-0.530371,-1.00462,2.605756,3.187017,-3.288501,-0.943193,-0.608106,-1.281956,1.908178,-0.377195,-0.813833,-0.597979,1
0.287742,-0.306651,0.039247,-0.3905,-0.483448,-0.721116,1.426176,2.487874,-1.703506,-0.941764,-0.57502,-1.125282,1.077216,-0.377195,-0.694698,-0.250617,1
0.287742,-0.306651,1.362479,-0.407842,-0.511602,-0.961048,1.710297,2.531312,-2.661786,-0.942478,-0.595042,-1.094711,1.557546,-0.377195,-0.463576,-0.642192,1
0.189364,-0.306651,0.126228,-0.474007,-0.575209,-0.933347,2.605756,2.996718,-2.362803,-0.952242,-0.608248,-1.301063,2.290207,-0.377195,-0.644662,-0.507668,1
0.189364,-0.306651,-0.469689,-0.388099,-0.483448,-0.838413,1.608141,1.960414,-1.479268,-0.932715,-0.580984,-1.323991,2.720893,-0.377195,-0.480255,-0.627968,1
0.287742,-0.306651,1.388389,-0.391301,-0.410456,-0.749394,1.351155,1.310914,-2.23631,-0.899138,-0.54378,-1.182601,2.017986,-0.377195,-0.868636,-0.569018,1
0.287742,-0.306651,1.497578,-0.459867,-0.454773,-0.826149,2.055072,2.036947,-2.77103,-0.918665,-0.599444,-1.29342,2.233658,-0.377195,-0.706612,-0.636194,1
0.189364,-0.306651,-0.680666,-0.414779,-0.573645,-1.0026,2.592986,3.172538,-3.137093,-0.956528,-0.602994,-1.320169,2.396399,-0.377195,-0.394478,-0.541942,1
0.287742,-0.306651,0.966435,-0.443859,-0.52985,-0.864238,2.422194,2.934664,-3.073846,-0.940097,-0.591776,-1.239921,2.037055,-0.377195,-0.761414,-0.580842,1
0.189364,-0.306651,-0.364201,-0.48628,-0.537149,-0.879243,1.941743,2.856062,-1.960325,-0.952004,-0.581694,-1.232279,1.761547,-0.377195,-0.871018,-0.666526,1
0.287742,-0.306651,1.066371,-0.368623,-0.395858,-0.830045,0.489216,0.549717,-0.712645,-0.869847,-0.575162,1.58404,-1.158409,-0.377195,0.008198,-0.383941,2
-0.007393,2.277191,0.451947,0.884246,1.028526,1.933292,-1.490051,-1.44222,1.192416,2.075171,2.864608,0.101365,3.292293,7.380368,3.365424,1.401707,2
0.189364,-0.306651,-0.593684,-0.281381,-0.30149,0.033886,-0.208316,-0.726529,0.830186,0.286299,-0.208948,0.34593,-0.448927,-0.377195,0.563368,-0.018243,2
0.189364,-0.306651,-0.762096,-0.343278,-0.365097,-0.343399,0.195519,-0.763762,0.538869,1.13668,-0.516233,1.480864,-1.203615,-0.377195,-0.470725,-0.356008,2
0.287742,-0.306651,0.216911,-0.381696,-0.25196,0.213078,-0.607362,-0.484518,0.565701,0.177948,-0.475763,1.603146,-1.195231,-0.377195,-0.787624,-0.282492,2
0.287742,-0.306651,-0.232803,-0.277379,-0.483448,-0.449298,0.870704,1.315051,-0.911967,-0.928905,-0.486697,-1.018284,0.48872,-0.377195,0.00105,-0.288147,2
0.287742,-0.306651,0.637015,-0.380629,-0.430268,-0.326085,0.773337,0.723469,-1.174535,-0.904377,-0.500187,-0.536797,0.501049,-0.377195,-0.882932,-0.485733,2
0.090986,1.966374,-1.13038,0.793269,2.196395,0.214376,-0.473282,-0.883733,1.075506,-0.877705,-0.156551,-0.307517,0.560392,0.079132,1.09471,-0.048232,2
0.189364,-0.306651,-0.649204,-0.214949,-0.15707,-0.882417,1.298481,0.299432,0.308882,-0.934144,-0.484425,-1.014463,0.63042,-0.377195,0.425171,-0.357722,2
0.287742,-0.306651,0.335355,-0.273911,0.01811,-0.360568,-1.75821,-1.165045,1.347657,1.414822,-0.331351,2.310092,-2.557647,-0.377195,-0.649427,-0.499443,2
-4.040899,0.07627,2.158269,0.589171,0.939371,0.948313,-0.637689,-1.003704,0.559951,1.095245,0.466113,-0.051489,0.885215,0.991786,2.340862,0.799522,2
0.287742,-0.306651,-0.090301,-0.324068,-0.288456,-0.459686,0.147633,-0.046003,-0.296751,-0.668385,-0.424928,1.075803,-0.40931,-0.377195,-0.816216,-0.629682,2
0.287742,-0.306651,1.325466,-0.277913,-0.227977,-0.120202,-0.824443,-0.478313,0.617448,1.518649,-0.186512,-0.578832,-0.706846,-0.377195,-0.072814,0.282849,2
0.287742,-0.306651,1.386538,0.050512,-0.119532,0.089432,-0.8005,-0.937513,-0.382996,1.672008,-0.449919,1.022304,-0.606243,-0.377195,0.322715,-0.197836,2
0.189364,-0.306651,-1.169244,-0.185602,-0.132566,-0.255534,-0.54511,-1.080238,1.136836,0.87235,-0.202842,0.869451,-0.657202,-0.377195,0.136864,-0.356351,2
0.287742,-0.306651,1.232932,-0.186402,0.210496,1.51763,-1.098986,-0.170111,0.849352,0.003871,0.183678,1.282155,-1.072929,-0.377195,-0.332528,0.469126,2
-6.303597,-0.306651,-1.354312,0.111875,-0.044976,0.079477,-1.644881,-1.595287,1.516315,1.259796,2.772593,0.219826,-0.434461,-0.377195,0.999402,-0.170417,2
0.090986,-0.306651,-0.671413,-0.284049,-0.143515,0.122039,-0.055082,-0.385232,0.122976,-0.918665,-0.353786,0.109007,-0.111611,-0.377195,-0.35159,1.223485,2
0.287742,-0.232447,0.594449,0.418689,1.045209,0.439592,-0.146065,-0.596216,0.523537,0.464901,-0.183956,1.702501,-1.305369,0.079132,1.020846,0.347112,2
0.287742,-0.306651,0.228015,-0.218151,-0.448516,-0.577704,-1.196353,-0.693434,0.956679,1.186451,-0.549744,2.034956,-2.512606,-0.377195,-0.496934,-0.488818,2
0.189364,-0.306651,-0.251309,-0.39637,-0.466243,-0.59444,0.551468,0.500074,-0.208589,-0.905091,-0.529013,1.045232,-0.463722,-0.377195,-0.21101,-0.35875,2
0.189364,-0.306651,-0.904598,-0.342744,-0.332772,-0.470939,-0.391877,-0.951993,1.131086,1.299088,-0.296419,1.454114,-1.297314,-0.377195,-0.558885,-0.603463,2
0.287742,-0.306651,0.352011,-0.399838,-0.400029,-0.719096,0.618507,0.634524,-1.115122,-0.918188,-0.553294,-0.662901,0.507625,-0.377195,-0.921055,-0.668754,2
0.287742,-0.306651,-0.145821,-0.359019,-0.101805,-0.180943,-0.299298,0.032599,0.107643,-0.56432,-0.35904,0.086079,-0.307721,-0.377195,-0.535058,-0.20589,2
0.287742,-0.306651,-0.615892,-0.460401,-0.578337,-0.901606,2.763778,1.199217,-1.914328,-0.953671,-0.599444,-1.346918,2.164781,-0.377195,-0.513613,-0.346412,2
0.287742,-0.162443,1.023806,0.154295,0.420608,1.390955,-1.386299,-1.13195,1.11767,2.26425,2.345888,0.284788,0.175075,0.991786,1.187635,1.150311,2
