A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,Class
0.965176,0.205893,0.371268,1.058586,2.608605,0.737786,1.744109,0.707633,0.245169,-0.602487,-1.0063,0.146057,-1.741239,-0.145067,-0.847895,-1.574146,-0.992756,0.352426,0.51408,-0.481683,-0.660502,1
0.73746,-0.281418,1.974538,-0.563874,1.777726,0.256334,2.096939,2.736971,-0.545666,-0.200142,-0.548436,-0.316282,-0.597099,-1.403606,-0.041951,0.167803,-0.061392,1.271704,-0.44442,-0.605118,-0.510073,1
-0.24271,0.829652,-1.477958,0.846606,0.341908,0.751542,0.578511,0.424798,-1.082562,0.001031,-0.534128,-0.825638,-1.003084,0.863155,0.497411,1.970282,0.754454,-0.460149,0.911948,0.040544,0.22201,1
-1.282284,-0.086494,-0.184411,0.64278,-0.809661,-0.403942,0.175277,-1.34999,-1.343755,-2.668375,-0.505512,-0.081195,0.148437,-0.200693,-0.463522,1.277538,1.902414,0.787441,1.798109,0.980552,-0.309503,1
0.687956,-0.8467,2.730626,1.458086,0.954135,1.21236,2.084338,2.051097,0.68049,0.712872,-0.970529,-0.402481,-1.224531,-0.930785,-0.699105,-1.876801,-0.494584,-0.7228,-1.51143,0.733681,-0.510073,1
-0.272412,-1.616652,-1.714805,-0.433425,-1.13764,-3.031292,-1.557369,-2.41062,-2.453826,-1.786311,-1.063533,-0.292773,1.83143,0.4251,2.276687,2.064441,1.5342,2.051448,2.458208,1.189442,-0.540159,1
0.480042,0.42031,2.29337,-0.360048,0.465811,1.611276,1.624399,1.280373,-0.734305,-0.77271,0.488911,-0.143885,-0.626625,-0.235459,-0.153543,1.425503,0.241843,-0.698176,-0.751864,-0.899464,-0.439874,1
-1.549603,-0.739491,2.147618,1.882046,1.777726,0.187556,2.279655,1.732908,1.47858,-0.873296,-0.441125,-3.262712,-0.774256,-2.091978,-1.331461,-1.231136,-2.010758,-1.839065,-0.155062,-0.595623,0.432609,1
-0.876355,1.180516,0.735648,-0.384507,0.480388,-0.108193,0.830532,0.092467,-0.066812,-1.60835,-0.619978,-0.010668,-0.043483,0.793622,1.018175,0.652051,-0.227449,0.385258,0.288018,0.39186,1.034321,1
1.3018,-0.729745,0.061546,-0.213292,-1.04289,-0.115071,0.357992,-0.112588,-0.864901,-3.589127,-1.099304,-0.629732,-0.862835,1.02308,0.485012,1.001786,2.494443,-0.295993,1.698642,0.790651,-0.459931,1
0.381034,0.800413,1.373312,1.498852,0.976,0.579595,1.693705,0.948042,-0.24094,-0.59475,-1.399777,-0.402481,-0.803783,-0.965551,-0.891292,0.551166,-0.285208,0.212893,2.566717,-0.253802,2.307946,1
-1.193177,1.24874,1.109137,2.338618,0.269024,2.209652,2.292256,0.530861,0.223403,-0.38584,-1.57863,-0.856983,-1.970067,-0.506636,-0.798298,-0.827596,-1.072174,-1.51896,0.143339,-0.206327,-0.409788,1
1.242396,-1.528936,-2.32514,0.789535,-0.714912,-1.745128,-1.273845,-1.123722,-1.104328,-1.267904,-0.670056,0.741612,0.989933,2.239899,2.177494,1.923202,1.664158,-0.509396,0.052915,0.60075,-1.462785,1
0.024609,0.605488,1.856115,0.471565,-0.503548,1.239871,1.882721,1.230877,-0.313494,-0.138243,-0.484049,-0.888328,-1.874107,0.341661,-0.265136,1.237184,0.848312,1.73955,0.568335,-1.38371,0.613123,1
0.618651,-0.797969,0.261954,-0.71063,-0.328626,-0.644668,-2.105515,-1.505549,-0.872157,-1.175055,-0.820293,-0.527861,0.805395,1.02308,2.072101,0.470458,2.176769,-0.254953,0.089084,-0.272792,1.435463,1
0.133517,1.112292,0.006889,-0.270364,0.779213,1.157336,0.112272,-0.444919,1.406027,-1.871422,-0.176422,-0.010668,-0.833309,0.411193,0.305224,0.470458,-0.581223,-1.092152,0.740141,-0.225317,-0.610359,1
-0.648639,1.355948,2.047414,1.498852,1.872475,1.267383,0.521806,-1.116651,-2.069291,0.681923,-0.591361,-0.974527,-1.874107,-1.000317,-0.271335,0.34267,0.126325,-0.090797,0.098127,2.509251,-0.439874,1
-0.866454,-0.53482,-3.026571,-1.061211,-0.977295,-1.112363,-2.250428,-2.099502,-0.777837,-2.312454,0.252825,-0.512188,0.97517,1.767078,1.706327,2.898424,2.082911,2.092487,1.563005,1.170452,-1.793726,1
-0.896156,-0.359388,-0.694542,1.580382,1.25296,1.645666,1.416482,-0.232793,0.948939,-0.231092,-1.478472,-0.927509,-0.634007,-0.47187,-0.835496,-0.726711,-0.992756,1.944746,0.731099,-0.633603,-0.379702,1
0.59885,-0.583552,-1.150016,1.286872,1.697553,0.675885,0.263484,-0.62169,-0.262706,-1.314329,-0.19073,0.052022,0.141055,0.696277,0.968578,-0.081047,0.99271,0.270348,0.92099,-0.092387,2.358088,1
-0.638738,0.088938,0.835852,-1.126436,0.61158,0.146288,0.320189,-1.038872,0.941683,-1.445865,-0.240809,0.475179,-0.154206,-0.666561,0.131637,2.515061,0.862752,0.204685,0.423655,-0.244307,2.709087,1
-0.39122,0.85889,0.307502,1.425474,1.821456,0.359503,1.882721,0.778341,0.803832,0.68966,-1.206615,-2.627976,-1.60099,-1.229775,-1.170272,-1.648128,-1.721963,-1.814442,0.595462,-1.184315,0.683322,1
0.064212,-1.158579,1.59194,1.311331,0.669887,1.459963,0.641516,-1.463124,0.150849,0.155779,-0.963375,-1.021544,-0.641389,0.091344,-0.364329,-0.719986,0.155204,-0.91158,0.676844,1.132472,-1.131843,1
-0.628837,-0.476343,-0.02044,-0.368201,-0.620162,-1.724495,-0.820207,-2.509612,-1.706523,-1.19053,-0.083418,0.45167,0.569185,0.814482,2.165094,1.405326,1.353703,2.199189,-1.303454,0.534285,-0.67053,1
0.489942,-0.710253,0.808524,1.808668,1.107192,0.875343,1.618099,1.280373,0.66598,-1.089944,-1.220924,-1.789497,-0.619244,0.14697,-1.815027,0.221608,0.090225,0.984429,-2.008765,0.125999,0.643208,1
0.400836,0.800413,1.118246,-0.188833,1.690265,1.384306,1.763011,1.754121,0.441064,-0.184667,-1.149382,-1.389848,-0.700441,-2.196277,-0.947088,-0.437507,-0.891678,-0.903372,-0.914628,0.42984,-0.820958,1
0.03451,-0.359388,-1.45063,0.406341,0.79379,0.98539,0.061867,0.184388,-0.313494,0.039718,-1.693096,-0.590551,-1.541937,-0.854299,-0.06055,-0.329897,0.826653,1.074716,-0.236444,1.284392,-1.212071,1
2.044353,0.751682,-0.403038,1.262413,-0.160992,-0.720324,-0.580787,1.245018,-1.409054,-3.039771,-0.856063,-0.151721,-1.143334,-0.909925,0.416817,1.714707,0.646156,1.797005,-0.281656,-0.253802,0.031468,1
0.796864,-0.359388,-1.022484,1.107505,-0.408798,0.620862,-1.116332,-1.159076,-1.63397,-1.546451,-1.743174,-1.272304,-0.353508,-0.972504,0.218431,0.369573,1.028809,0.500167,-1.294411,-0.946939,-1.873955,1
0.658254,1.628843,0.762976,0.944443,0.19614,1.019779,1.447984,1.860184,-0.988243,-2.180918,-1.385468,0.381144,-0.619244,0.911827,-0.668107,0.517538,0.241843,1.805213,-0.164104,0.714691,-0.820958,1
-0.312015,1.122039,0.170859,-0.514956,1.238383,0.558961,0.477703,-0.727753,-0.269962,-1.623825,-1.94349,-1.013708,-0.26493,0.355567,0.745394,0.557892,0.299602,0.582246,-0.408251,0.876106,0.803665,1
