,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,Class
7213,1.1216899999999999,0.276479,1.571596,-1.3664,-1.3487790000000002,1.35083,1.453901,-0.7381479999999999,-1.1536520000000001,1.0347979999999999,1
17297,-0.887335,-0.831991,-1.242682,2.183557,3.009999,0.06804099999999999,-0.234839,0.19461099999999998,1.334003,0.10756900000000001,2
13537,-0.6530699999999999,-0.698052,-0.7398279999999999,0.8867940000000001,0.783104,0.012025,-0.5733550000000001,0.363061,-0.9392790000000001,-0.805218,1
12118,-0.091932,0.23113699999999998,1.4978719999999999,-1.070388,-1.061029,0.192711,0.460809,0.823142,-1.088382,-0.267289,1
11462,-0.855849,-1.220058,-1.185792,1.872224,2.10603,0.040631,-0.213354,-0.282202,2.676777,0.22077399999999997,2
5419,-0.256592,-0.342679,-0.49969399999999997,-0.17031400000000002,-0.25840599999999997,1.029216,-0.028638999999999998,0.547936,-0.8758229999999999,1.069367,1
4700,-0.345319,-0.391554,-0.07248099999999999,0.327052,0.480876,0.605577,0.644048,-0.263002,0.40228200000000003,0.927269,2
16487,-0.8142,-0.722662,-1.015759,1.403311,1.7703209999999998,0.035230000000000004,0.064689,-0.460581,2.248374,-1.966791,1
3407,5.412349,9.495646,1.667905,-1.6033190000000002,-1.448315,7.695711999999999,-3.4496160000000002,4.338782,1.591081,-0.55862,2
1929,-0.407244,-0.618771,-0.675693,0.298053,0.403962,-0.20715300000000003,-0.7489819999999999,0.5281600000000001,-0.815172,0.07222200000000001,1
13459,0.575784,-0.137629,0.7972859999999999,-0.963692,-0.9153450000000001,1.203993,1.147956,0.807178,-1.103145,0.695475,1
12799,-0.6879,0.038044999999999995,-0.001954,-0.12872999999999998,-0.280123,0.361925,-0.040197000000000004,-0.88434,0.12378800000000001,-1.7372189999999998,1
5521,-0.9056,-0.395427,-1.0982180000000001,1.5132889999999999,1.9386279999999998,0.046376,-0.5080359999999999,0.53432,1.771078,-1.8100060000000002,1
11509,-0.164552,0.225212,-0.10763800000000001,-0.7202069999999999,-0.7334649999999999,1.1493,-0.888962,0.626532,0.050977,-1.703501,2
4655,1.225984,3.496211,1.677281,-1.446285,-1.386784,-0.564403,1.0016690000000001,4.08559,1.3686969999999998,1.4640440000000001,2
5677,-0.5980449999999999,-0.688955,-0.889832,1.088695,0.8373959999999999,0.515271,0.245571,-0.272897,-0.624844,0.21952399999999997,1
2894,-0.24495799999999998,-0.091456,-0.31709,-0.662756,-0.731655,1.1923,0.21862399999999999,-0.761612,-0.416429,-0.331385,1
16024,-0.6154810000000001,-0.525962,-0.767954,-0.09152300000000001,-0.15705999999999998,0.291369,0.083682,-0.40174699999999997,1.170741,-0.62387,1
2307,-0.789862,-0.688898,-1.163845,1.0290549999999998,1.081712,-8.2e-05,0.113311,0.46557200000000004,0.325542,-1.232546,1
6446,-0.984964,-0.686552,-1.1188870000000002,2.389288,1.981157,-0.17336600000000002,-0.312463,0.5547880000000001,-0.388832,0.133892,1
16932,1.311526,0.35525,1.242184,-1.2597040000000002,-1.132514,-2.0510509999999997,1.420879,0.883901,-0.97504,0.605052,2
7871,-0.132731,-0.049574,-0.033276,-0.368385,-0.363371,0.5171520000000001,0.481929,0.588996,-0.35297199999999995,1.00937,2
257,-0.711126,-0.244267,-0.48904,0.182602,0.0212,0.22828800000000002,-0.367066,-0.3495,-0.599496,-1.366823,1
15697,-0.801417,-0.550714,-0.9156139999999999,0.539349,0.40667600000000004,0.544501,-0.023719999999999998,0.438258,1.3976620000000002,-1.697756,1
11549,-0.12826600000000002,-0.027243,-0.017294999999999998,-1.013484,-1.052885,0.7593300000000001,-0.745065,-0.515929,2.609945,-1.5848,2
8827,-0.36409400000000003,-0.543567,-0.6644,0.688176,0.9857959999999999,-0.373656,-0.7661319999999999,0.322899,-0.66935,-0.40905199999999997,2
7254,-0.125686,-0.10278599999999999,0.545433,-0.6868310000000001,-0.669219,0.337792,0.49044399999999994,0.637853,-1.0001719999999998,0.862649,1
2711,-0.44986899999999996,-0.24763600000000002,0.180224,0.021190999999999998,-0.07562200000000001,0.709613,0.48878699999999997,0.390721,-0.476333,-0.6880470000000001,1
13901,-0.7317,-0.302504,0.010404,0.28273200000000004,0.48721000000000003,0.182671,0.015688999999999998,-0.583655,-0.579397,-0.49062100000000003,1
10681,0.055314,0.281528,0.761916,-0.8230729999999999,-0.8339059999999999,0.813476,0.873519,0.647725,0.197549,0.916702,1
17438,4.370868,1.0666579999999999,1.889502,-1.680468,-1.553281,-3.7564620000000004,-1.7268720000000002,0.44351,-0.46779899999999996,-0.9636889999999999,2
2306,0.18975999999999998,0.202129,1.6463849999999998,-0.9330510000000001,-0.940681,0.98734,1.019139,-0.499087,-1.190301,0.561797,1
9770,-0.391882,-0.181229,-0.254872,-0.204785,-0.29279099999999997,-0.428393,0.167286,0.6829850000000001,-0.626143,-0.0016359999999999999,1
4330,0.9028459999999999,3.486244,1.288634,-0.684095,-0.400471,-1.005675,-2.1002,3.2437080000000003,0.060854,2.918542,2
4088,-0.789671,-0.870576,-1.562506,1.906148,1.977538,0.45076000000000005,0.06890700000000001,0.293933,0.328694,0.644774,2
7748,0.215273,0.071531,0.673916,-0.7333390000000001,-0.6583600000000001,0.25716100000000003,0.666017,0.769493,-1.125592,1.5683690000000001,1
6724,0.260273,0.9527610000000001,0.931309,-0.56372,-0.173348,-0.303146,-0.603891,-1.484923,-0.41601400000000005,1.593284,1
6888,0.013208000000000001,-0.293148,-0.35778699999999997,-0.21299200000000001,-0.377849,1.076545,0.5167229999999999,-0.644736,-1.103577,0.673886,1
15402,-0.25248000000000004,-0.563683,-0.45793199999999995,0.134453,0.44468100000000005,0.332321,0.37058,0.26552,-1.160878,0.503628,1
9046,-0.999017,-0.618913,-1.026199,2.013391,1.730507,-0.18066300000000002,-0.092025,-0.558871,1.889095,-0.21161300000000002,2
18192,2.145834,1.499875,0.901905,-1.154103,-0.9777809999999999,2.356236,1.75537,1.307934,-0.8839809999999999,-0.013800999999999999,2
17117,-0.9959290000000001,-0.928198,-0.9017639999999999,0.9168879999999999,0.582222,0.561447,0.156905,0.5015569999999999,-0.18043399999999998,0.046582,2
5005,1.745671,0.607248,1.1362860000000001,-1.014031,-0.890008,-0.621595,1.464827,0.9049590000000001,-1.005283,1.3837899999999999,1
14424,-0.783299,-0.6690659999999999,-1.382672,0.983094,0.7423850000000001,-0.022588999999999998,0.139284,0.476322,0.509179,-0.855999,1
15473,-0.721155,-0.274892,-0.8989940000000001,0.23294099999999998,0.22117699999999998,0.19306600000000002,-0.290466,0.61355,-0.200848,-0.843126,1
16882,-0.5747369999999999,-0.35244200000000003,-0.274049,-0.055411,-0.16701400000000002,0.381905,0.296354,0.40824099999999997,0.012462,0.113376,2
2289,-0.43564200000000003,-0.235713,-0.310272,-0.39847899999999997,-0.248452,-0.49482600000000004,-0.7236779999999999,0.649357,-0.859203,-0.592438,1
1385,1.343292,0.334852,1.1145530000000001,-1.248761,-1.1524219999999998,1.7317490000000002,1.991353,-0.754549,-0.530306,0.444184,1
10213,-0.537836,-0.332898,-0.687412,-0.498061,-0.619451,0.510767,0.15332300000000001,0.22769099999999998,0.53369,0.055929999999999994,1
7339,-0.757173,-0.5161479999999999,-1.142325,0.338542,0.174124,0.098637,-0.42922,-0.281525,-0.099964,-1.379593,1
13842,-0.388799,-0.096578,-0.420005,-0.5341739999999999,-0.631214,-1.073988,0.346864,-0.8283389999999999,0.17416099999999998,-0.977541,1
15595,-0.65169,-0.46656000000000003,-0.6447970000000001,0.449615,0.38134,0.621425,0.150056,-0.557373,1.9416220000000002,-2.129302,1
292,-0.8333719999999999,-0.835134,-1.5478040000000002,1.930223,1.915101,0.094979,-0.35213,0.223356,2.357541,0.554409,1
17088,-0.751505,-0.85962,-0.7443029999999999,1.963053,2.703247,0.125401,0.172732,0.256268,-0.051737,-0.684172,2
8823,1.309754,0.06415900000000001,0.10905799999999999,0.524029,0.566839,-1.478648,0.719955,-0.6803899999999999,-0.284572,0.7764270000000001,2
8483,0.272041,-0.22684200000000002,-0.584497,1.110034,1.740461,-0.59197,-1.540116,-0.207029,0.273469,-0.339407,2
10318,1.1069950000000002,-0.19683900000000001,-0.145779,0.21871500000000002,0.252848,1.109423,1.6679279999999999,0.652199,-1.067834,0.057244,1
5469,0.46231099999999997,0.532292,0.307642,-0.8952979999999999,-0.9470149999999999,-1.2973219999999999,0.602662,1.165876,-1.054797,0.824191,1
18354,2.972428,7.746992999999999,2.754795,-1.828748,-1.732446,-3.3877910000000004,-3.2782699999999996,3.121359,-0.285885,0.021428,2
12148,-0.083188,0.43011499999999997,0.953469,-1.1869319999999999,-1.185902,0.480494,0.373062,0.808099,-0.937423,0.11359000000000001,1
12651,0.190601,0.005412,0.5882609999999999,-1.087897,-1.070983,-0.464401,-0.7218829999999999,0.9170870000000001,-0.5973890000000001,0.521918,1
17079,-0.5478649999999999,-0.334379,-0.733649,-0.14569200000000002,-0.311794,0.456035,0.128553,-0.8330489999999999,0.757891,0.28573899999999997,2
13981,0.12959,-0.068361,0.500261,-0.917731,-0.9687319999999999,-1.245288,-0.947227,0.6869649999999999,-1.006233,0.763782,1
10720,-0.544895,-0.158977,0.012535,-0.070184,-0.159775,-0.11242,-0.651926,-0.408555,-0.9388049999999999,-0.5281939999999999,1
14045,-0.013175999999999998,-0.180777,-0.46240600000000004,-0.191653,-0.07924099999999999,-0.599204,0.176999,0.462595,-0.9186799999999999,-0.2599,1
8881,-0.907386,-0.474865,-1.238208,2.047315,2.35668,0.678417,-0.397858,-0.156271,2.454246,0.25213,2
9677,-0.175072,-0.551952,-0.428741,-0.168125,-0.360657,0.906766,0.46734799999999993,-0.20758600000000002,-0.730083,-0.542636,1
12546,-0.650904,-0.173207,-0.6447970000000001,-0.38863000000000003,-0.48824399999999996,-0.562999,-0.342004,0.719205,-0.685495,0.966974,1
12586,0.8865930000000001,-0.067021,0.772143,-0.453194,-0.270169,-0.18976600000000002,1.295919,0.912055,-1.145018,2.043234,1
5094,-0.237641,-0.076463,0.195353,-0.649077,-0.654741,0.433262,0.6590159999999999,0.536994,-0.8954209999999999,0.501831,1
17711,3.013574,0.628341,-0.270214,0.5781970000000001,0.099924,-2.233551,-3.687356,-1.1144479999999999,0.22300100000000003,2.113082,2
7248,0.7234470000000001,0.293903,0.522421,-1.0802370000000001,-1.006737,-1.347352,-1.789721,0.8090689999999999,-1.0391700000000001,1.1463370000000002,1
10500,-0.20138399999999998,-0.214535,0.151885,-0.726226,-0.604068,0.058009000000000005,-0.647397,-0.809446,-0.9728209999999999,0.431888,1
4256,0.92245,3.415308,0.775552,-0.177427,-0.014995,0.154374,-2.542201,1.982177,0.799354,2.269942,2
15928,-0.601466,-0.334922,-0.792031,0.327052,0.367767,0.580788,0.214935,0.36189,1.047402,-1.243126,1
17000,-0.7706770000000001,-0.762813,-0.535277,0.8605299999999999,0.815679,-0.15925,-0.188288,0.073918,-0.163663,-0.07660700000000001,2
10638,-0.342826,-0.317418,0.474479,-0.575758,-0.698175,0.167437,0.150342,-0.5374479999999999,-1.191683,-0.07951799999999999,1
13413,-0.814014,-0.235447,-0.356935,0.266318,0.237465,0.350405,-0.4898,-0.6864439999999999,0.004437,0.508053,1
7981,1.011385,1.462256,2.8089150000000003,-1.6903169999999998,-1.397642,1.633311,1.540921,-1.788273,-0.281641,0.988851,2
2321,-0.786521,-0.24868200000000001,-0.597282,0.775721,0.987605,-0.141631,-0.482872,0.40306,0.4863,0.10708699999999999,1
4714,0.80837,1.551599,1.9169889999999998,-1.3527209999999998,-1.26915,-1.7464419999999998,-0.886574,-1.8039919999999998,1.313032,0.658458,2
4067,2.99391,1.9000240000000002,0.713548,-0.736622,-0.599544,2.160211,2.7004200000000003,2.7285909999999998,1.162095,-0.870749,2
2207,0.791363,-0.136261,-0.780738,0.393258,0.182268,-0.371165,-1.604444,-0.8239219999999999,-1.036925,2.403918,1
10994,-0.19078699999999998,-0.688904,-0.520149,0.044719,-0.173348,0.366324,0.48792399999999997,-0.390594,-0.571044,-0.216373,1
7559,-0.891833,-0.305761,-0.8440209999999999,0.649875,0.5342640000000001,0.087854,-0.068845,0.784367,1.7192509999999999,-0.25395999999999996,1
1963,-0.99836,-0.643935,-1.525857,2.049503,2.38835,-0.157487,-0.10881199999999999,-0.401963,-0.6872729999999999,-1.3240180000000001,1
16303,-0.826818,-0.5242100000000001,-0.8508399999999999,0.752193,0.518881,-0.122974,-0.34626599999999996,0.271267,1.446831,-0.514315,1
16920,-0.59809,-1.004589,-0.624555,0.8173050000000001,0.888069,0.191642,-0.747847,-0.48574399999999995,1.107923,0.125532,2
16039,0.43812299999999993,-0.42422600000000005,0.403739,-0.44061000000000006,-0.328081,1.036774,1.183938,-0.259094,-1.167729,0.240939,1
12814,-0.781932,-0.653111,-1.089056,1.212353,1.241875,0.37340999999999996,0.147046,-0.37598400000000004,0.221059,0.320013,1
1684,-1.018467,-0.7712319999999999,-1.0914,2.5517939999999997,4.156474,0.21956399999999998,0.010581,0.2933,-0.017155,0.940477,1
4480,-0.316119,0.12083599999999999,0.454876,-0.82362,-0.880959,-0.062265,0.266275,-1.335366,2.211672,0.48934799999999995,2
