,A1,A2,A3,A4,A5,A6,Class
0,-1.221906,-1.457509,-0.997682,0.0,1.4771450000000002,-0.997682,1
1,1.221906,-1.457509,0.997682,0.0,1.4771450000000002,-0.997682,1
2,-1.221906,-1.457509,-0.997682,0.0,0.492382,-0.997682,2
3,0.0,0.0,-0.997682,0.0,-1.4771450000000002,0.997682,2
4,-1.221906,0.0,-0.997682,-1.224758,-1.4771450000000002,-0.997682,2
5,0.0,0.0,0.997682,-1.224758,-0.492382,0.997682,2
6,1.221906,-1.457509,0.997682,-1.224758,0.492382,-0.997682,2
7,0.0,1.457509,0.997682,1.224758,-1.4771450000000002,-0.997682,1
8,-1.221906,0.0,0.997682,-1.224758,1.4771450000000002,-0.997682,1
9,1.221906,-1.457509,0.997682,0.0,0.492382,-0.997682,2
10,-1.221906,0.0,-0.997682,-1.224758,1.4771450000000002,0.997682,1
11,-1.221906,0.0,0.997682,1.224758,1.4771450000000002,0.997682,1
12,-1.221906,-1.457509,-0.997682,-1.224758,-0.492382,-0.997682,2
13,1.221906,-1.457509,0.997682,0.0,-0.492382,-0.997682,2
14,-1.221906,1.457509,-0.997682,0.0,1.4771450000000002,0.997682,1
15,1.221906,0.0,0.997682,0.0,1.4771450000000002,-0.997682,1
16,-1.221906,0.0,-0.997682,1.224758,1.4771450000000002,-0.997682,1
17,1.221906,1.457509,-0.997682,-1.224758,1.4771450000000002,-0.997682,1
18,-1.221906,1.457509,-0.997682,0.0,0.492382,0.997682,1
19,-1.221906,0.0,-0.997682,1.224758,0.492382,-0.997682,2
20,-1.221906,1.457509,0.997682,0.0,0.492382,-0.997682,1
21,0.0,0.0,0.997682,-1.224758,0.492382,-0.997682,2
22,1.221906,-1.457509,-0.997682,0.0,-1.4771450000000002,-0.997682,2
23,0.0,-1.457509,0.997682,-1.224758,-1.4771450000000002,0.997682,2
24,1.221906,0.0,0.997682,1.224758,-0.492382,-0.997682,2
25,0.0,0.0,-0.997682,0.0,-0.492382,0.997682,2
26,1.221906,0.0,-0.997682,-1.224758,0.492382,-0.997682,2
