A1,A2,A3,A4,A5,Class
-0.814682,-0.533522,0.871188,1.737675,-0.138041,1
-0.866815,-0.961014,0.325328,2.546479,-0.138041,1
1.819865,-0.011837,-0.493462,-0.316262,-0.269729,1
1.364003,-2.044236,-1.030262,-0.635527,-0.236368,1
0.518959,-0.031159,1.635619,-1.153002,-0.459358,1
-0.781947,-0.97309,0.232464,1.732354,-1.193296,1
-0.737088,-0.700172,0.18943,1.449006,-0.138041,1
-0.600087,0.555737,-0.1288,-0.192547,-0.37859,1
-0.698291,-0.295624,1.821347,0.851715,-0.138041,1
0.008539,-0.525069,-1.172955,-0.772544,-0.368055,1
1.373702,0.757407,-0.427777,-0.100758,0.580094,1
2.449101,-0.214715,-0.509316,-0.845709,0.411534,1
-0.86439,-0.967052,0.188297,-0.530435,-0.138041,1
-0.800133,-0.013045,0.419325,-1.000021,-0.138041,1
-0.642521,0.558153,0.276631,2.188636,-1.126574,1
0.474101,-0.805233,-1.128788,-0.292317,-0.299578,1
-0.846204,-1.196497,-0.337178,-1.34323,-1.985176,1
-0.304261,-0.442952,1.056917,0.597634,-1.038783,1
0.224346,1.126934,0.579006,0.57768,-0.538371,1
1.305807,-0.737607,-0.631625,-0.346858,-0.264461,1
2.565492,-0.276302,-0.037068,-0.725985,-0.269729,1
-0.88985,-1.102304,-0.184292,0.073507,-0.138041,1
-0.722539,-1.043131,-0.414187,1.075201,2.295541,1
-0.781947,-0.242489,2.153167,-1.525477,0.648571,1
0.836608,-0.176071,-1.054044,-0.631536,-0.016889,1
0.904503,-0.922371,-0.726755,-0.384106,-0.454091,1
-1.211137,0.882998,0.008231,0.120067,-0.503254,1
-0.579476,2.411826,-1.501377,-0.131354,0.20259,1
-0.004798,0.653553,-1.194473,-0.241767,-0.671814,1
-0.554015,0.486904,1.7953,-1.376487,-0.138041,1
3.314756,-1.859472,-0.673527,-0.631536,-0.02918,1
-0.315172,1.96622,-1.632746,0.117406,1.515952,1
2.740078,-0.927201,-1.006479,-0.642178,-0.013377,1
-0.122401,1.24528,-1.223917,-0.736627,0.072658,1
-0.155135,-0.096369,1.019545,0.376809,-0.531348,1
-0.032683,1.036364,-1.230712,-0.219152,0.144647,1
-0.281225,1.475932,1.096554,-1.182268,-0.515545,1
-0.722539,-1.043131,-0.414187,1.076531,2.295541,1
-0.830443,-0.923579,-1.45721,-1.385799,1.242042,1
1.48403,0.23693,-0.295276,-0.006309,-0.368055,1
-0.275163,1.44695,-1.26582,-0.760572,0.13938,1
-0.511581,-0.421215,0.733025,-1.349882,-0.138041,1
0.455915,0.335953,-1.255627,-0.683416,-0.283775,1
-0.836505,-0.860783,0.145263,0.174608,-0.138041,1
0.455915,-2.530901,-1.167293,-0.338876,-0.289043,1
-0.772247,-0.537145,1.248308,0.892954,-0.138041,1
-0.664344,0.032844,1.744338,-1.464285,-0.138041,1
-0.43035,2.152191,-1.485523,-0.852361,-0.401416,1
-0.732238,-0.07584,0.167912,0.960797,-0.963282,1
-1.96525,-0.452613,-1.19334,-0.076813,-0.931677,1
-0.882576,-0.985166,-0.382478,0.451304,-1.403996,1
2.079319,-0.836631,0.893838,-1.004011,-0.375079,1
-0.922585,-1.270161,-1.008744,-0.993369,1.814443,1
-0.489758,0.316632,2.222249,-1.416395,-0.705175,1
-0.340633,-0.235244,0.850804,-0.941489,0.190299,1
-0.305473,0.757407,0.469155,-0.047547,-0.408439,1
2.108417,-0.843877,-0.218267,0.102773,0.460697,1
-0.809832,-0.30287,1.798697,-1.564055,-0.138041,1
-0.517643,0.135491,2.024063,-1.328597,0.843468,1
1.121523,1.143841,-1.405116,-0.231125,-0.406684,1
-0.706778,-0.248527,1.721688,-1.397771,-0.670058,1
3.084399,-0.812479,-0.576133,0.343552,-0.459358,1
-0.737088,-0.870444,0.086373,2.381526,-0.138041,1
1.617394,-0.159165,-0.459487,-0.670114,-0.246903,1
1.522827,1.066554,-0.255639,0.077498,0.390464,1
0.811148,0.858846,-0.282819,1.053916,-0.71571,1
1.725298,0.043713,-0.071043,-0.755251,0.216637,1
1.719236,0.03526,-0.35643,0.057544,-0.541883,1
-1.211137,-1.908984,-1.550075,0.866348,-0.138041,1
2.566704,-0.568543,-1.011009,-0.40672,-0.030936,1
-0.30911,2.518095,-1.552339,0.468597,-0.612116,1
-0.46551,1.574956,0.316268,0.455295,-0.138041,1
3.400836,-1.815999,-0.363225,-0.302959,-0.259194,1
-0.694654,-0.944108,1.2132,0.701395,0.704758,1
1.275497,-0.568543,-0.684852,-0.353509,-0.417219,1
2.321799,-0.922371,-0.986095,-0.437316,-0.048494,1
0.451065,0.960285,-1.355286,-0.80048,0.253509,1
-0.909249,-0.841461,-0.228459,0.100113,-0.138041,1
-0.343058,-0.56009,1.79983,0.879651,-0.747315,1
0.939662,-0.82214,-0.668998,-0.326904,-0.006354,1
2.533969,-0.890973,0.564284,-0.969424,-0.387369,1
0.520172,2.103887,-1.353021,-0.757911,-0.362788,1
-0.420651,1.282715,1.084096,0.422038,-0.664791,1
-0.33942,1.10882,1.569935,-1.325937,-0.684105,1
-0.493395,1.037572,-1.357551,-0.229794,0.09724,1
-0.751637,-0.858368,1.634486,-1.356533,0.430848,1
-0.507944,2.614704,-1.503642,-0.874975,-0.404928,1
-0.554015,1.403476,-1.431163,-0.908232,-0.476917,1
2.079319,-1.052792,-0.140125,0.82511,-0.733268,1
