,A1,A2,A3,A4,A5,Class
0,-0.7637609999999999,-0.108445,0.742085,-1.070525,-0.138041,1
1,-0.47278400000000004,0.646308,-1.253362,-0.768554,-0.346985,1
2,-0.480059,-0.009422,1.21773,-1.267405,-1.0580969999999998,2
3,-1.135968,-0.77142,0.7896489999999999,0.731991,-0.138041,2
4,2.918301,-1.7785630000000001,-0.696177,-0.630206,-0.009866,1
5,0.802661,0.293687,-0.269229,0.018966,-0.471649,1
6,-0.11633900000000001,2.285028,-1.44815,-0.152639,-0.485696,1
7,0.338312,1.527859,-1.351889,-0.16328099999999998,1.6511509999999998,1
8,0.158876,-0.849915,0.618643,1.439694,2.486926,2
9,-0.868027,-0.97309,0.026351,2.772625,-1.725313,2
10,-0.6582819999999999,-0.875274,-0.44476499999999997,1.198916,1.198146,2
11,-0.788009,-0.271472,0.140733,1.16965,-0.138041,2
12,-0.41580200000000006,1.547181,-1.372274,-0.8257549999999999,-0.138041,1
13,-0.724964,0.160851,1.210935,-1.348551,-0.605092,1
14,-0.481271,0.744124,0.913091,-1.1436899999999999,0.339545,1
15,-0.686167,0.7465390000000001,-1.3326360000000002,-0.18190499999999998,-0.32415900000000003,1
16,0.23646999999999999,-0.927201,1.128264,0.596303,-0.557685,2
17,-0.640096,-0.701379,0.773794,2.263132,-1.096725,1
18,0.224346,1.126934,0.579006,0.57768,-0.538371,1
19,-0.7152649999999999,-0.097577,1.359291,-1.3033219999999999,-0.138041,1
20,0.258293,1.48197,-1.4221030000000001,-0.15796,0.9277479999999999,1
21,0.615951,0.210362,1.503118,-1.082497,-0.433021,2
22,0.27284200000000003,1.494046,-1.295264,-0.736627,-0.325915,1
23,1.547075,-0.723116,-0.967975,-0.43997700000000006,-0.208275,1
24,-0.9019739999999999,-1.066076,-0.513846,0.033599000000000004,-0.138041,1
25,-0.265464,0.176549,1.939126,-1.462954,-0.615627,2
26,-0.8740889999999999,-1.115588,-0.290746,1.435704,-0.138041,1
27,-0.830443,-0.697757,0.977642,0.813137,0.845224,1
28,-0.847416,-0.9066719999999999,0.133938,-1.458964,-0.138041,2
29,-0.815894,-0.7629670000000001,-0.3519,-0.139336,1.468544,2
30,-0.758911,-0.568543,0.033145999999999995,1.292034,-0.138041,1
31,-0.387916,2.08215,-1.624819,-0.0036479999999999998,-0.415463,1
32,0.8596440000000001,-0.868029,-0.663335,-0.332225,-0.015133,1
33,-0.691017,-1.0600379999999998,-0.051791,0.6255689999999999,1.1050870000000002,2
34,-0.600087,-0.41276199999999996,0.377423,2.686157,-1.6480560000000002,2
35,-0.584325,-0.07221699999999999,1.3524969999999998,0.8676780000000001,-1.391705,2
36,-0.643733,-0.596318,-0.136727,1.6538680000000001,2.636172,1
37,-0.523705,-0.43087600000000004,1.746603,-1.39245,-0.738536,1
38,-0.6813170000000001,0.021976,1.246043,-1.335249,-0.138041,1
39,-0.507944,-0.28234000000000004,1.8587189999999998,-1.580018,0.61521,1
40,1.1906290000000002,-0.886143,-0.681455,-0.21649200000000002,-0.35576399999999997,1
41,1.830777,-0.561297,-0.513846,-0.639517,-0.006354,1
42,1.052416,0.79122,-1.222785,-0.7273149999999999,-0.31538,1
43,0.257081,-0.814894,1.247175,1.5075379999999998,-1.3162040000000002,2
44,0.087345,-0.42242299999999994,0.312871,0.597634,-0.541883,2
45,-0.424288,0.622156,-1.3088540000000002,-0.7392880000000001,-0.31538,1
46,-0.847416,-1.107135,-0.214869,2.336296,-1.2512379999999999,1
47,-0.429138,-0.17848599999999998,0.070518,1.116439,-1.1037489999999999,2
48,0.015813,1.8116459999999999,-1.377936,-0.775205,-0.366299,1
49,-0.1321,2.298311,-1.3111190000000001,-0.869654,1.024319,1
50,0.47895,0.5521149999999999,-1.141246,-0.674104,0.037542,1
51,-1.157791,-1.999555,-0.06991,-1.518826,2.4184490000000003,2
52,-0.893488,-1.0503770000000001,-0.43796999999999997,-1.351212,2.592276,1
53,1.9544419999999998,-1.184421,-0.750537,-0.420023,0.01296,1
54,-0.8765139999999999,-1.104719,-0.508184,0.102773,-0.961526,1
55,-0.6194850000000001,0.9578700000000001,-1.315649,-0.167272,0.062123000000000005,1
56,-0.774672,-0.752099,-0.038201,1.8135,-1.411019,1
57,0.8487319999999999,0.164473,-1.128788,-0.353509,-0.280264,1
58,-0.10906400000000001,0.961493,-1.359816,-0.773875,0.151671,1
